,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,237.45,-176.47,-14.63,-18.78,-0.47,-1.46,-2.06,83.29,15.00,-7.91,0.45,"1,017.35",4.98,199.20,N/A,0.22,23.04,0.00,109.01,CPH,SET,CONSUMP,FASHION
2Q2555,327.15,87.23,50.00,-2.38,-0.06,-0.18,-0.26,86.97,11.04,-0.73,0.57,"1,083.28",0.00,218.00,N/A,0.24,22.51,0.00,60.72,CPH,SET,CONSUMP,FASHION
3Q2555,426.94,,-42.86,3.22,0.08,0.24,0.36,89.82,8.92,0.75,0.37,999.48,6.45,258.00,N/A,0.29,22.49,0.00,45.80,CPH,SET,CONSUMP,FASHION
4Q2555,241.56,,-294.12,-27.06,-0.67,-2.18,-3.05,82.30,14.42,-11.20,0.42,"1,013.31",8.40,336.00,N/A,0.37,22.53,0.00,-102.92,CPH,SET,CONSUMP,FASHION
1Q2556,195.50,-1.49,-44.68,-27.29,-0.68,-2.18,-3.29,77.82,19.12,-13.96,0.60,949.22,7.40,296.00,N/A,0.34,21.86,0.00,-49.04,CPH,SET,CONSUMP,FASHION
2Q2556,310.67,-17.65,"-1,233.33",-32.16,-0.80,-2.42,-4.06,82.64,15.31,-10.35,0.75,846.29,5.20,208.00,N/A,0.27,19.61,0.00,-17.92,CPH,SET,CONSUMP,FASHION
3Q2556,358.52,21.25,,-25.10,-0.63,-1.82,-3.18,86.26,11.17,-7.00,0.75,865.29,0.00,179.20,N/A,0.22,20.03,0.00,-13.15,CPH,SET,CONSUMP,FASHION
4Q2556,360.02,,,20.42,0.51,1.47,2.57,84.29,13.76,5.67,0.74,807.32,4.60,184.00,N/A,0.24,19.38,0.00,-65.19,CPH,SET,CONSUMP,FASHION
1Q2557,215.51,,-11.76,-30.31,-0.76,-2.14,-3.78,79.31,16.70,-14.07,0.80,858.31,5.80,232.00,N/A,0.28,20.41,0.00,-76.41,CPH,SET,CONSUMP,FASHION
2Q2557,339.01,34.21,37.50,-20.12,-0.50,-1.39,-2.62,86.74,11.27,-5.94,0.95,922.89,7.20,288.00,N/A,0.37,19.65,0.00,283.41,CPH,SET,CONSUMP,FASHION
3Q2557,520.02,,,35.16,0.88,2.41,4.41,90.77,7.84,6.76,0.72,871.15,7.45,298.00,N/A,0.40,18.82,0.00,17.47,CPH,SET,CONSUMP,FASHION
4Q2557,286.47,-95.45,-92.16,1.70,0.04,0.12,0.20,81.90,14.91,0.59,0.70,864.32,0.00,352.00,68.59,0.42,21.03,0.00,20.20,CPH,SET,CONSUMP,FASHION
1Q2558,204.26,,27.63,-22.12,-0.55,-1.52,-2.66,78.59,18.19,-10.83,0.80,825.56,12.90,516.00,N/A,0.61,21.11,0.00,20.67,CPH,SET,CONSUMP,FASHION
2Q2558,289.57,-25.45,-38.00,-27.60,-0.69,-1.78,-3.39,83.33,14.00,-9.53,1.01,834.28,10.90,436.00,N/A,0.53,20.44,0.00,25.64,CPH,SET,CONSUMP,FASHION
3Q2558,516.35,,5.68,37.20,0.93,2.28,4.42,90.41,7.94,7.20,0.87,870.57,8.20,328.00,N/A,0.41,20.22,0.00,20.29,CPH,SET,CONSUMP,FASHION
4Q2558,361.24,68.82,"3,825.00",62.99,1.57,4.00,7.28,85.41,12.51,17.44,0.76,892.83,8.15,326.00,N/A,0.37,21.82,0.00,8.75,CPH,SET,CONSUMP,FASHION
1Q2559,157.80,,56.36,-9.40,-0.24,-0.61,-1.10,72.68,22.66,-5.96,0.80,945.85,11.80,472.00,9.35,0.55,21.46,0.00,9.61,CPH,SET,CONSUMP,FASHION
2Q2559,386.11,-804.17,-214.49,-87.05,-2.17,-5.57,-10.68,89.13,9.40,-22.55,1.04,984.05,10.30,412.00,6.52,0.48,21.46,0.00,24.46,CPH,SET,CONSUMP,FASHION
3Q2559,486.51,,-38.02,23.11,0.58,1.55,2.95,91.27,8.28,4.75,0.76,979.29,9.20,368.00,98.49,0.48,19.29,0.00,27.47,CPH,SET,CONSUMP,FASHION
4Q2559,254.11,,,-27.12,-0.68,-1.99,-3.47,84.09,15.13,-10.67,0.74,"1,049.21",8.00,320.00,N/A,0.40,19.87,0.00,-14.22,CPH,SET,CONSUMP,FASHION
1Q2560,130.90,-16.32,-228.65,-31.55,-0.79,-2.30,-4.20,79.82,19.43,-24.10,0.91,"1,141.22",7.40,296.00,N/A,0.39,19.19,0.00,-11.31,CPH,SET,CONSUMP,FASHION
2Q2560,317.23,32.34,75.41,-21.35,-0.53,-1.46,-2.94,85.44,14.34,-6.73,1.11,"1,095.10",6.55,262.00,N/A,0.36,18.40,0.00,-96.15,CPH,SET,CONSUMP,FASHION
3Q2560,473.05,,-67.12,7.58,0.19,0.50,0.97,90.95,8.42,1.60,0.82,"1,126.51",6.70,268.00,N/A,0.38,17.87,0.00,-53.92,CPH,SET,CONSUMP,FASHION
4Q2560,274.22,,-91.72,-52.00,-1.30,-3.45,-6.33,83.71,16.05,-18.96,0.85,"1,058.75",0.00,250.00,N/A,0.30,21.18,0.00,-30.24,CPH,SET,CONSUMP,FASHION
1Q2561,145.68,21.75,-28.97,-40.69,-1.02,-2.72,-5.25,69.01,28.55,-27.93,1.02,972.04,0.00,244.00,N/A,0.31,19.88,0.00,-26.49,CPH,SET,CONSUMP,FASHION
2Q2561,411.26,,,7.93,0.20,0.49,1.04,88.50,11.07,1.93,1.28,991.30,5.55,222.00,N/A,0.29,18.87,0.00,-283.32,CPH,SET,CONSUMP,FASHION
3Q2561,611.12,432.71,456.85,42.22,1.06,2.46,5.39,91.44,8.24,6.91,1.10,967.57,5.85,234.00,N/A,0.31,19.06,0.00,41.15,CPH,SET,CONSUMP,FASHION
4Q2561,427.23,,68.87,-16.19,-0.40,-0.99,-2.03,87.11,13.39,-3.79,0.99,928.11,6.30,252.00,N/A,0.31,20.12,0.00,18.91,CPH,SET,CONSUMP,FASHION
1Q2562,293.04,26.71,70.84,-11.86,-0.30,-0.76,-1.52,83.02,15.42,-4.05,1.02,893.88,6.90,276.00,N/A,0.35,19.71,0.00,12.22,CPH,SET,CONSUMP,FASHION
2Q2562,364.44,-26.92,,-15.06,-0.38,-0.91,-1.96,86.33,13.47,-4.13,1.27,902.08,6.20,248.00,11.22,0.32,19.43,0.00,17.57,CPH,SET,CONSUMP,FASHION
3Q2562,575.93,,-24.92,31.70,0.79,1.89,4.07,91.62,8.24,5.50,1.05,907.54,4.38,175.20,N/A,0.23,19.06,0.00,15.45,CPH,SET,CONSUMP,FASHION
4Q2562,323.08,,"-1,309.71",-228.20,-5.71,-16.07,-33.68,86.48,14.11,-70.63,1.16,945.16,0.00,148.00,N/A,0.19,19.85,0.00,-5.18,CPH,SET,CONSUMP,FASHION
