,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"4,174.67",58.06,75.00,"1,076.38",0.49,1.66,5.13,79.84,13.93,25.78,2.05,,46.00,"100,225.54",48.70,5.02,9.16,0.80,20.25,CPN,SET,PROPCON,PROP
2Q2555,"4,449.78",10.20,217.65,"1,188.96",0.54,1.80,5.48,79.25,13.66,26.72,2.03,,46.50,"101,314.94",40.36,4.82,9.65,0.80,17.52,CPN,SET,PROPCON,PROP
3Q2555,"6,114.77",140.74,622.22,"2,857.71",1.30,4.25,12.25,59.89,9.70,46.73,1.76,,60.00,"130,728.96",39.42,6.11,9.82,0.62,15.81,CPN,SET,PROPCON,PROP
4Q2555,"4,801.75",-60.77,64.52,"1,128.80",0.51,1.63,4.46,72.87,19.97,23.51,1.71,,81.75,"178,118.21",30.86,7.35,11.12,0.45,19.59,CPN,SET,PROPCON,PROP
1Q2556,"5,232.61",49.02,55.10,"1,681.21",0.76,2.38,6.29,79.36,13.66,32.13,1.58,,94.50,"205,898.11",33.27,8.12,11.64,1.01,20.81,CPN,SET,PROPCON,PROP
2Q2556,"5,150.76",,,"1,449.94",-0.06,2.01,4.74,79.10,15.30,28.15,1.18,,45.00,"201,960.00",29.79,7.48,6.19,1.02,19.54,CPN,SET,PROPCON,PROP
3Q2556,"5,143.87",,-74.84,"1,482.99",0.33,1.99,4.32,80.15,14.42,28.83,1.16,,44.00,"197,472.00",28.07,5.99,7.35,1.05,21.34,CPN,SET,PROPCON,PROP
4Q2556,"6,181.78",18.61,-23.92,"1,775.06",0.39,2.32,4.94,66.62,19.43,28.71,1.11,,41.00,"184,008.00",32.56,5.34,7.67,1.12,18.44,CPN,SET,PROPCON,PROP
1Q2557,"5,639.58",-2.06,-50.00,"1,738.33",0.38,2.22,4.61,79.19,14.32,30.82,1.05,,47.00,"210,936.00",33.52,5.83,8.06,1.17,20.25,CPN,SET,PROPCON,PROP
2Q2557,"6,022.74",7.89,,"1,870.22",0.41,2.28,4.89,77.89,13.76,31.05,1.24,,49.00,"219,912.00",34.65,5.80,8.44,1.12,20.53,CPN,SET,PROPCON,PROP
3Q2557,"6,071.60",4.88,31.45,"1,965.93",0.43,2.30,5.05,81.68,13.19,32.38,1.15,,46.50,"208,692.00",30.87,5.60,8.30,1.18,18.70,CPN,SET,PROPCON,PROP
