,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2560,,,,,,,,,,,0.60,,,,,,,,,CPNREIT,SET,PROPCON,PF&REIT
1Q2561,"1,184.41",,,830.80,,1.78,2.81,,,70.15,0.57,,22.50,"49,780.73",,1.69,13.31,0.00,,CPNREIT,SET,PROPCON,PF&REIT
2Q2561,"1,231.53",,,"1,255.11",,2.69,4.20,,,101.91,0.56,,23.40,"51,771.95",,1.75,13.40,0.00,,CPNREIT,SET,PROPCON,PF&REIT
3Q2561,"1,253.90",,,893.70,,1.90,2.97,,,71.27,0.56,,27.50,"60,843.11",,2.02,13.59,0.00,,CPNREIT,SET,PROPCON,PF&REIT
4Q2561,"1,257.51",,,846.94,,1.80,2.82,,,67.35,0.56,,25.50,"56,418.16",,1.88,13.59,0.00,,CPNREIT,SET,PROPCON,PF&REIT
1Q2562,"1,312.81",,,933.17,,1.99,3.11,,,71.08,0.56,,29.50,"65,268.06",,,13.55,5.48,,CPNREIT,SET,PROPCON,PF&REIT
2Q2562,"1,275.63",,,912.55,,1.94,3.04,,,71.54,0.56,,30.50,"67,480.54",,2.25,13.56,5.30,,CPNREIT,SET,PROPCON,PF&REIT
3Q2562,"1,285.18",,,903.27,,1.91,3.01,,,70.28,0.59,,35.75,"79,096.04",,2.63,13.56,4.52,,CPNREIT,SET,PROPCON,PF&REIT
4Q2562,"1,267.98",,,570.62,,1.21,1.91,,,45.00,0.57,,32.75,"72,458.61",,2.41,13.57,4.94,,CPNREIT,SET,PROPCON,PF&REIT
1Q2563,"1,180.54",,,800.91,,1.36,2.70,,,67.84,1.41,,24.00,"53,099.44",,1.79,13.42,6.76,,CPNREIT,SET,PROPCON,PF&REIT
2Q2563,738.45,,,44.43,,0.06,0.15,,,6.02,1.46,,26.00,"57,524.39",,1.94,13.38,6.24,,CPNREIT,SET,PROPCON,PF&REIT
3Q2563,"1,115.35",,,-493.76,,-0.69,-1.71,,,-44.27,1.49,,24.40,"53,984.43",,1.86,13.12,6.65,,CPNREIT,SET,PROPCON,PF&REIT
4Q2563,"1,035.28",,,-46.99,,-0.07,-0.17,,,-4.54,1.55,,19.00,"42,037.06",,1.47,12.90,8.54,,CPNREIT,SET,PROPCON,PF&REIT
1Q2564,"1,024.88",,,461.82,,0.62,1.48,,,45.06,1.27,,20.90,"53,671.91",,1.65,12.67,6.69,,CPNREIT,SET,PROPCON,PF&REIT
2Q2564,841.14,,,101.83,,0.13,0.30,,,12.11,1.30,,22.00,"56,496.75",,1.64,13.39,1.06,,CPNREIT,SET,PROPCON,PF&REIT
3Q2564,688.10,,,-845.93,,-1.09,-2.53,,,-122.94,1.35,,20.60,"52,901.50",,1.56,13.23,1.13,,CPNREIT,SET,PROPCON,PF&REIT
4Q2564,973.03,,,"1,148.17",,1.47,3.44,,,118.00,1.34,,20.20,"51,874.29",,1.58,12.80,1.15,,CPNREIT,SET,PROPCON,PF&REIT
1Q2565,"1,088.52",,,465.71,,0.59,1.38,,,42.78,1.35,,20.50,"52,644.70",,,,0.27,,CPNREIT,SET,PROPCON,PF&REIT
2Q2565,"1,222.29",,,856.12,,1.07,2.53,,,70.04,1.36,,18.80,"48,792.65",,1.45,13.13,0.29,,CPNREIT,SET,PROPCON,PF&REIT
3Q2565,"1,261.84",,,672.32,,0.84,1.98,,,53.28,1.37,,18.50,"47,765.43",,1.41,13.23,0.30,,CPNREIT,SET,PROPCON,PF&REIT
