,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,316.65,249.81,14.48,56.67,0.13,2.79,5.80,85.33,11.19,17.90,1.03,-278.85,3.24,"1,458.00",14.77,1.54,2.11,0.43,8.38,CRANE,SET,INDUS,IMM
2Q2555,287.25,-78.88,,20.55,0.03,0.90,2.03,89.83,12.62,7.15,1.46,-386.50,3.44,"1,741.50",16.31,1.73,1.99,0.36,9.70,CRANE,SET,INDUS,IMM
3Q2555,384.62,379.21,34.92,63.84,0.13,2.51,6.07,85.04,9.97,16.60,1.37,-388.33,3.86,"1,954.12",14.40,1.92,2.02,0.32,9.36,CRANE,SET,INDUS,IMM
4Q2555,330.43,-22.57,174.17,50.65,0.10,1.89,4.57,80.00,14.15,15.33,1.47,-305.30,4.42,"2,237.62",14.24,2.06,2.14,0.28,9.38,CRANE,SET,INDUS,IMM
1Q2556,324.11,-49.23,-60.21,25.37,0.05,0.91,2.20,83.97,12.02,7.83,1.35,-244.75,10.00,"5,062.50",26.41,4.46,2.24,0.12,16.24,CRANE,SET,INDUS,IMM
2Q2556,366.32,-2.69,83.31,31.84,0.05,1.16,2.68,90.47,11.63,8.69,1.29,-144.66,4.00,"2,314.28",14.43,1.98,2.02,0.35,8.62,CRANE,SET,INDUS,IMM
3Q2556,394.56,-27.95,-72.44,20.32,0.04,0.71,1.68,89.57,9.17,5.15,1.45,-125.03,4.52,"2,615.14",15.23,2.18,2.08,0.31,10.28,CRANE,SET,INDUS,IMM
4Q2556,343.19,,,-4.94,-0.01,-0.16,-0.41,75.46,23.41,-1.44,1.62,-166.53,4.02,"2,325.85",18.15,1.91,2.11,0.35,11.40,CRANE,SET,INDUS,IMM
1Q2557,432.86,,441.99,157.13,0.27,5.35,12.47,52.69,9.83,36.30,1.08,-159.96,4.94,"2,858.14",39.37,2.42,2.04,0.19,8.13,CRANE,SET,INDUS,IMM
2Q2557,301.78,-91.05,-50.14,28.33,0.02,1.04,2.10,84.42,14.42,9.39,0.95,-109.36,5.85,"3,666.68",17.94,2.74,2.14,0.15,9.46,CRANE,SET,INDUS,IMM
3Q2557,232.75,15.59,-20.01,17.40,0.03,0.66,1.27,79.92,17.24,7.48,0.91,-28.57,5.15,"3,227.94",16.07,2.37,2.17,0.17,8.70,CRANE,SET,INDUS,IMM
4Q2557,276.81,89.07,,33.51,0.05,1.25,2.40,81.65,16.86,12.11,0.93,191.60,4.24,"2,657.56",13.43,1.93,2.20,0.20,6.97,CRANE,SET,INDUS,IMM
1Q2558,321.86,2.67,-79.91,37.99,0.05,1.37,2.65,85.12,13.97,11.80,0.95,405.08,5.30,"3,321.95",14.05,2.35,2.25,0.23,10.88,CRANE,SET,INDUS,IMM
2Q2558,214.16,,,-14.82,-0.02,-0.52,-1.03,78.67,21.37,-6.92,1.01,504.48,3.92,"2,729.98",23.29,1.88,2.08,0.28,10.54,CRANE,SET,INDUS,IMM
3Q2558,172.93,-250.66,,-51.97,-0.07,-1.81,-3.71,68.78,30.11,-30.05,1.07,536.91,3.10,"2,158.92",29.14,1.51,2.05,0.36,11.07,CRANE,SET,INDUS,IMM
4Q2558,193.22,68.45,,-16.39,-0.02,-0.58,-1.20,63.87,18.89,-8.48,1.05,504.85,2.44,"1,699.28",360.56,1.24,1.97,0.46,10.84,CRANE,SET,INDUS,IMM
1Q2559,246.43,-134.58,,-38.46,-0.06,-1.29,-2.87,74.52,23.54,-15.61,1.41,355.02,2.32,"1,615.71",N/A,1.19,1.95,0.00,15.65,CRANE,SET,INDUS,IMM
2Q2559,157.23,-61.99,-320.35,-62.29,-0.09,-2.01,-4.83,76.38,22.22,-39.62,1.41,333.79,3.76,"2,618.56",N/A,1.98,1.90,0.00,22.05,CRANE,SET,INDUS,IMM
3Q2559,117.64,-27.81,-53.22,-79.97,-0.11,-2.70,-6.56,62.88,34.71,-67.97,1.45,343.09,2.98,"2,075.35",N/A,1.65,1.81,0.00,19.79,CRANE,SET,INDUS,IMM
4Q2559,138.62,-25.29,-508.50,-99.42,-0.14,-3.44,-8.80,78.06,22.11,-71.72,1.67,273.77,2.80,"1,949.99",N/A,1.65,1.69,0.00,32.95,CRANE,SET,INDUS,IMM
1Q2560,247.70,86.04,63.78,-14.02,-0.02,-0.49,-1.30,76.55,17.77,-5.66,1.71,169.31,2.42,"1,685.35",N/A,1.56,1.55,0.00,25.09,CRANE,SET,INDUS,IMM
2Q2560,255.19,,,5.46,0.01,0.18,0.48,86.17,12.27,2.14,1.54,-36.14,2.02,"1,529.26",N/A,1.43,1.53,0.00,15.83,CRANE,SET,INDUS,IMM
3Q2560,392.35,679.59,,44.32,0.06,1.47,3.65,91.06,8.98,11.30,1.43,-255.26,3.90,"2,952.53",N/A,2.48,1.58,0.00,13.89,CRANE,SET,INDUS,IMM
4Q2560,287.43,,94.53,-5.34,-0.01,-0.18,-0.43,82.04,15.38,-1.86,1.38,-348.52,3.54,"2,679.98",N/A,2.17,1.63,0.00,10.45,CRANE,SET,INDUS,IMM
1Q2561,215.13,-666.28,-200.00,-46.98,-0.06,-1.63,-3.88,72.67,20.07,-21.84,1.38,-431.77,3.12,"2,362.02",77.64,1.91,1.63,0.00,10.35,CRANE,SET,INDUS,IMM
2Q2561,292.90,37.97,,-26.62,-0.04,-0.96,-2.27,76.49,14.80,-9.09,1.36,-387.00,2.38,"1,801.80",N/A,1.52,1.57,0.00,10.04,CRANE,SET,INDUS,IMM
3Q2561,220.73,-31.70,,-37.11,-0.05,-1.33,-3.25,78.27,16.26,-16.81,1.54,-389.47,2.92,"2,210.61",N/A,1.90,1.53,0.00,15.96,CRANE,SET,INDUS,IMM
4Q2561,242.34,-41.72,-787.23,-52.59,-0.07,-1.86,-4.79,77.29,17.68,-21.70,1.62,-423.80,2.04,"1,544.40",N/A,1.37,1.48,0.00,15.55,CRANE,SET,INDUS,IMM
1Q2562,269.14,-7.17,-24.08,-56.36,-0.07,-2.05,-5.40,81.18,14.05,-20.94,1.65,-492.14,1.73,"1,309.71",N/A,1.22,1.41,0.00,14.27,CRANE,SET,INDUS,IMM
2Q2562,348.46,,,3.10,0.00,0.12,0.30,85.66,9.92,0.89,1.62,-638.76,2.08,"1,574.68",N/A,1.55,1.34,0.00,13.19,CRANE,SET,INDUS,IMM
3Q2562,309.19,316.63,,12.90,0.02,0.48,1.26,87.27,10.17,4.17,1.57,-710.05,1.97,"1,491.40",N/A,1.46,1.35,0.00,11.19,CRANE,SET,INDUS,IMM
4Q2562,339.90,460.74,,69.30,0.10,2.60,6.49,81.34,15.94,20.39,1.42,-710.51,1.81,"1,370.27",N/A,1.33,1.37,0.00,8.69,CRANE,SET,INDUS,IMM
1Q2563,256.66,-92.83,,5.19,0.01,0.19,0.47,84.76,14.20,2.02,1.49,-759.51,1.60,"1,211.29",,,,0.00,7.62,CRANE,SET,INDUS,IMM
2Q2563,245.13,425.40,779.95,27.24,0.04,0.99,2.44,82.00,12.86,11.11,1.42,-776.15,2.88,"2,180.33",24.10,1.98,1.46,0.00,10.24,CRANE,SET,INDUS,IMM
3Q2563,147.57,,,-46.94,-0.06,-1.73,-4.23,77.36,22.29,-31.81,1.46,-777.39,1.83,"1,387.48",12.10,1.22,1.50,0.00,10.25,CRANE,SET,INDUS,IMM
4Q2563,285.15,,-65.19,25.19,0.03,0.94,2.29,88.05,10.40,8.84,1.40,-928.42,1.43,"1,084.21",19.79,1.00,1.43,0.00,9.70,CRANE,SET,INDUS,IMM
1Q2564,237.21,-38.73,197.52,15.45,0.02,0.58,1.38,84.76,13.97,6.51,1.35,-922.10,1.76,"1,334.41",124.86,1.20,1.47,0.00,10.76,CRANE,SET,INDUS,IMM
2Q2564,125.05,,,-58.83,-0.08,-2.25,-5.36,74.62,23.58,-47.04,1.41,-920.81,1.69,"1,281.34",61.16,1.14,1.49,0.00,16.39,CRANE,SET,INDUS,IMM
3Q2564,115.39,35.02,18.68,-38.21,-0.05,-1.52,-3.64,68.58,28.43,-33.12,1.38,-821.60,1.51,"1,144.86",N/A,1.07,1.41,0.00,16.21,CRANE,SET,INDUS,IMM
4Q2564,58.06,-183.85,,-108.49,-0.14,-4.60,-11.11,-144.58,239.00,-186.85,1.45,-222.02,1.45,"1,099.37",N/A,1.07,1.36,0.00,-40.72,CRANE,SET,INDUS,IMM
1Q2565,144.19,91.36,,-9.38,-0.01,-0.42,-1.02,76.09,22.09,-6.51,1.46,-131.38,1.34,"1,015.97",,,,0.00,-27.64,CRANE,SET,INDUS,IMM
2Q2565,130.95,-638.97,-17.83,-69.30,-0.09,-3.14,-7.88,64.38,31.77,-52.92,1.57,-77.46,1.15,887.08,N/A,0.97,1.21,0.00,-29.36,CRANE,SET,INDUS,IMM
3Q2565,130.16,49.60,8.61,-34.93,-0.05,-1.62,-4.22,69.85,27.85,-26.84,1.63,-87.56,1.44,"1,175.19",N/A,1.39,1.11,0.00,-41.50,CRANE,SET,INDUS,IMM
