,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2561,,,,,,,,,,,1.64,,,,,,,,,CRC,SET,SERVICE,COMM
3Q2562,"159,292.93",,,"5,859.96",0.99,3.25,8.73,,28.89,3.68,1.73,,,,,,,,,CRC,SET,SERVICE,COMM
4Q2562,"63,193.23",28.28,,"6,499.52",1.27,3.51,12.04,296.52,26.31,10.29,3.57,,,,,,,,,CRC,SET,SERVICE,COMM
1Q2563,"54,285.20",-88.98,,890.34,0.14,0.39,1.70,65.67,27.50,1.64,3.15,,26.50,"159,821.50",15.03,,0.00,0.60,5.68,CRC,SET,SERVICE,COMM
2Q2563,"41,376.01",,,"-2,519.13",-0.47,-0.99,-4.08,57.75,34.16,-6.09,3.09,,32.75,"197,515.25",20.90,3.20,10.23,0.49,10.90,CRC,SET,SERVICE,COMM
3Q2563,"47,573.06",,-83.84,868.60,0.16,0.35,1.44,64.78,27.62,1.83,3.12,,26.00,"156,806.00",28.42,2.72,9.55,0.00,13.77,CRC,SET,SERVICE,COMM
4Q2563,"51,077.17",12.50,-85.83,"1,101.51",0.18,0.45,1.89,63.63,29.15,2.16,3.29,,30.75,"185,453.25",37.31,3.18,9.68,0.00,18.61,CRC,SET,SERVICE,COMM
1Q2564,"49,030.52",-61.11,-50.00,459.06,0.07,0.19,0.80,64.82,27.85,0.94,3.25,,37.25,"224,654.75","4,855.71",4.21,8.85,1.07,21.73,CRC,SET,SERVICE,COMM
2Q2564,"46,376.41",,82.98,-425.82,-0.08,-0.17,-0.74,63.59,29.84,-0.92,3.44,,33.50,"202,038.50",N/A,3.62,9.25,1.19,17.93,CRC,SET,SERVICE,COMM
3Q2564,"41,482.08",-366.58,,"-2,219.98",-0.37,-0.88,-3.87,59.90,33.40,-5.35,3.39,,33.50,"202,038.50",110.78,3.73,8.97,1.19,21.67,CRC,SET,SERVICE,COMM
4Q2564,"58,764.79",,118.48,"2,463.54",0.39,0.95,4.21,65.69,26.75,4.19,3.46,,32.00,"192,992.00",N/A,3.49,9.16,1.25,18.97,CRC,SET,SERVICE,COMM
1Q2565,"56,274.46",-49.24,185.17,"1,324.44",0.20,0.51,2.21,67.11,26.10,2.35,3.21,,39.75,"239,732.25",,,,0.75,19.85,CRC,SET,SERVICE,COMM
2Q2565,"56,825.99",23.46,,"1,604.71",0.25,0.62,2.61,66.14,27.42,2.82,3.16,,34.75,"211,085.00",244.92,3.64,9.60,0.86,16.48,CRC,SET,SERVICE,COMM
3Q2565,"57,997.58",-21.05,,"1,258.62",0.19,0.47,1.95,65.19,28.24,2.17,3.06,,39.25,"238,224.50",84.48,3.99,9.90,0.76,15.06,CRC,SET,SERVICE,COMM
