,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,725.74,140.20,-10.58,63.70,1.23,2.68,3.53,86.70,7.32,8.78,0.34,104.37,31.50,"1,638.00",7.89,0.94,33.62,3.17,4.76,CSC,SET,INDUS,PKG
2Q2555,719.97,12.07,15.37,71.39,1.37,2.89,3.86,88.25,6.97,9.92,0.34,85.96,48.25,"2,509.00",12.55,1.39,34.82,2.07,6.95,CSC,SET,INDUS,PKG
3Q2555,709.38,20.35,68.61,85.92,1.65,3.42,4.52,84.73,7.89,12.11,0.31,62.48,50.00,"2,600.00",12.40,1.42,35.15,2.00,6.45,CSC,SET,INDUS,PKG
4Q2555,714.66,-20.02,159.14,68.72,1.32,2.67,3.48,87.98,7.01,9.62,0.29,45.36,57.00,"2,964.00",12.16,1.55,36.78,1.75,6.52,CSC,SET,INDUS,PKG
1Q2556,745.37,55.03,67.25,106.54,2.05,3.93,5.20,86.72,7.69,14.29,0.36,59.55,59.50,"3,094.00",10.84,1.56,38.08,2.52,6.23,CSC,SET,INDUS,PKG
2Q2556,776.16,-0.02,49.21,106.53,2.05,3.75,5.08,88.01,7.36,13.72,0.35,57.50,57.00,"2,964.00",9.05,1.44,39.46,2.63,5.73,CSC,SET,INDUS,PKG
3Q2556,704.91,-48.12,-35.68,55.26,1.06,1.93,2.59,80.08,14.51,7.84,0.32,54.19,61.00,"3,172.00",8.76,1.53,39.96,2.46,6.56,CSC,SET,INDUS,PKG
4Q2556,710.66,25.57,0.97,69.39,1.33,2.42,3.15,86.90,7.92,9.76,0.28,72.78,54.50,"2,834.00",8.54,1.33,41.01,2.75,5.56,CSC,SET,INDUS,PKG
1Q2557,712.42,4.90,-31.68,72.79,1.40,2.49,3.21,87.73,7.68,10.22,0.29,89.48,56.75,"2,951.00",8.87,1.34,42.32,3.08,6.07,CSC,SET,INDUS,PKG
2Q2557,726.49,3.81,-29.07,75.56,1.45,2.53,3.29,86.07,8.10,10.40,0.31,108.89,52.50,"2,730.00",9.12,1.20,43.70,3.33,6.22,CSC,SET,INDUS,PKG
3Q2557,731.68,-5.09,29.77,71.71,1.38,2.34,3.08,87.33,7.57,9.80,0.32,123.69,52.75,"2,743.00",10.20,1.22,43.36,3.32,6.13,CSC,SET,INDUS,PKG
4Q2557,813.80,50.53,55.56,107.95,2.08,3.46,4.46,83.77,5.04,13.26,0.25,133.23,51.50,"2,678.00",9.39,1.15,44.72,3.40,5.25,CSC,SET,INDUS,PKG
1Q2558,764.69,-23.95,12.79,82.09,1.58,2.59,3.26,86.39,7.47,10.74,0.26,137.81,0.00,"2,769.00",8.57,1.13,47.00,3.29,5.24,CSC,SET,INDUS,PKG
2Q2558,759.30,-5.73,2.42,77.39,1.49,2.39,3.03,88.17,7.28,10.19,0.28,127.14,53.75,"2,795.00",8.41,1.11,48.52,3.26,5.13,CSC,SET,INDUS,PKG
3Q2558,749.63,24.39,34.25,96.27,1.85,2.95,3.72,86.90,7.91,12.84,0.24,147.16,50.00,"2,600.00",7.78,1.04,48.15,3.50,4.62,CSC,SET,INDUS,PKG
4Q2558,728.90,-29.61,-37.22,67.77,1.30,2.05,2.54,87.90,6.69,9.30,0.23,132.35,51.50,"2,678.00",7.48,1.03,49.96,3.40,4.91,CSC,SET,INDUS,PKG
1Q2559,773.66,51.61,25.15,102.75,1.98,3.02,3.73,87.78,8.06,13.28,0.24,117.63,51.25,"2,665.00",8.36,1.00,51.29,3.41,4.72,CSC,SET,INDUS,PKG
2Q2559,813.84,23.37,63.79,126.76,2.44,3.61,4.50,88.76,7.46,15.58,0.25,107.63,52.25,"2,717.00",8.02,0.98,53.08,3.35,4.36,CSC,SET,INDUS,PKG
3Q2559,746.40,-29.50,-7.18,89.36,1.72,2.49,3.10,87.92,7.68,11.97,0.24,98.04,59.75,"3,107.00",8.02,1.11,53.72,2.93,5.35,CSC,SET,INDUS,PKG
