,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,049.26",,-40.00,29.03,0.06,1.20,4.03,98.45,1.51,2.77,2.19,"4,416.88",2.10,"1,050.00",11.48,1.42,1.48,5.71,12.84,CSP,SET,INDUS,STEEL
2Q2555,940.64,,,2.97,0.00,0.13,0.42,98.53,1.47,0.32,2.47,"4,167.67",2.00,"1,000.00",13.72,1.41,1.42,6.00,18.55,CSP,SET,INDUS,STEEL
3Q2555,"1,014.86",,-12.16,28.28,0.06,1.13,3.92,98.39,1.60,2.79,2.47,"4,319.35",0.00,950.00,27.45,1.33,1.43,6.32,20.71,CSP,SET,INDUS,STEEL
4Q2555,"1,251.92",27.68,,40.29,0.08,1.64,5.33,98.84,1.16,3.22,2.02,"6,023.11",2.04,"1,020.00",39.26,1.37,1.48,5.88,12.01,CSP,SET,INDUS,STEEL
1Q2556,"1,165.08",129.27,200.00,90.94,0.18,3.90,11.49,98.60,1.40,7.81,1.87,"5,616.62",3.36,"1,667.12",16.58,2.15,1.57,4.46,11.20,CSP,SET,INDUS,STEEL
2Q2556,"1,025.88",,,-14.68,-0.03,-0.60,-1.84,98.40,1.59,-1.43,2.30,"5,789.30",2.88,"1,428.96",8.79,1.77,1.63,5.21,12.71,CSP,SET,INDUS,STEEL
3Q2556,935.38,,-83.74,4.61,0.01,0.19,0.58,98.05,1.94,0.49,1.91,"5,566.15",2.40,"1,190.80",8.22,1.50,1.60,6.25,12.37,CSP,SET,INDUS,STEEL
4Q2556,853.70,,,-3.82,0.00,-0.16,-0.48,97.94,2.06,-0.45,2.04,"5,326.29",0.00,"1,161.03",9.58,1.46,1.61,6.41,16.81,CSP,SET,INDUS,STEEL
1Q2557,"1,405.29",,-5.56,84.58,0.17,3.50,10.53,98.75,1.24,6.02,1.97,"5,441.76",2.60,"1,290.03",16.74,1.63,1.60,5.00,18.37,CSP,SET,INDUS,STEEL
2Q2557,"1,033.50",-35.29,,56.46,0.11,2.37,6.71,97.94,2.05,5.46,1.70,"4,550.08",3.10,"1,538.12",21.76,1.89,1.64,4.19,12.13,CSP,SET,INDUS,STEEL
3Q2557,741.64,-36.36,600.00,30.33,0.07,1.26,3.43,97.95,2.06,4.09,1.74,"4,767.57",4.28,"2,123.59",14.97,2.44,1.75,3.04,13.69,CSP,SET,INDUS,STEEL
4Q2557,672.30,,,-30.93,-0.07,-1.25,-3.50,96.52,3.48,-4.60,1.88,"4,649.02",3.84,"1,905.28",11.37,2.12,1.81,3.39,15.36,CSP,SET,INDUS,STEEL
1Q2558,649.01,-57.14,,-54.08,-0.11,-2.15,-6.74,96.74,3.26,-8.33,2.43,"4,799.80",3.44,"1,706.81",12.15,1.96,1.75,4.65,46.90,CSP,SET,INDUS,STEEL
2Q2558,705.85,18.53,,-44.97,-0.09,-1.84,-6.31,97.10,2.75,-6.37,2.43,"5,118.29",2.96,"1,468.65",819.73,2.00,1.48,5.41,-83.95,CSP,SET,INDUS,STEEL
3Q2558,590.39,32.63,,-30.52,-0.06,-1.26,-4.52,93.57,6.56,-5.17,2.74,"4,172.47",2.10,"1,041.95",N/A,1.51,1.39,7.62,-28.25,CSP,SET,INDUS,STEEL
4Q2558,700.89,-65.62,-42.86,-47.27,-0.10,-1.99,-7.44,96.37,3.63,-6.74,2.72,"3,960.91",1.71,848.44,N/A,1.29,1.33,9.36,-22.79,CSP,SET,INDUS,STEEL
1Q2559,929.71,,,29.80,0.06,1.47,4.76,96.74,3.26,3.20,1.77,"3,121.15",1.66,823.64,N/A,1.35,1.23,0.00,-70.79,CSP,SET,INDUS,STEEL
2Q2559,546.06,16.67,,35.20,0.07,1.96,5.34,94.91,5.08,6.45,1.70,"2,649.28",2.00,992.33,N/A,1.55,1.29,0.00,41.54,CSP,SET,INDUS,STEEL
3Q2559,589.67,-42.86,,21.75,0.04,1.19,3.16,94.51,5.49,3.69,1.63,"2,282.48",1.71,848.44,N/A,1.25,1.36,0.00,19.81,CSP,SET,INDUS,STEEL
4Q2559,661.65,50.00,,28.80,0.06,1.49,4.04,96.09,3.91,4.35,1.81,"2,009.41",2.24,"1,111.41",28.15,1.59,1.41,0.00,14.24,CSP,SET,INDUS,STEEL
1Q2560,812.46,183.33,183.33,86.76,0.17,4.28,11.64,96.74,3.21,10.68,1.64,"2,184.54",2.22,"1,101.49",9.53,1.51,1.47,4.50,10.32,CSP,SET,INDUS,STEEL
2Q2560,621.35,-88.24,-71.43,8.49,0.02,0.42,1.10,95.91,4.02,1.37,1.68,"2,367.57",2.70,"1,339.66",7.77,1.75,1.54,3.70,13.19,CSP,SET,INDUS,STEEL
3Q2560,789.32,,,-169.89,-0.34,-7.85,-24.70,96.35,3.62,-21.52,2.75,"2,574.28",2.74,"1,359.50",9.32,1.76,1.56,3.65,310.48,CSP,SET,INDUS,STEEL
4Q2560,622.69,,-50.00,11.03,0.03,0.51,1.81,95.36,4.73,1.77,2.32,"2,561.78",1.66,823.64,N/A,1.37,1.21,6.02,-526.30,CSP,SET,INDUS,STEEL
1Q2561,699.11,-33.33,-88.24,9.46,0.02,0.45,1.52,94.68,5.32,1.35,2.52,"2,499.22",1.58,783.95,N/A,1.27,1.24,0.00,-29.28,CSP,SET,INDUS,STEEL
2Q2561,683.94,-50.00,-50.00,7.53,0.01,0.34,1.20,96.46,3.54,1.10,2.51,"2,567.52",1.42,704.56,N/A,1.13,1.26,0.00,-29.19,CSP,SET,INDUS,STEEL
3Q2561,699.43,-80.00,,-1.20,0.00,-0.05,-0.19,95.85,4.11,-0.17,2.57,"2,552.41",1.39,689.67,N/A,1.09,1.28,0.00,24.56,CSP,SET,INDUS,STEEL
