,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,47.63,341.67,79.66,21.77,1.06,1.21,1.23,78.12,11.54,45.71,0.02,-28.11,37.25,763.63,18.33,0.42,89.51,3.76,10.29,CSR,SET,SERVICE,TOURISM
2Q2555,36.39,-47.17,1.16,11.49,0.56,0.66,0.68,68.80,28.64,31.59,0.01,-21.24,0.00,814.88,15.89,0.48,83.40,3.52,11.04,CSR,SET,SERVICE,TOURISM
3Q2555,40.92,44.64,25.30,16.64,0.81,0.96,0.98,64.61,16.74,40.66,0.01,-23.35,48.00,984.00,19.11,0.58,82.70,2.92,13.11,CSR,SET,SERVICE,TOURISM
4Q2555,44.58,-13.58,191.67,14.25,0.70,0.82,0.83,68.39,22.80,31.97,0.01,-45.14,48.00,984.00,17.91,0.58,83.37,2.92,11.69,CSR,SET,SERVICE,TOURISM
1Q2556,55.18,88.57,24.53,27.07,1.32,1.53,1.67,75.80,12.18,49.05,0.18,-84.05,52.00,"1,066.00",16.62,0.62,84.17,3.85,14.64,CSR,SET,SERVICE,TOURISM
2Q2556,41.00,-38.52,44.91,16.63,0.81,0.94,1.11,74.85,18.20,40.55,0.17,-117.10,0.00,"1,066.00",15.35,0.70,73.92,3.85,13.57,CSR,SET,SERVICE,TOURISM
3Q2556,43.10,26.05,26.29,20.97,1.02,1.19,1.40,66.83,15.96,48.66,0.17,-161.40,51.00,"1,045.50",14.02,0.70,72.73,3.92,12.39,CSR,SET,SERVICE,TOURISM
4Q2556,45.80,-32.00,-0.63,14.32,0.70,0.81,0.94,68.10,23.93,31.26,0.17,-162.65,53.50,"1,096.75",13.90,0.73,73.60,3.74,12.87,CSR,SET,SERVICE,TOURISM
1Q2557,46.72,39.46,-26.52,19.88,0.97,1.10,1.29,75.42,13.98,42.54,0.18,-168.36,0.00,"1,127.50",14.27,0.74,74.33,4.27,14.59,CSR,SET,SERVICE,TOURISM
2Q2557,40.70,-6.19,12.14,18.62,0.91,1.04,1.22,80.84,8.39,45.76,0.17,-198.51,0.00,"1,107.00",15.42,0.72,75.42,4.35,13.88,CSR,SET,SERVICE,TOURISM
3Q2557,41.66,0.00,-11.04,18.74,0.91,1.05,1.23,69.38,13.31,44.99,0.17,-217.18,0.00,"1,189.00",16.11,0.79,73.88,4.05,14.88,CSR,SET,SERVICE,TOURISM
4Q2557,45.84,-24.18,-0.80,14.09,0.69,0.78,0.92,73.14,20.56,30.73,0.17,-231.43,0.00,"1,178.75",16.47,0.77,74.73,4.09,15.04,CSR,SET,SERVICE,TOURISM
1Q2558,52.26,76.21,25.35,24.93,1.22,1.36,1.60,76.71,10.84,47.69,0.18,-249.00,0.00,"1,204.38",16.88,0.78,75.46,3.56,14.52,CSR,SET,SERVICE,TOURISM
2Q2558,40.08,-37.15,-16.03,15.71,0.76,0.86,1.01,78.55,13.86,39.19,0.17,-228.66,0.00,"1,219.75",15.97,0.78,76.65,3.51,15.28,CSR,SET,SERVICE,TOURISM
3Q2558,40.43,-0.59,-16.53,15.53,0.76,0.85,1.00,71.41,17.16,38.41,0.17,-224.62,0.00,"1,153.13",15.70,0.75,75.38,3.72,15.17,CSR,SET,SERVICE,TOURISM
4Q2558,43.05,-14.38,-5.74,13.36,0.65,0.83,0.96,67.81,27.71,31.02,0.15,-209.30,62.00,"1,271.00",18.09,0.82,76.01,3.37,15.25,CSR,SET,SERVICE,TOURISM
1Q2559,44.43,49.28,-20.14,19.90,0.97,1.40,1.61,80.44,14.17,44.79,0.16,-205.02,0.00,"1,250.50",17.99,1.02,59.62,3.34,16.35,CSR,SET,SERVICE,TOURISM
2Q2559,40.22,-35.21,-17.68,12.94,0.63,0.91,1.05,76.31,14.41,32.18,0.15,-207.98,61.00,"1,250.50",19.39,1.01,60.66,3.34,16.70,CSR,SET,SERVICE,TOURISM
3Q2559,37.54,9.69,-9.16,14.10,0.69,1.00,1.15,73.96,17.51,37.56,0.15,-210.14,0.00,"1,250.50",20.26,1.03,59.26,3.34,16.94,CSR,SET,SERVICE,TOURISM
4Q2559,42.05,1.79,7.99,14.40,0.70,1.01,1.16,59.65,39.90,34.24,0.15,-189.34,0.00,"1,235.13",20.48,1.00,59.96,3.39,16.52,CSR,SET,SERVICE,TOURISM
1Q2560,48.08,48.07,7.11,21.31,1.04,1.47,1.69,77.69,16.97,44.32,0.15,-178.96,0.00,"1,230.00",20.05,0.98,60.98,3.00,16.23,CSR,SET,SERVICE,TOURISM
2Q2560,39.84,-46.15,-10.98,11.51,0.56,0.79,0.91,70.09,25.50,28.89,0.15,-161.34,0.00,"1,230.00",19.60,0.97,62.02,3.00,16.35,CSR,SET,SERVICE,TOURISM
3Q2560,40.81,7.14,-13.05,12.36,0.60,0.86,0.99,67.20,23.27,30.29,0.15,-157.83,0.00,"1,240.25",20.23,1.00,60.80,2.98,16.59,CSR,SET,SERVICE,TOURISM
4Q2560,48.89,91.67,63.73,23.46,1.15,1.61,1.85,66.13,23.24,47.99,0.14,-172.81,66.00,"1,353.00",22.71,1.07,61.44,2.73,16.90,CSR,SET,SERVICE,TOURISM
1Q2561,49.59,-17.72,-9.02,19.40,0.95,1.31,1.50,75.98,18.51,39.11,0.15,-170.22,0.00,"1,373.50",20.01,1.07,62.63,3.01,17.10,CSR,SET,SERVICE,TOURISM
2Q2561,41.02,-43.58,-4.68,10.85,0.53,0.73,0.84,68.81,26.27,26.44,0.14,-164.19,0.00,"1,373.50",20.58,1.05,63.59,3.01,17.00,CSR,SET,SERVICE,TOURISM
3Q2561,41.06,10.53,-1.67,12.20,0.59,0.83,0.95,71.62,22.40,29.71,0.15,-155.39,0.00,"2,034.63",30.80,1.60,62.03,2.04,23.94,CSR,SET,SERVICE,TOURISM
4Q2561,44.61,-11.86,-54.78,10.57,0.52,0.71,0.82,64.40,28.91,23.69,0.16,-181.72,0.00,"1,819.38",27.60,1.42,62.69,2.28,23.14,CSR,SET,SERVICE,TOURISM
1Q2562,51.73,100.00,9.91,21.36,1.04,1.42,1.64,73.33,18.33,41.30,0.15,-159.82,0.00,"1,414.50",26.68,1.10,62.97,2.46,17.96,CSR,SET,SERVICE,TOURISM
2Q2562,39.34,-67.31,-36.31,6.86,0.34,0.46,0.53,62.54,32.23,17.44,0.15,-147.59,0.00,"1,435.00",26.10,1.09,64.04,2.43,19.33,CSR,SET,SERVICE,TOURISM
3Q2562,38.79,26.47,-27.12,8.88,0.43,0.60,0.69,66.73,25.98,22.90,0.15,-124.21,74.75,"1,532.38",30.05,1.19,62.73,2.27,21.05,CSR,SET,SERVICE,TOURISM
4Q2562,46.86,41.86,17.31,12.50,0.61,0.84,0.96,68.35,26.92,26.68,0.14,-84.11,0.00,"1,624.63",34.08,1.26,63.11,2.15,22.18,CSR,SET,SERVICE,TOURISM
1Q2563,41.46,-3.28,-43.27,12.18,0.59,0.81,0.93,68.33,25.63,29.38,0.15,-75.77,70.25,"1,440.13",,,,2.28,22.63,CSR,SET,SERVICE,TOURISM
2Q2563,25.18,-66.15,-41.26,4.01,0.20,0.27,0.31,62.18,30.22,15.92,0.15,-81.80,67.75,"1,388.88",34.36,1.06,64.01,2.36,22.67,CSR,SET,SERVICE,TOURISM
3Q2563,33.71,-14.73,-60.40,3.49,0.17,0.24,0.27,53.24,40.91,10.35,0.15,-69.41,0.00,"1,476.00",39.29,1.15,62.69,2.22,26.80,CSR,SET,SERVICE,TOURISM
4Q2563,36.83,2.04,-71.51,3.56,0.17,0.26,0.30,56.17,38.77,9.68,0.12,-70.26,64.00,"1,312.00",40.77,1.02,62.98,2.50,28.83,CSR,SET,SERVICE,TOURISM
1Q2564,33.65,116.72,-36.17,7.72,0.38,0.63,0.71,63.68,27.10,22.94,0.13,-75.08,0.00,"1,271.00",54.68,1.17,52.87,1.11,32.23,CSR,SET,SERVICE,TOURISM
2Q2564,30.85,-10.18,69.37,6.93,0.34,0.57,0.64,64.31,29.33,22.48,0.12,-74.30,0.00,"1,286.38",68.49,1.18,53.25,1.10,30.74,CSR,SET,SERVICE,TOURISM
3Q2564,20.85,-91.19,-82.50,0.61,0.03,0.05,0.06,48.00,38.72,2.93,0.12,-85.94,0.00,"1,235.13",56.90,1.14,52.90,1.15,32.89,CSR,SET,SERVICE,TOURISM
4Q2564,37.28,"1,513.39",176.68,9.86,0.48,0.77,0.86,57.71,31.29,26.44,0.13,-89.30,62.50,"1,281.25",68.05,1.18,52.93,1.10,30.47,CSR,SET,SERVICE,TOURISM
1Q2565,34.59,-15.35,8.07,8.34,0.41,0.61,0.69,67.24,24.07,24.12,0.14,-90.50,59.75,"1,224.88",,,,1.26,28.30,CSR,SET,SERVICE,TOURISM
2Q2565,37.10,3.44,24.46,8.63,0.42,0.63,0.72,64.19,31.02,23.26,0.13,-87.19,58.75,"1,214.63",47.18,1.01,58.95,1.27,27.44,CSR,SET,SERVICE,TOURISM
3Q2565,37.60,12.94,"1,495.50",9.75,0.48,0.71,0.81,68.35,25.21,25.92,0.14,-91.85,0.00,"1,353.00",49.31,1.13,58.62,1.14,24.68,CSR,SET,SERVICE,TOURISM
