,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2555,,,,,,,,,,,3.88,-219.82,,,,,,,,CSS,SET,SERVICE,COMM
1Q2556,840.73,,,44.23,0.11,2.18,10.71,90.88,7.62,5.26,3.94,-308.58,,,,,,,,CSS,SET,SERVICE,COMM
2Q2556,734.29,-81.68,,15.60,0.02,0.80,3.66,90.45,9.39,2.12,3.19,-313.31,,,,,,,,CSS,SET,SERVICE,COMM
3Q2556,758.14,48.14,,21.60,0.03,1.13,2.93,91.80,7.85,2.85,0.92,-360.65,3.30,"2,310.00",16.62,0.00,0.00,0.00,8.03,CSS,SET,SERVICE,COMM
4Q2556,827.35,34.00,,28.68,0.04,1.41,2.77,91.17,8.14,3.47,1.00,-577.76,2.36,"1,652.00",13.65,1.59,1.49,0.00,14.06,CSS,SET,SERVICE,COMM
1Q2557,775.59,-34.70,-76.25,19.96,0.03,0.96,1.98,90.50,8.91,2.57,1.12,-534.72,2.74,"1,918.00",17.42,1.87,1.47,5.11,20.69,CSS,SET,SERVICE,COMM
2Q2557,849.78,182.85,266.65,46.68,0.07,2.17,4.61,90.41,8.49,5.49,1.12,-562.20,3.30,"2,310.00",26.91,2.33,1.41,4.24,19.03,CSS,SET,SERVICE,COMM
3Q2557,"1,219.09",46.62,262.88,80.87,0.11,3.55,7.66,92.84,6.84,6.63,1.19,-578.42,6.25,"4,375.00",37.42,4.22,1.48,2.24,22.30,CSS,SET,SERVICE,COMM
4Q2557,"1,163.65",12.33,204.20,87.71,0.12,3.53,7.70,92.21,7.28,7.54,1.17,-606.07,6.55,"4,585.00",26.02,4.26,1.54,2.14,17.26,CSS,SET,SERVICE,COMM
1Q2558,"1,003.41",-47.40,145.02,63.66,0.06,2.34,4.75,89.72,9.85,6.34,0.92,-564.56,7.20,"5,225.30",22.21,4.35,1.72,0.96,14.93,CSS,SET,SERVICE,COMM
2Q2558,"1,134.37",12.50,-2.54,75.99,0.07,2.55,4.94,87.84,9.62,6.70,0.95,-562.31,5.75,"5,991.97",21.48,4.05,1.70,0.86,16.44,CSS,SET,SERVICE,COMM
3Q2558,"1,259.56",-20.83,-47.38,66.42,0.06,2.08,4.19,89.74,9.35,5.27,1.08,-493.77,4.92,"5,198.37",17.33,3.34,1.49,1.00,15.17,CSS,SET,SERVICE,COMM
4Q2558,"1,177.09",-17.54,-61.37,62.17,0.05,1.85,3.82,89.65,9.12,5.28,1.04,-489.89,4.78,"5,097.88",18.23,3.35,1.44,1.01,15.80,CSS,SET,SERVICE,COMM
