,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,637.30",,-72.73,27.55,0.06,0.46,0.67,91.81,7.41,1.68,0.46,"1,240.91",7.65,"3,043.98",18.04,0.77,9.96,6.54,10.69,CTW,SET,INDUS,IMM
2Q2555,"1,975.38",883.33,136.00,233.48,0.59,3.82,5.66,87.63,4.37,11.82,0.51,"1,275.89",7.95,"3,163.35",29.84,0.79,10.01,6.29,8.45,CTW,SET,INDUS,IMM
3Q2555,"1,853.12",-22.03,411.11,180.03,0.46,2.88,4.26,95.84,3.55,9.72,0.46,"1,362.36",8.85,"3,521.47",14.59,0.88,10.11,5.65,6.95,CTW,SET,INDUS,IMM
4Q2555,"2,010.87",-50.00,,97.12,0.23,1.56,2.24,91.76,7.71,4.83,0.42,"1,139.12",11.50,"4,575.92",11.84,1.09,10.52,4.35,6.41,CTW,SET,INDUS,IMM
1Q2556,"1,479.80",-52.17,83.33,45.61,0.11,0.73,1.03,93.80,5.38,3.08,0.39,"1,277.82",16.10,"6,406.29",12.04,1.50,10.70,3.73,7.99,CTW,SET,INDUS,IMM
2Q2556,"1,639.28",45.45,-72.88,66.38,0.16,1.05,1.51,94.40,4.88,4.05,0.47,"1,354.31",11.50,"4,575.92",8.34,1.05,10.92,5.22,8.67,CTW,SET,INDUS,IMM
3Q2556,"1,758.26",32.78,-53.82,86.75,0.21,1.37,1.99,93.52,5.80,4.93,0.43,"1,220.56",9.75,"3,879.59",10.21,0.93,10.53,6.15,8.56,CTW,SET,INDUS,IMM
4Q2556,"2,026.65",22.87,13.50,105.94,0.26,1.66,2.35,88.24,11.27,5.23,0.40,"1,034.09",9.45,"3,760.21",13.26,0.88,10.74,6.35,7.83,CTW,SET,INDUS,IMM
1Q2557,"1,680.75",-64.18,-15.00,39.55,0.09,0.61,0.86,95.16,4.34,2.35,0.40,989.52,9.20,"3,660.74",12.37,0.83,11.03,7.61,7.02,CTW,SET,INDUS,IMM
2Q2557,"1,602.64",,,-7.57,-0.01,-0.12,-0.17,91.39,8.06,-0.47,0.50,826.88,9.95,"3,959.17",13.62,0.90,11.10,7.04,9.52,CTW,SET,INDUS,IMM
3Q2557,"1,737.18",,4.50,66.37,0.22,1.00,1.52,95.29,4.00,3.82,0.54,851.17,11.70,"4,655.50",19.52,1.12,10.44,5.98,12.00,CTW,SET,INDUS,IMM
4Q2557,"1,855.47",,,-14.40,-0.02,-0.21,-0.33,92.24,7.10,-0.78,0.54,"1,088.31",10.80,"4,297.39",19.18,1.02,10.61,6.48,18.39,CTW,SET,INDUS,IMM
1Q2558,"1,382.82",,-81.11,-3.38,0.02,-0.05,-0.08,94.57,4.76,-0.24,0.56,"1,290.01",10.00,"3,979.06",35.24,0.95,10.55,3.50,20.38,CTW,SET,INDUS,IMM
2Q2558,"1,727.21",,-721.04,-51.82,-0.11,-0.78,-1.23,93.71,5.75,-3.00,0.58,"1,549.11",9.10,"3,620.95",43.77,0.87,10.44,3.85,27.77,CTW,SET,INDUS,IMM
3Q2558,"1,810.09",53.08,,-23.48,-0.05,-0.37,-0.57,91.91,7.64,-1.30,0.48,"1,382.14",9.05,"3,601.05",143.99,0.91,9.99,3.87,59.61,CTW,SET,INDUS,IMM
4Q2558,"1,531.13",-101.52,-473.99,-41.59,-0.10,-0.71,-1.02,92.68,7.15,-2.72,0.38,"1,466.87",8.35,"3,322.52",N/A,0.84,9.96,4.19,202.27,CTW,SET,INDUS,IMM
1Q2559,"1,181.12",80.92,,-10.00,-0.02,-0.18,-0.25,94.05,5.61,-0.85,0.36,"1,401.39",8.25,"3,282.73",N/A,0.84,9.83,2.42,635.12,CTW,SET,INDUS,IMM
2Q2559,"1,671.82",,,179.16,0.47,3.23,4.37,93.93,4.87,10.72,0.35,"1,362.13",10.00,"3,979.06",N/A,1.02,9.80,2.00,16.51,CTW,SET,INDUS,IMM
3Q2559,"1,686.78",-75.52,,42.28,0.11,0.75,1.02,95.84,3.69,2.51,0.38,"1,616.71",10.00,"3,979.06",34.15,0.99,10.06,2.00,13.81,CTW,SET,INDUS,IMM
4Q2559,"1,925.24",30.30,,48.90,0.15,0.85,1.16,92.47,7.27,2.54,0.36,"1,412.97",10.40,"4,138.23",22.65,1.02,10.17,1.92,10.09,CTW,SET,INDUS,IMM
1Q2560,"1,561.64",-22.81,,43.85,0.11,0.73,1.03,95.56,4.18,2.81,0.46,"1,448.13",10.70,"4,257.60",15.11,1.04,10.32,3.27,9.69,CTW,SET,INDUS,IMM
2Q2560,"1,702.76",-26.01,-81.78,28.89,0.09,0.46,0.68,94.56,4.29,1.70,0.48,"1,554.75",10.60,"4,217.81",12.55,1.02,10.42,3.30,15.48,CTW,SET,INDUS,IMM
3Q2560,"2,341.80",358.55,241.24,154.58,0.39,2.41,3.62,96.18,2.99,6.60,0.52,"1,546.15",10.30,"4,098.43",22.56,1.01,10.19,3.40,11.25,CTW,SET,INDUS,IMM
4Q2560,"2,344.39",-69.23,-19.42,26.48,0.12,0.41,0.61,93.11,6.66,1.13,0.47,"1,581.95",10.70,"4,257.60",14.44,1.01,10.58,3.27,12.35,CTW,SET,INDUS,IMM
1Q2561,"1,816.49",41.67,47.89,67.09,0.17,1.05,1.53,96.66,3.20,3.69,0.43,"1,594.06",8.80,"3,501.58",12.46,0.83,10.65,3.98,9.38,CTW,SET,INDUS,IMM
2Q2561,"1,917.77",64.71,229.22,102.50,0.28,1.63,2.33,96.27,3.52,5.35,0.42,"1,565.45",7.90,"3,143.46",10.35,0.73,10.82,4.43,7.08,CTW,SET,INDUS,IMM
3Q2561,"2,000.89",-42.86,-58.97,56.74,0.16,0.91,1.29,95.78,3.89,2.84,0.41,"1,546.84",9.50,"3,780.11",9.93,0.88,10.75,3.68,10.52,CTW,SET,INDUS,IMM
4Q2561,"2,247.69",-29.68,-6.23,37.19,0.11,0.60,0.84,92.51,7.08,1.65,0.36,"1,459.52",8.00,"3,183.25",11.09,0.73,10.89,4.38,8.02,CTW,SET,INDUS,IMM
1Q2562,"1,575.43",-20.01,-47.06,35.14,0.09,0.58,0.78,94.63,4.40,2.23,0.35,"1,398.08",7.95,"3,163.35",11.00,0.72,10.98,5.66,8.52,CTW,SET,INDUS,IMM
2Q2562,"1,383.83",,,-53.86,-0.13,-0.91,-1.23,93.76,5.89,-3.89,0.35,"1,364.29",7.85,"3,123.56",12.22,0.71,11.08,5.73,16.96,CTW,SET,INDUS,IMM
3Q2562,"1,532.29",,-37.50,31.76,0.10,0.56,0.74,95.51,3.98,2.07,0.32,"1,444.99",6.40,"2,546.60",26.70,0.61,10.48,7.03,15.50,CTW,SET,INDUS,IMM
4Q2562,"1,503.01",34.12,19.20,29.04,0.13,0.53,0.68,91.09,8.51,1.93,0.24,"1,592.84",5.40,"2,148.69",30.79,0.51,10.57,8.33,11.25,CTW,SET,INDUS,IMM
