,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2559,,,,,,,,,,,1.05,-17.45,,,,,,,,D,mai,SERVICE,-
1Q2560,119.69,,,12.49,0.08,3.54,4.94,73.68,24.77,10.44,0.22,-37.66,,,,,,,,D,mai,SERVICE,-
2Q2560,104.00,-44.43,,10.06,0.05,2.14,2.48,70.18,26.30,9.67,0.10,-41.72,8.30,"1,660.00",37.25,,0.00,0.00,12.34,D,mai,SERVICE,-
3Q2560,117.78,35.22,,12.43,0.06,2.76,3.08,72.57,26.05,10.55,0.13,-49.45,8.90,"1,780.00",39.30,4.34,2.05,0.00,10.97,D,mai,SERVICE,-
4Q2560,126.71,-10.94,,11.13,0.06,2.22,2.76,72.73,26.15,8.78,0.35,-79.16,9.40,"1,880.00",41.33,4.72,1.99,0.00,22.36,D,mai,SERVICE,-
1Q2561,125.58,0.04,-33.06,11.03,0.06,1.95,2.66,72.35,25.09,8.78,0.37,-62.35,9.10,"1,820.00",39.47,4.44,2.05,2.42,22.43,D,mai,SERVICE,-
2Q2561,129.84,-7.16,11.84,10.24,0.05,1.77,2.46,71.91,26.07,7.89,0.41,-54.22,9.95,"1,990.00",44.57,4.73,2.10,2.21,23.98,D,mai,SERVICE,-
3Q2561,183.96,-0.94,-18.06,10.14,0.05,1.39,2.49,74.79,24.55,5.51,1.18,42.63,11.90,"2,380.00",53.09,5.79,2.05,1.85,30.76,D,mai,SERVICE,-
4Q2561,212.83,-79.81,-81.42,2.05,0.01,0.22,0.51,74.23,24.84,0.96,1.33,97.05,9.15,"1,830.00",43.02,4.54,2.02,2.40,27.60,D,mai,SERVICE,-
1Q2562,199.23,87.21,-65.23,3.84,0.02,0.39,0.94,73.46,25.26,1.93,1.50,151.04,7.35,"1,470.00",43.94,3.63,2.03,1.22,26.25,D,mai,SERVICE,-
2Q2562,205.13,12.15,-58.00,4.30,0.02,0.41,1.05,72.50,25.70,2.10,1.61,182.72,7.20,"1,440.00",54.83,3.52,2.04,1.25,28.92,D,mai,SERVICE,-
3Q2562,195.21,,,-3.69,-0.02,-0.34,-0.90,70.86,28.39,-1.89,1.69,158.31,5.05,"1,010.00",49.70,2.44,2.07,1.78,27.73,D,mai,SERVICE,-
4Q2562,181.90,-443.57,,-20.04,-0.10,-1.84,-5.02,63.53,35.95,-11.01,1.77,151.45,3.92,784.00,144.86,2.30,1.88,1.91,35.44,D,mai,SERVICE,-
1Q2563,153.81,49.05,,-11.76,-0.05,-1.05,-2.72,64.28,34.75,-7.64,1.43,147.94,2.16,518.40,N/A,1.33,1.95,0.00,39.48,D,mai,SERVICE,-
2Q2563,92.04,33.74,,-8.20,-0.03,-0.71,-1.74,62.49,34.82,-8.91,1.48,181.65,3.34,801.60,N/A,1.69,1.98,0.00,102.45,D,mai,SERVICE,-
3Q2563,183.92,,,16.70,0.07,1.45,3.52,76.11,21.74,9.08,1.37,210.11,3.22,772.80,N/A,1.66,1.94,0.00,41.73,D,mai,SERVICE,-
4Q2563,148.54,,80.95,-4.55,-0.02,-0.40,-0.95,73.48,27.89,-3.06,1.35,245.51,3.72,892.80,N/A,1.85,2.01,0.00,32.85,D,mai,SERVICE,-
1Q2564,144.15,66.46,87.46,-1.85,-0.01,-0.16,-0.39,70.80,28.32,-1.28,1.37,256.46,4.64,"1,113.60",N/A,2.33,1.99,0.24,32.55,D,mai,SERVICE,-
2Q2564,121.54,-507.81,-15.02,-11.20,-0.04,-0.99,-2.38,70.06,29.05,-9.21,1.44,243.91,4.04,"1,163.52",553.91,2.44,1.65,0.23,34.67,D,mai,SERVICE,-
3Q2564,124.38,63.01,,-4.14,-0.01,-0.37,-0.90,72.90,26.51,-3.33,1.43,259.30,3.88,"1,117.44",N/A,2.42,1.61,0.24,58.85,D,mai,SERVICE,-
4Q2564,144.32,-69.98,-28.20,-7.04,-0.02,-0.63,-1.55,68.25,29.81,-4.88,1.46,248.67,3.92,"1,128.96",N/A,2.46,1.59,0.24,67.14,D,mai,SERVICE,-
1Q2565,169.03,,,7.95,0.03,0.70,1.66,73.54,24.81,4.70,1.28,236.18,3.46,"1,044.70",N/A,2.31,1.57,0.00,41.97,D,mai,SERVICE,-
2Q2565,188.52,88.24,,15.32,0.05,1.31,2.98,76.20,23.42,8.13,1.26,194.11,5.45,"1,826.72",N/A,3.61,1.68,0.00,37.39,D,mai,SERVICE,-
3Q2565,215.08,8.30,,16.65,0.06,1.42,3.17,75.35,23.04,7.74,1.22,159.92,7.25,"2,234.34",184.98,4.29,1.73,0.00,31.80,D,mai,SERVICE,-
