,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,234.05,218.43,19.36,31.03,0.16,3.58,4.23,79.85,18.74,13.26,0.19,305.73,0.00,708.00,8.44,0.99,3.59,7.06,4.99,DCON,SET,PROPCON,CONMAT
2Q2555,245.69,10.97,32.45,34.44,0.17,3.78,4.64,79.11,18.62,14.02,0.26,299.55,3.90,780.00,8.78,1.04,3.75,6.41,5.49,DCON,SET,PROPCON,CONMAT
3Q2555,273.40,11.88,73.13,37.60,0.19,3.87,4.99,79.89,18.86,13.75,0.32,322.43,6.15,"1,230.00",12.60,1.68,3.67,4.07,7.77,DCON,SET,PROPCON,CONMAT
4Q2555,293.43,9.01,330.95,42.92,0.21,4.17,5.41,80.46,17.99,14.63,0.28,325.43,7.65,"1,530.00",13.57,1.98,3.86,3.27,7.45,DCON,SET,PROPCON,CONMAT
1Q2556,316.15,-2.44,32.03,41.34,0.20,3.84,4.93,78.69,19.83,13.08,0.29,335.34,12.10,"2,452.73",16.80,3.01,4.07,3.55,10.94,DCON,SET,PROPCON,CONMAT
2Q2556,324.07,20.26,43.09,49.93,0.25,4.37,5.91,75.78,21.19,15.41,0.42,350.58,9.45,"1,915.85",12.26,2.22,4.26,4.55,8.38,DCON,SET,PROPCON,CONMAT
3Q2556,352.61,13.46,45.12,56.68,0.28,4.72,6.63,80.81,18.63,16.07,0.40,337.70,10.00,"2,028.65",11.81,2.46,4.08,4.30,8.11,DCON,SET,PROPCON,CONMAT
4Q2556,331.03,18.97,58.37,67.44,0.33,5.34,7.36,83.29,17.87,20.37,0.36,352.61,10.90,"2,211.23",11.59,2.50,4.35,3.94,7.79,DCON,SET,PROPCON,CONMAT
1Q2557,343.35,-9.78,46.45,61.38,0.30,4.53,6.25,80.55,18.40,17.88,0.40,400.98,12.30,"2,526.84",11.73,2.66,4.68,8.46,8.28,DCON,SET,PROPCON,CONMAT
2Q2557,292.04,-29.04,-13.58,43.78,0.21,3.03,4.71,78.94,19.36,14.99,0.74,489.08,14.60,"2,999.34",12.74,2.96,4.94,7.12,10.40,DCON,SET,PROPCON,CONMAT
