,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2559,,,,,,,,,,,1.07,35.82,,,,,,,,DDD,SET,CONSUMP,PERSON
3Q2560,"1,263.65",,,253.45,1.11,22.87,41.66,56.29,43.15,20.06,0.71,34.12,,,,,,,,DDD,SET,CONSUMP,PERSON
4Q2560,420.73,-64.47,,97.61,0.39,2.83,3.47,56.78,42.57,23.20,0.14,42.02,88.50,"27,966.00",90.24,,0.00,0.00,27.18,DDD,SET,CONSUMP,PERSON
1Q2561,386.67,-11.00,,112.14,0.35,2.04,2.32,57.06,39.75,29.00,0.13,57.34,98.50,"31,126.00",88.66,6.50,15.15,0.21,26.70,DDD,SET,CONSUMP,PERSON
2Q2561,379.00,-42.86,,62.99,0.20,1.14,1.28,46.10,48.68,16.62,0.12,89.78,60.50,"19,232.21",47.99,3.93,15.50,0.35,24.16,DDD,SET,CONSUMP,PERSON
3Q2561,260.99,,,0.18,0.00,0.00,0.00,34.13,61.58,0.07,0.06,173.45,47.75,"15,179.14",47.88,3.06,15.59,0.44,41.66,DDD,SET,CONSUMP,PERSON
4Q2561,277.33,,-94.91,9.18,0.02,0.17,0.18,34.61,61.41,3.31,0.05,208.22,18.80,"5,976.29",21.97,1.21,15.57,1.11,17.55,DDD,SET,CONSUMP,PERSON
1Q2562,217.46,200.00,-82.86,19.34,0.06,0.37,0.39,29.88,63.11,8.89,0.04,231.70,31.00,"9,854.52",54.32,1.99,15.59,1.61,58.84,DDD,SET,CONSUMP,PERSON
2Q2562,199.14,,,-8.52,-0.05,-0.17,-0.17,18.22,73.27,-4.28,0.04,252.96,25.50,"8,106.14",91.92,1.63,15.64,1.96,104.40,DDD,SET,CONSUMP,PERSON
3Q2562,191.79,85.75,,-6.30,-0.01,-0.13,-0.13,19.43,70.72,-3.28,0.03,257.81,27.25,"8,662.44",885.13,1.80,15.10,1.83,100.08,DDD,SET,CONSUMP,PERSON
4Q2562,188.04,"-2,374.36",,-57.74,-0.17,-1.16,-1.20,-4.27,95.60,-30.71,0.04,258.15,24.10,"7,661.09",931.14,1.60,15.09,2.07,-256.16,DDD,SET,CONSUMP,PERSON
1Q2563,212.81,80.32,,-11.15,-0.03,-0.22,-0.23,25.19,64.21,-5.24,0.11,287.28,11.50,"3,655.71",,,,1.09,-50.91,DDD,SET,CONSUMP,PERSON
2Q2563,349.46,,,53.78,0.15,1.01,1.10,12.35,54.29,15.39,0.08,297.53,16.50,"5,245.15",N/A,1.12,14.79,0.76,182.53,DDD,SET,CONSUMP,PERSON
3Q2563,217.52,,"-3,116.52",-62.89,-0.23,-1.22,-1.31,47.54,80.73,-28.91,0.07,299.10,16.10,"5,117.99",N/A,1.09,14.80,0.78,-146.25,DDD,SET,CONSUMP,PERSON
4Q2563,710.83,,,199.80,0.64,3.85,4.16,6.18,35.77,28.11,0.09,270.14,18.10,"5,753.77",N/A,1.27,14.23,0.69,17.73,DDD,SET,CONSUMP,PERSON
1Q2564,324.54,22.23,,255.80,0.78,4.68,5.16,35.86,60.10,78.82,0.11,219.61,26.25,"8,344.55",49.30,1.77,14.85,3.27,12.75,DDD,SET,CONSUMP,PERSON
2Q2564,321.77,,,-136.10,-0.45,-2.52,-2.79,27.01,59.05,-42.30,0.10,190.68,18.50,"5,880.92",13.70,1.18,15.72,4.64,13.09,DDD,SET,CONSUMP,PERSON
3Q2564,306.03,7.62,-82.32,-126.42,-0.41,-2.48,-2.70,29.78,61.67,-41.31,0.08,171.49,17.80,"5,658.40",23.62,1.20,14.78,4.82,14.31,DDD,SET,CONSUMP,PERSON
4Q2564,542.65,,-48.65,108.67,0.33,2.13,2.33,54.27,45.81,20.02,0.11,171.51,17.40,"5,531.25",30.65,1.21,14.39,4.93,25.79,DDD,SET,CONSUMP,PERSON
1Q2565,388.19,-51.15,-79.48,55.12,0.16,1.05,1.16,46.48,51.86,14.20,0.10,187.46,16.60,"5,276.94",,,,2.11,-111.60,DDD,SET,CONSUMP,PERSON
2Q2565,420.34,,83.44,-10.31,-0.07,-0.20,-0.22,42.14,54.41,-2.45,0.10,196.26,14.80,"4,704.74",N/A,1.00,14.87,2.36,29.31,DDD,SET,CONSUMP,PERSON
3Q2565,406.41,,,23.18,0.04,0.45,0.50,39.20,57.49,5.70,0.12,201.29,16.20,"5,213.36","3,485.45",1.13,14.47,2.13,12.75,DDD,SET,CONSUMP,PERSON
