,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,97.52,75.00,,-1.37,-0.01,-0.54,-1.10,76.97,22.62,-1.41,1.08,-5.84,1.15,207.00,N/A,1.60,0.72,0.00,-45.87,DIMET,mai,PROPCON,-
2Q2555,108.10,,,0.88,0.00,0.35,0.74,77.49,21.94,0.82,1.14,-8.62,1.13,203.40,N/A,1.70,0.66,0.00,-106.69,DIMET,mai,PROPCON,-
3Q2555,99.03,,,-1.50,0.00,-0.57,-1.25,74.16,24.59,-1.51,1.24,-7.57,1.86,334.80,N/A,2.78,0.67,0.00,-670.86,DIMET,mai,PROPCON,-
4Q2555,86.30,,0.00,-6.54,-0.04,-2.58,-5.65,69.96,29.35,-7.58,1.13,7.12,1.85,333.00,N/A,2.80,0.66,0.00,516.98,DIMET,mai,PROPCON,-
1Q2556,92.81,75.00,0.00,-2.40,-0.01,-1.02,-2.16,70.64,28.04,-2.59,1.10,23.65,1.83,329.40,N/A,2.93,0.62,0.00,"1,517.28",DIMET,mai,PROPCON,-
2Q2556,88.27,-200.00,,-5.38,-0.03,-2.33,-5.01,67.00,32.32,-6.09,1.20,49.39,1.57,282.60,N/A,2.57,0.61,0.00,-73.65,DIMET,mai,PROPCON,-
3Q2556,102.63,66.67,,-1.00,-0.01,-0.42,-0.95,72.67,26.63,-0.97,1.36,61.15,1.61,289.80,N/A,2.77,0.58,0.00,-89.29,DIMET,mai,PROPCON,-
4Q2556,94.84,-200.00,25.00,-5.89,-0.03,-2.46,-5.79,69.99,30.24,-6.21,1.34,64.23,1.39,250.20,N/A,2.39,0.58,0.00,-89.14,DIMET,mai,PROPCON,-
1Q2557,104.44,,,1.06,0.01,0.43,1.00,72.00,27.60,1.02,1.37,45.36,1.26,226.80,N/A,2.29,0.55,0.00,-834.42,DIMET,mai,PROPCON,-
2Q2557,102.50,,66.67,-1.71,-0.01,-0.65,-1.52,70.00,29.27,-1.67,1.32,42.55,1.23,221.40,N/A,1.95,0.63,0.00,174.69,DIMET,mai,PROPCON,-
