,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,60.91,-5.99,,3.85,0.38,1.25,1.43,68.00,30.90,6.33,0.16,343.54,0.00,160.00,10.77,0.60,26.68,3.13,3.92,DTCI,SET,CONSUMP,HOME
2Q2555,77.99,81.80,-49.44,6.99,0.70,2.23,2.57,78.47,20.92,8.97,0.14,359.76,0.00,145.00,6.53,0.54,27.06,3.45,4.80,DTCI,SET,CONSUMP,HOME
3Q2555,60.33,-91.62,12.99,0.60,0.06,0.19,0.22,65.24,30.53,0.99,0.11,374.58,16.00,160.00,10.39,0.59,27.26,3.13,4.74,DTCI,SET,CONSUMP,HOME
4Q2555,70.00,160.59,-62.69,1.54,0.15,0.49,0.57,65.82,32.43,2.20,0.19,364.32,0.00,162.00,10.50,0.59,27.32,3.09,6.00,DTCI,SET,CONSUMP,HOME
1Q2556,56.58,-92.64,-97.08,0.13,0.01,0.04,0.05,68.92,30.61,0.23,0.16,387.77,0.00,158.00,12.23,0.58,27.03,3.16,7.19,DTCI,SET,CONSUMP,HOME
2Q2556,72.92,"6,918.29",12.76,7.88,0.79,2.35,2.74,75.24,23.08,10.81,0.18,399.58,0.00,161.00,17.50,0.56,28.57,3.11,8.10,DTCI,SET,CONSUMP,HOME
3Q2556,59.14,-98.64,-81.71,0.13,0.01,0.04,0.04,74.10,25.33,0.21,0.17,421.10,0.00,146.00,14.47,0.51,28.85,3.42,6.59,DTCI,SET,CONSUMP,HOME
4Q2556,67.57,"3,790.08",172.97,4.18,0.42,1.25,1.43,74.40,23.88,6.18,0.12,465.75,14.60,146.00,15.19,0.51,28.87,3.42,5.31,DTCI,SET,CONSUMP,HOME
1Q2557,47.36,,,-2.11,-0.21,-0.64,-0.72,65.88,33.50,-4.47,0.13,475.92,0.00,145.00,11.84,0.50,29.28,3.45,5.42,DTCI,SET,CONSUMP,HOME
2Q2557,67.98,,-55.07,3.55,0.35,1.07,1.22,78.19,21.50,5.23,0.16,468.31,0.00,148.00,14.80,0.51,29.19,3.38,8.08,DTCI,SET,CONSUMP,HOME
3Q2557,56.80,,,-1.06,-0.11,-0.31,-0.36,71.47,28.18,-1.86,0.18,431.12,39.50,395.00,69.70,1.36,29.04,1.27,21.76,DTCI,SET,CONSUMP,HOME
