,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,29.82,19.78,77.31,6.92,0.35,7.25,8.49,93.16,3.37,23.19,0.16,,0.00,45.20,2.24,0.58,3.90,0.00,1.47,DV8,mai,SERVICE,-
2Q2555,28.88,-4.84,29.03,6.58,0.33,6.53,7.46,95.74,3.16,22.78,0.13,,0.00,45.20,1.95,0.53,4.25,0.00,1.29,DV8,mai,SERVICE,-
3Q2555,25.41,,,5.30,-0.58,5.12,5.63,90.15,8.30,20.86,0.07,,0.00,45.20,1.86,0.50,0.46,0.00,0.92,DV8,mai,SERVICE,-
4Q2555,25.97,,-88.09,6.08,0.03,5.67,6.08,91.56,4.80,23.40,0.07,,0.00,45.20,1.87,0.48,0.48,0.00,0.53,DV8,mai,SERVICE,-
1Q2556,25.69,-21.65,-92.21,5.39,0.03,4.45,4.76,87.87,9.51,20.96,0.07,,0.00,45.20,1.85,0.45,0.51,0.00,0.37,DV8,mai,SERVICE,-
2Q2556,32.79,26.55,-89.64,6.82,0.03,5.03,5.38,91.00,6.43,20.79,0.07,,0.00,45.20,1.97,0.37,0.62,0.00,1.29,DV8,mai,SERVICE,-
3Q2556,46.53,4.78,,7.14,0.04,4.98,5.35,95.47,2.96,15.35,0.08,,6.65,"1,330.00",56.41,10.23,0.65,0.00,34.86,DV8,mai,SERVICE,-
4Q2556,47.03,-60.10,-58.54,2.85,0.01,1.92,2.06,74.98,23.04,6.06,0.07,,4.52,904.00,35.56,6.59,0.69,0.00,25.42,DV8,mai,SERVICE,-
1Q2557,46.14,168.21,41.92,7.64,0.04,4.93,5.32,91.85,6.82,16.57,0.09,,6.30,"1,260.00",56.77,9.00,0.70,0.00,31.90,DV8,mai,SERVICE,-
2Q2557,27.74,-93.20,-92.37,0.52,0.00,0.32,0.35,75.77,21.27,1.87,0.08,,6.55,"1,310.00",53.57,8.87,0.74,0.00,40.11,DV8,mai,SERVICE,-
3Q2557,43.09,"1,022.31",-18.29,5.14,0.03,3.17,3.41,89.35,9.84,11.94,0.08,,13.70,"2,740.00",150.92,18.49,0.74,0.00,94.36,DV8,mai,SERVICE,-
4Q2557,24.92,,,-12.17,-0.06,-5.08,-8.27,68.04,23.06,-48.83,1.23,,14.50,"2,900.00",179.52,18.92,0.77,0.00,255.05,DV8,mai,SERVICE,-
1Q2558,154.53,-60.57,,-24.53,-0.10,-4.30,-6.16,86.53,12.85,-15.87,0.26,,7.70,"2,031.07","3,573.34",28.78,0.71,0.00,"-5,600.96",DV8,mai,SERVICE,-
2Q2558,117.17,97.87,,-11.47,-0.00,-0.84,-0.95,83.78,11.91,-9.79,0.09,,12.50,"6,126.97",N/A,9.34,2.49,0.00,306.03,DV8,mai,SERVICE,-
3Q2558,36.14,"-31,697.27",,-281.37,-0.70,-15.77,-17.20,-248.28,343.36,-778.53,0.10,,11.20,"5,735.05",N/A,3.27,3.58,0.00,-28.60,DV8,mai,SERVICE,-
4Q2558,-67.82,-90.69,"-1,973.91",-591.76,-1.33,-43.52,-48.01,152.71,-47.70,872.48,0.12,,8.90,"4,680.05",N/A,3.09,2.96,0.00,-6.44,DV8,mai,SERVICE,-
1Q2559,51.46,,,2.08,0.00,0.20,0.22,65.42,27.54,4.04,0.06,,10.80,"5,703.08",N/A,6.01,1.81,0.00,-8.06,DV8,mai,SERVICE,-
2Q2559,28.00,,-835.91,-10.87,-0.02,-1.08,-1.14,20.47,51.96,-38.83,0.05,,13.50,"7,195.19",N/A,7.53,1.81,0.00,-9.87,DV8,mai,SERVICE,-
