,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,722.83",,,35.65,0.01,1.91,3.59,97.37,2.43,2.07,1.08,-150.61,,,,,,,,EA,SET,RESOURC,ENERG
2Q2555,"1,097.75",-26.17,,27.97,0.01,1.32,2.61,96.41,2.99,2.55,0.90,-185.74,,,,,,,,EA,SET,RESOURC,ENERG
3Q2555,846.40,-87.13,,5.99,0.00,0.26,0.53,95.72,3.85,0.71,1.11,-135.64,,,,,,,,EA,SET,RESOURC,ENERG
4Q2555,812.00,952.63,,37.48,0.01,1.54,3.34,93.23,3.66,4.62,1.23,-203.71,,,,,,,,EA,SET,RESOURC,ENERG
1Q2556,"1,022.56",91.67,91.67,83.73,0.02,2.10,3.12,92.62,3.75,8.19,0.29,-12.88,8.05,"30,026.50",280.50,0.00,0.00,0.12,104.58,EA,SET,RESOURC,ENERG
2Q2556,841.94,-30.43,80.59,60.71,0.02,1.12,1.43,93.89,4.66,7.21,0.27,100.68,6.75,"25,177.50",163.30,5.98,1.13,0.15,72.61,EA,SET,RESOURC,ENERG
3Q2556,896.51,-50.00,601.75,27.98,0.01,0.43,0.66,93.20,6.46,3.12,0.80,-77.58,6.70,"24,991.00",134.03,5.90,1.14,0.15,71.53,EA,SET,RESOURC,ENERG
4Q2556,"1,237.98",225.00,116.67,96.47,0.03,1.01,2.24,94.28,4.90,7.79,1.63,-129.93,7.65,"28,534.50",136.58,6.69,1.14,0.13,72.06,EA,SET,RESOURC,ENERG
1Q2557,"2,090.11",376.92,439.13,460.20,0.12,3.97,10.02,77.28,2.31,22.02,1.43,-113.22,9.90,"36,927.00",137.83,8.47,1.17,0.20,42.70,EA,SET,RESOURC,ENERG
2Q2557,"1,799.88",-14.52,562.50,408.81,0.11,3.45,8.19,78.83,4.54,22.71,1.32,-111.47,18.30,"68,259.00",105.89,14.16,1.29,0.11,50.24,EA,SET,RESOURC,ENERG
3Q2557,"1,863.26",-5.66,"1,150.00",373.00,0.10,2.79,6.98,68.11,4.11,20.02,1.67,-77.09,24.20,"90,266.00",90.94,17.52,1.38,0.08,49.61,EA,SET,RESOURC,ENERG
4Q2557,"1,848.03",0.00,284.62,367.47,0.10,2.15,6.43,75.91,4.91,19.88,2.28,-197.31,25.00,"93,250.00",69.72,16.87,1.48,0.08,44.45,EA,SET,RESOURC,ENERG
1Q2558,"2,013.03",60.00,29.03,580.16,0.16,2.92,9.38,71.06,3.67,28.82,2.14,-182.98,25.25,"94,182.50",58.55,15.98,1.58,0.08,41.12,EA,SET,RESOURC,ENERG
2Q2558,"2,510.38",21.01,82.66,741.45,0.19,3.48,10.89,62.20,6.56,29.54,2.11,-210.38,23.50,"87,655.00",50.71,13.54,1.74,0.09,32.38,EA,SET,RESOURC,ENERG
3Q2558,"2,317.78",1.43,96.38,715.52,0.20,3.00,9.54,66.86,3.23,30.87,2.23,-239.90,21.50,"80,195.00",38.91,11.23,1.91,0.09,26.09,EA,SET,RESOURC,ENERG
4Q2558,"2,370.99",-13.43,70.00,650.78,0.17,2.23,7.95,69.83,3.17,27.45,2.88,-350.91,22.50,"83,925.00",34.92,10.68,2.11,0.09,25.76,EA,SET,RESOURC,ENERG
1Q2559,"2,456.73",11.76,18.75,711.13,0.19,2.13,8.02,66.51,4.56,28.95,2.67,-362.40,22.30,"83,179.00",30.96,9.78,2.28,0.45,24.34,EA,SET,RESOURC,ENERG
2Q2559,"3,144.57",42.11,39.45,992.57,0.27,2.82,10.41,60.12,5.31,31.56,2.71,-318.38,21.30,"79,449.00",28.19,8.62,2.47,0.47,22.09,EA,SET,RESOURC,ENERG
3Q2559,"2,550.15",-29.90,-3.62,718.12,0.19,1.86,7.04,60.34,2.54,28.16,2.85,-301.22,25.75,"96,047.50",31.30,9.77,2.64,0.39,24.68,EA,SET,RESOURC,ENERG
4Q2559,"2,287.81",17.52,30.85,830.68,0.22,2.02,7.57,51.01,4.98,36.31,2.64,-129.77,29.75,"110,967.50",36.12,10.52,2.83,0.34,25.72,EA,SET,RESOURC,ENERG
1Q2560,"2,693.76",19.12,39.46,979.98,0.26,2.32,8.25,53.02,5.29,36.38,2.47,-197.74,27.75,"103,507.50",31.83,9.09,3.05,0.54,22.39,EA,SET,RESOURC,ENERG
2Q2560,"2,926.11",-3.74,-5.53,966.48,0.26,2.25,7.69,55.27,4.95,33.03,2.36,-248.57,34.50,"128,685.00",36.56,10.40,3.32,0.43,26.29,EA,SET,RESOURC,ENERG
3Q2560,"3,098.37",1.97,37.41,976.31,0.26,2.27,7.33,54.42,5.45,31.51,2.11,-176.28,38.25,"142,672.50",40.83,11.18,3.42,0.39,26.83,EA,SET,RESOURC,ENERG
4Q2560,"2,955.25",-7.88,7.71,894.70,0.24,2.04,6.26,209.15,7.13,30.28,2.02,-217.25,52.50,"195,825.00",52.19,14.22,3.69,0.29,34.08,EA,SET,RESOURC,ENERG
1Q2561,"2,934.11",117.03,96.24,"1,922.16",0.52,4.17,11.91,94.68,5.15,65.51,1.71,-192.94,43.75,"163,187.50",42.75,11.13,3.93,0.46,24.94,EA,SET,RESOURC,ENERG
2Q2561,"3,820.16",-48.85,4.27,972.86,0.27,2.02,5.59,67.74,8.34,25.47,1.82,-187.35,32.75,"122,157.50",25.53,7.35,4.46,0.61,19.42,EA,SET,RESOURC,ENERG
3Q2561,"2,962.93",28.48,31.38,"1,259.92",0.34,2.40,7.04,93.61,6.30,42.52,2.03,-909.10,48.25,"179,972.50",37.47,11.01,4.38,0.41,26.69,EA,SET,RESOURC,ENERG
4Q2561,"2,773.02",-39.67,-13.96,906.43,0.21,1.57,4.77,94.04,5.35,32.69,2.03,"-1,922.08",42.50,"158,525.00",31.07,9.01,4.72,0.47,24.06,EA,SET,RESOURC,ENERG
1Q2562,"3,088.45",57.45,-37.58,"1,198.43",0.32,1.99,5.97,92.91,7.01,38.80,1.98,"-2,170.58",48.00,"179,040.00",35.99,9.87,4.86,0.52,29.58,EA,SET,RESOURC,ENERG
2Q2562,"3,640.14",18.74,44.91,"1,429.87",0.39,2.29,6.86,94.61,4.68,39.28,2.02,"-2,933.96",55.75,"207,947.50",49.05,10.78,5.17,0.45,30.72,EA,SET,RESOURC,ENERG
3Q2562,"4,117.95",17.11,32.09,"1,647.49",0.45,2.51,7.46,91.69,7.95,40.01,1.93,"-1,878.02",48.00,"179,040.00",38.12,9.07,5.29,0.52,24.76,EA,SET,RESOURC,ENERG
4Q2562,"4,108.01",3.83,127.32,"1,750.82",0.47,2.54,7.30,98.38,1.01,42.62,1.82,"-1,100.54",43.75,"163,187.50",31.99,7.63,5.74,0.57,20.01,EA,SET,RESOURC,ENERG
1Q2563,"4,785.66",-16.93,19.93,"1,416.34",0.39,1.96,5.52,92.86,6.03,29.60,1.80,-588.98,33.75,"125,887.50",,,,0.89,15.68,EA,SET,RESOURC,ENERG
2Q2563,"4,192.28",-20.84,-20.04,"1,119.80",0.31,1.49,4.19,89.11,9.36,26.71,1.81,-201.72,39.25,"146,402.50",23.15,5.89,6.66,0.76,18.52,EA,SET,RESOURC,ENERG
3Q2563,"3,760.07",-2.65,-33.53,"1,085.95",0.30,1.42,3.92,93.24,7.12,28.88,1.71,-117.70,39.25,"146,402.50",24.28,5.76,6.82,0.76,19.62,EA,SET,RESOURC,ENERG
4Q2563,"4,458.25",34.18,-14.10,"1,425.29",0.40,1.83,4.91,99.32,0.41,31.97,1.65,-146.06,49.25,"183,702.50",33.58,6.90,7.14,0.61,24.44,EA,SET,RESOURC,ENERG
1Q2564,"4,706.43",-5.97,-2.77,"1,360.45",0.38,1.71,4.47,92.13,7.79,28.91,1.60,-123.72,62.00,"231,260.00",44.43,8.32,7.46,0.48,29.28,EA,SET,RESOURC,ENERG
2Q2564,"4,935.08",-15.06,4.33,"1,140.84",0.32,1.40,3.61,93.45,6.31,23.12,1.56,-108.05,61.00,"227,530.00",44.06,7.78,7.84,0.49,29.03,EA,SET,RESOURC,ENERG
3Q2564,"5,178.44",34.07,43.68,"1,621.72",0.43,1.98,4.96,90.26,7.06,31.32,1.44,-30.40,61.25,"228,462.50",43.89,7.80,7.85,0.49,27.71,EA,SET,RESOURC,ENERG
4Q2564,"5,738.14",17.02,25.30,"1,806.34",0.50,2.16,5.27,89.13,6.86,31.48,1.44,-63.33,96.00,"358,080.00",62.79,11.65,8.24,0.31,40.20,EA,SET,RESOURC,ENERG
1Q2565,"4,816.56",-27.38,-3.23,"1,294.30",0.37,1.48,3.63,91.77,6.65,26.87,1.47,-132.38,98.00,"365,540.00",,,,0.31,41.68,EA,SET,RESOURC,ENERG
2Q2565,"5,454.07",-19.83,-8.65,948.27,0.29,1.04,2.62,90.66,8.27,17.39,1.55,-211.86,80.75,"303,995.00",50.21,9.00,9.05,0.37,35.59,EA,SET,RESOURC,ENERG
3Q2565,"7,606.79",171.16,84.75,"2,862.29",0.80,3.05,7.63,71.13,3.69,37.63,1.46,-78.77,87.75,"329,172.50",55.24,9.74,9.06,0.34,32.35,EA,SET,RESOURC,ENERG
