,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,163.88,464.58,98.78,21.82,0.08,3.03,3.86,77.02,22.38,13.31,0.26,-86.04,1.80,514.61,10.09,0.98,1.83,8.92,4.45,EASON,SET,INDUS,AUTO
2Q2555,175.63,16.97,20.23,26.76,0.10,3.70,4.72,79.15,20.22,15.24,0.29,-72.56,2.54,726.17,11.05,1.33,1.92,6.32,6.37,EASON,SET,INDUS,AUTO
3Q2555,144.33,-6.31,47.27,25.19,0.09,3.53,4.39,73.00,26.32,17.46,0.20,-50.44,3.12,891.99,12.34,1.68,1.86,5.15,7.34,EASON,SET,INDUS,AUTO
4Q2555,177.85,38.16,754.86,35.53,0.12,4.87,5.85,64.27,24.95,19.98,0.20,-35.97,3.16,903.43,11.72,1.62,1.95,5.08,5.54,EASON,SET,INDUS,AUTO
1Q2556,147.87,-30.06,5.90,24.47,0.09,3.15,3.80,71.51,26.75,16.55,0.21,-19.29,4.16,"1,189.32",10.70,1.99,2.09,5.29,7.35,EASON,SET,INDUS,AUTO
2Q2556,139.05,11.73,1.16,27.24,0.10,3.21,4.27,69.21,28.76,19.59,0.46,11.44,3.64,"1,040.65",9.25,1.66,2.20,6.04,6.77,EASON,SET,INDUS,AUTO
3Q2556,132.45,-17.36,-10.77,23.14,0.08,2.73,3.72,67.81,30.63,17.47,0.27,29.90,3.50,"1,000.63",8.87,1.71,2.04,6.29,6.27,EASON,SET,INDUS,AUTO
4Q2556,119.22,-4.65,-38.42,21.25,0.08,2.65,3.34,62.50,35.57,17.82,0.25,60.94,3.42,977.76,8.85,1.65,2.08,6.43,7.02,EASON,SET,INDUS,AUTO
1Q2557,106.72,-41.95,-48.90,11.83,0.04,1.47,1.81,57.99,39.84,11.08,0.22,92.38,3.36,960.60,9.95,1.57,2.14,4.76,7.55,EASON,SET,INDUS,AUTO
2Q2557,112.24,6.59,-51.25,12.55,0.05,1.58,1.97,57.77,39.28,11.18,0.28,119.04,3.30,943.45,11.16,1.51,2.19,4.85,8.83,EASON,SET,INDUS,AUTO
3Q2557,119.47,21.75,-28.18,15.86,0.06,1.99,2.55,62.64,35.77,13.27,0.27,131.13,3.30,943.45,13.40,1.62,2.04,4.85,9.24,EASON,SET,INDUS,AUTO
4Q2557,123.59,43.08,7.78,22.97,0.08,2.79,3.56,66.33,31.75,18.59,0.28,127.38,2.92,834.81,13.14,1.39,2.10,5.48,7.75,EASON,SET,INDUS,AUTO
1Q2558,120.07,-43.82,4.32,11.82,0.05,1.40,1.79,60.21,37.96,9.84,0.28,125.55,2.92,834.81,12.71,1.34,2.19,4.11,7.83,EASON,SET,INDUS,AUTO
2Q2558,113.62,9.37,7.04,13.93,0.05,1.67,2.13,59.40,37.94,12.26,0.28,138.34,2.98,851.96,12.87,1.35,2.21,4.03,7.88,EASON,SET,INDUS,AUTO
3Q2558,115.65,58.37,39.23,21.94,0.08,2.65,3.34,53.18,40.72,18.97,0.24,156.70,2.86,817.66,12.18,1.33,2.15,4.20,7.38,EASON,SET,INDUS,AUTO
4Q2558,130.89,-7.42,-9.91,20.75,0.07,2.47,3.04,66.83,31.06,15.86,0.22,165.99,3.04,869.12,11.81,1.37,2.22,3.95,8.11,EASON,SET,INDUS,AUTO
1Q2559,129.85,11.55,78.87,23.00,0.08,2.61,3.25,66.33,32.92,17.71,0.27,161.92,3.18,909.14,12.76,1.38,2.31,1.26,7.84,EASON,SET,INDUS,AUTO
2Q2559,126.94,-24.12,24.10,17.66,0.06,1.91,2.44,64.37,34.43,13.92,0.28,146.44,4.44,"1,311.68",16.07,1.92,2.31,0.87,10.53,EASON,SET,INDUS,AUTO
3Q2559,129.57,23.43,-3.27,23.13,0.08,2.44,3.12,65.53,33.64,17.85,0.27,137.52,5.25,"1,550.97",27.24,3.35,2.35,0.49,11.91,EASON,SET,INDUS,AUTO
4Q2559,138.26,-17.56,-13.86,23.91,0.06,2.11,2.65,73.44,26.04,17.29,0.24,94.59,4.14,"1,931.18",22.62,2.70,2.42,0.59,14.42,EASON,SET,INDUS,AUTO
