,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,891.84,14.54,35.71,324.40,0.19,2.94,4.74,90.67,9.02,36.37,0.67,,7.50,"12,477.94",12.38,1.80,4.17,5.60,8.60,EASTW,SET,RESOURC,ENERG
2Q2555,963.97,22.58,45.56,379.19,0.23,3.36,5.46,87.47,10.40,39.34,0.58,,10.60,"17,635.49",16.09,2.61,4.06,3.96,10.55,EASTW,SET,RESOURC,ENERG
3Q2555,956.78,-22.37,29.14,300.80,0.18,2.56,4.22,87.93,11.13,31.44,0.72,,13.40,"22,293.92",18.30,3.12,4.29,3.13,12.96,EASTW,SET,RESOURC,ENERG
4Q2555,913.35,-21.62,-14.56,235.77,0.14,1.91,3.27,82.60,15.62,25.81,0.70,,12.90,"21,462.05",16.80,3.02,4.27,3.26,12.86,EASTW,SET,RESOURC,ENERG
1Q2556,991.98,55.24,15.79,370.25,0.22,2.90,4.92,90.76,8.77,37.32,0.69,,15.10,"25,122.25",20.26,3.43,4.40,2.91,14.14,EASTW,SET,RESOURC,ENERG
2Q2556,"1,014.34",9.09,3.05,391.30,0.24,3.03,5.07,90.67,7.54,38.58,0.65,,12.30,"20,463.82",15.91,2.66,4.62,3.58,11.77,EASTW,SET,RESOURC,ENERG
3Q2556,953.52,-12.50,16.15,345.66,0.21,2.66,4.48,89.85,8.19,36.25,0.71,,12.80,"21,295.68",16.40,2.77,4.61,3.44,11.98,EASTW,SET,RESOURC,ENERG
4Q2556,856.29,-42.37,-14.60,208.76,0.12,1.56,2.67,80.95,17.36,24.38,0.70,,12.20,"20,297.45",15.11,2.64,4.62,3.61,11.74,EASTW,SET,RESOURC,ENERG
1Q2557,978.51,81.77,0.00,371.84,0.22,2.74,4.59,91.04,8.37,38.00,0.65,,11.40,"18,966.47",14.41,2.40,4.75,3.68,11.01,EASTW,SET,RESOURC,ENERG
2Q2557,"1,271.77",4.55,-4.17,370.81,0.23,2.68,4.48,88.75,9.65,29.16,0.69,,11.20,"18,633.72",14.14,2.26,4.95,3.75,11.12,EASTW,SET,RESOURC,ENERG
3Q2557,"1,039.11",-17.39,-9.52,315.26,0.19,2.22,3.82,88.45,10.29,30.34,0.75,,10.90,"18,134.60",13.98,2.20,4.96,3.85,11.27,EASTW,SET,RESOURC,ENERG
4Q2557,"1,015.37",-15.79,32.20,276.55,0.16,1.86,3.30,87.79,9.91,27.24,0.79,,10.80,"17,968.23",14.19,2.19,4.94,3.89,10.76,EASTW,SET,RESOURC,ENERG
1Q2558,"1,089.32",53.63,11.73,408.99,0.25,2.62,4.69,91.44,7.59,37.55,0.79,,10.90,"18,134.60",13.59,2.14,5.10,4.13,10.52,EASTW,SET,RESOURC,ENERG
2Q2558,"1,162.71",-13.66,-7.73,353.10,0.21,2.15,3.97,89.37,8.84,30.37,0.90,,11.70,"19,465.58",14.20,2.19,5.35,3.85,11.03,EASTW,SET,RESOURC,ENERG
3Q2558,"1,357.57",53.61,71.58,543.79,0.33,3.01,6.01,70.81,10.84,40.06,1.09,,11.20,"18,633.72",13.77,2.11,5.32,4.02,10.60,EASTW,SET,RESOURC,ENERG
4Q2558,"1,049.23",-48.27,5.39,285.36,0.17,1.47,3.05,86.90,12.01,27.20,1.07,,11.60,"19,299.21",12.21,2.14,5.42,3.88,11.01,EASTW,SET,RESOURC,ENERG
1Q2559,"1,111.04",36.39,-6.43,383.36,0.23,1.95,3.96,91.46,7.84,34.50,0.99,,12.90,"21,462.05",13.54,2.31,5.59,3.64,11.64,EASTW,SET,RESOURC,ENERG
2Q2559,"1,144.74",-7.81,-0.08,361.46,0.21,1.85,3.67,89.22,9.45,31.58,0.97,,12.90,"21,462.05",13.81,2.22,5.81,3.64,11.59,EASTW,SET,RESOURC,ENERG
3Q2559,"1,105.60",-7.89,-40.09,329.86,0.20,1.70,3.36,90.60,8.91,29.84,0.97,,11.70,"19,465.58",12.49,2.03,5.78,4.02,11.81,EASTW,SET,RESOURC,ENERG
4Q2559,"1,052.62",-26.95,-15.40,243.93,0.14,1.24,2.46,87.46,11.72,23.17,0.98,,11.80,"19,631.96",14.64,2.04,5.77,3.98,12.15,EASTW,SET,RESOURC,ENERG
1Q2560,"1,183.72",52.34,-5.51,366.63,0.22,1.85,3.58,90.14,8.13,30.97,0.89,,11.70,"19,465.58",14.98,1.98,5.92,4.02,11.97,EASTW,SET,RESOURC,ENERG
2Q2560,"1,095.17",-4.69,-2.32,349.82,0.21,1.78,3.38,89.61,9.54,31.94,0.90,,12.90,"21,462.05",16.73,2.10,6.13,3.64,12.87,EASTW,SET,RESOURC,ENERG
3Q2560,"1,029.10",-17.20,-12.18,290.60,0.17,1.49,2.83,89.26,9.76,28.24,0.91,,12.30,"20,463.82",16.11,2.03,6.07,3.82,12.50,EASTW,SET,RESOURC,ENERG
4Q2560,"1,048.64",-21.85,-6.05,224.96,0.13,1.15,2.18,84.25,14.92,21.45,0.87,,12.40,"20,630.19",16.76,2.06,6.01,3.79,12.61,EASTW,SET,RESOURC,ENERG
1Q2561,"1,054.94",35.73,-16.29,305.36,0.18,1.56,2.89,90.19,8.90,28.95,0.82,,11.90,"19,798.33",16.21,1.93,6.16,3.95,12.53,EASTW,SET,RESOURC,ENERG
2Q2561,"1,050.99",-8.16,-19.34,280.65,0.17,1.43,2.63,89.40,10.28,26.70,0.85,,10.60,"17,635.49",15.17,1.67,6.34,4.43,11.98,EASTW,SET,RESOURC,ENERG
3Q2561,"1,089.87",8.34,5.54,303.51,0.18,1.55,2.87,86.58,12.31,27.85,0.85,,11.00,"18,300.98",16.70,1.76,6.26,4.27,12.17,EASTW,SET,RESOURC,ENERG
4Q2561,"1,059.53",-22.66,4.45,240.25,0.14,1.21,2.25,84.79,14.31,22.68,0.86,,10.70,"17,801.86",16.03,1.71,6.24,4.39,11.63,EASTW,SET,RESOURC,ENERG
1Q2562,"1,184.10",50.00,15.44,344.32,0.21,1.70,3.14,89.33,9.04,29.08,0.82,,11.10,"18,467.35",16.53,1.74,6.39,4.23,11.42,EASTW,SET,RESOURC,ENERG
2Q2562,"1,202.95",-23.81,-4.23,270.31,0.16,1.34,2.45,88.16,11.26,22.47,0.83,,12.90,"21,462.05",18.56,1.96,6.59,3.64,12.82,EASTW,SET,RESOURC,ENERG
3Q2562,"1,167.70",-18.75,-28.18,232.29,0.13,1.15,2.14,88.42,10.87,19.89,0.90,-154.80,12.40,"20,630.19",18.00,1.92,6.47,3.79,12.96,EASTW,SET,RESOURC,ENERG
