,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,40.31,202.41,93.46,10.79,0.03,0.74,2.25,,,26.77,2.13,,0.73,299.30,13.87,0.63,1.16,6.85,,ECL,SET,FINCIAL,FIN
2Q2555,42.41,-14.90,59.93,9.17,0.02,0.59,1.91,,,21.62,2.40,,0.92,377.20,14.08,0.78,1.18,5.43,,ECL,SET,FINCIAL,FIN
3Q2555,46.61,2.28,40.49,9.40,0.02,0.56,2.00,,,20.16,2.78,,1.05,430.50,14.25,0.91,1.15,4.76,,ECL,SET,FINCIAL,FIN
4Q2555,49.71,-14.41,125.29,8.04,0.02,0.45,1.71,,,16.17,2.75,,1.10,451.00,13.69,0.97,1.14,4.55,,ECL,SET,FINCIAL,FIN
1Q2556,49.87,67.24,24.59,13.44,0.03,0.75,2.79,,,26.95,2.64,,1.20,492.00,13.16,1.04,1.16,6.67,,ECL,SET,FINCIAL,FIN
2Q2556,49.75,-11.68,29.30,11.87,0.03,0.67,2.43,,,23.86,2.65,,1.19,487.90,12.18,1.00,1.20,6.72,,ECL,SET,FINCIAL,FIN
3Q2556,48.95,-0.52,25.76,11.81,0.03,0.67,2.43,,,24.12,2.58,,1.19,487.90,11.42,1.00,1.18,6.72,,ECL,SET,FINCIAL,FIN
4Q2556,49.24,-36.77,-7.09,8.73,0.02,0.48,1.50,,,17.73,1.76,,1.07,636.41,14.09,1.31,1.18,5.15,,ECL,SET,FINCIAL,FIN
1Q2557,50.29,36.79,-24.01,14.81,0.02,0.79,2.16,,,29.46,1.69,,1.02,606.67,13.23,0.89,1.14,2.03,,ECL,SET,FINCIAL,FIN
2Q2557,51.34,0.80,-13.26,14.94,0.03,0.79,2.13,,,29.09,1.69,,1.14,678.04,14.36,0.98,1.17,1.81,,ECL,SET,FINCIAL,FIN
3Q2557,54.20,-9.24,-20.87,13.56,0.02,0.72,1.96,,,25.01,1.76,,1.67,993.28,19.75,1.40,1.19,1.24,,ECL,SET,FINCIAL,FIN
4Q2557,65.07,-15.36,5.93,11.48,0.02,0.61,1.69,,,17.65,1.79,,2.66,"1,582.10",30.40,2.35,1.13,0.78,,ECL,SET,FINCIAL,FIN
1Q2558,59.98,39.97,8.39,16.04,0.03,0.83,2.31,,,26.74,1.75,,2.10,"1,249.03",22.80,1.82,1.15,3.81,,ECL,SET,FINCIAL,FIN
2Q2558,60.41,-34.07,-29.11,10.64,0.02,0.55,1.50,,,17.61,1.75,,1.90,"1,130.07",20.18,1.61,1.18,4.21,,ECL,SET,FINCIAL,FIN
3Q2558,61.38,32.58,3.55,14.04,0.02,0.72,1.95,,,22.87,1.71,,1.70,"1,011.12",19.55,1.42,1.20,4.71,,ECL,SET,FINCIAL,FIN
4Q2558,60.67,-35.17,-20.68,9.06,0.02,0.46,1.24,,,14.93,1.66,,1.74,"1,034.91",19.83,1.42,1.22,4.60,,ECL,SET,FINCIAL,FIN
1Q2559,60.44,73.20,-1.85,15.79,0.03,0.81,2.13,,,26.13,1.59,,1.70,"1,011.12",20.31,1.37,1.24,0.00,,ECL,SET,FINCIAL,FIN
2Q2559,61.98,,,-28.51,-0.05,-1.38,-3.14,,,-45.99,1.05,,1.77,"1,413.09",28.53,1.88,1.26,0.00,,ECL,SET,FINCIAL,FIN
3Q2559,69.93,,25.85,19.90,0.03,0.89,1.85,,,28.46,1.12,,1.53,"1,221.49",117.64,1.15,1.34,0.00,,ECL,SET,FINCIAL,FIN
4Q2559,88.29,-18.18,58.82,17.84,0.02,0.74,1.63,,,20.21,1.30,,1.62,"1,293.34",79.60,1.19,1.36,0.00,,ECL,SET,FINCIAL,FIN
1Q2560,91.66,60.62,47.28,30.31,0.04,1.09,2.71,,,33.07,1.65,,2.56,"2,043.80",81.66,1.85,1.38,1.95,,ECL,SET,FINCIAL,FIN
2Q2560,103.94,10.48,,35.28,0.04,1.11,3.12,,,33.94,1.96,,3.64,"2,906.02",73.49,2.56,1.42,1.37,,ECL,SET,FINCIAL,FIN
3Q2560,114.96,3.50,50.27,37.10,0.04,1.04,2.98,,,32.28,1.81,,4.00,"3,694.48",35.75,3.27,1.42,1.08,,ECL,SET,FINCIAL,FIN
4Q2560,124.07,-41.36,7.70,26.03,0.03,0.66,1.90,,,20.98,1.95,,4.04,"3,731.42",30.96,2.75,1.47,1.07,,ECL,SET,FINCIAL,FIN
1Q2561,134.53,39.17,-6.69,31.33,0.04,0.73,2.04,,,23.29,1.67,,2.38,"2,639.08",20.50,1.91,1.49,1.40,,ECL,SET,FINCIAL,FIN
2Q2561,146.69,-24.00,-35.81,30.72,0.03,0.65,1.82,,,20.94,1.98,,1.69,"1,873.97",14.44,1.11,1.53,1.97,,ECL,SET,FINCIAL,FIN
3Q2561,170.02,11.99,-30.54,36.40,0.03,0.68,2.15,,,21.41,2.35,,2.14,"2,372.95",18.96,1.41,1.51,1.56,,ECL,SET,FINCIAL,FIN
4Q2561,193.22,17.39,39.05,43.81,0.04,0.72,2.52,,,22.67,2.64,,1.54,"1,707.64",13.72,1.00,1.55,2.16,,ECL,SET,FINCIAL,FIN
1Q2562,204.36,-5.50,-5.57,38.13,0.03,0.58,2.15,,,18.66,2.78,,1.67,"1,851.79",13.02,1.05,1.59,0.00,,ECL,SET,FINCIAL,FIN
2Q2562,206.57,-29.43,-12.32,26.92,0.02,0.39,1.49,,,13.03,2.79,,1.58,"1,751.99",11.75,0.98,1.62,0.00,,ECL,SET,FINCIAL,FIN
3Q2562,219.18,4.00,-18.58,27.99,0.03,0.40,1.52,,,12.77,2.87,,1.56,"1,729.82",11.91,0.95,1.64,0.00,,ECL,SET,FINCIAL,FIN
4Q2562,272.43,32.41,-8.16,37.05,0.03,0.51,1.98,,,13.60,2.94,,1.16,"1,286.27",9.40,0.70,1.67,0.00,,ECL,SET,FINCIAL,FIN
1Q2563,238.75,-69.72,-70.57,11.22,0.01,0.15,0.63,,,4.70,3.31,,0.59,654.23,,,,0.00,,ECL,SET,FINCIAL,FIN
2Q2563,214.55,,,-10.47,-0.01,-0.15,-0.62,,,-4.88,3.11,,0.90,997.97,9.67,0.59,1.53,0.00,,ECL,SET,FINCIAL,FIN
3Q2563,205.76,,21.12,33.90,0.03,0.50,1.99,,,16.48,2.83,,0.77,853.82,12.98,0.51,1.52,0.00,,ECL,SET,FINCIAL,FIN
4Q2563,213.87,-20.28,-27.08,27.03,0.02,0.43,1.56,,,12.64,2.41,,1.14,"1,264.10",17.63,0.73,1.55,0.00,,ECL,SET,FINCIAL,FIN
1Q2564,183.39,108.00,400.89,56.21,0.05,0.97,3.16,,,30.65,2.11,,1.66,"1,840.71",29.84,1.05,1.58,6.02,,ECL,SET,FINCIAL,FIN
2Q2564,172.52,-41.19,,33.05,0.03,0.61,1.87,,,19.16,2.05,,2.02,"2,239.90",21.00,1.24,1.63,4.95,,ECL,SET,FINCIAL,FIN
3Q2564,172.14,-2.45,-4.87,32.25,0.03,0.63,1.85,,,18.74,1.84,,1.71,"1,896.15",12.63,1.10,1.56,5.85,,ECL,SET,FINCIAL,FIN
4Q2564,156.10,124.86,168.32,72.50,0.07,1.47,4.04,,,46.44,1.65,,2.90,"3,215.69",21.65,1.83,1.59,3.45,,ECL,SET,FINCIAL,FIN
1Q2565,155.31,-30.20,-9.96,50.60,0.05,1.07,2.72,,,32.58,1.47,,2.72,"3,016.10",,,,2.94,,ECL,SET,FINCIAL,FIN
2Q2565,154.09,4.67,60.25,52.98,0.05,1.15,2.84,,,34.38,1.47,,2.48,"2,772.15",14.71,1.47,1.70,3.20,,ECL,SET,FINCIAL,FIN
3Q2565,152.55,-29.64,15.58,37.26,0.03,0.82,2.03,,,24.43,1.48,,2.16,"2,461.67",11.82,1.33,1.67,3.60,,ECL,SET,FINCIAL,FIN
