,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,16.77,2.53,-136.97,-17.09,-0.01,-12.45,-19.37,16.33,81.38,-101.86,0.43,,0.08,224.00,N/A,2.32,0.03,0.00,-102.95,EFORL,mai,CONSUMP,-
2Q2555,19.09,88.60,67.05,-14.10,-0.00,-13.17,-19.43,35.67,63.64,-73.90,0.53,,0.08,224.00,N/A,2.81,0.03,0.00,-27.98,EFORL,mai,CONSUMP,-
3Q2555,28.63,-63.16,9.71,-5.16,-0.00,-5.42,-8.19,31.34,43.15,-18.01,0.49,,0.10,280.00,N/A,4.27,0.02,0.00,-29.68,EFORL,mai,CONSUMP,-
4Q2555,22.71,-457.53,-1.07,-29.08,-0.01,-38.54,-63.41,-51.31,143.08,-128.05,0.94,,0.33,924.00,N/A,15.30,0.02,0.00,-47.48,EFORL,mai,CONSUMP,-
1Q2556,19.66,99.52,99.50,-0.13,-0.00,-0.22,-0.41,69.99,26.13,-0.65,0.73,,0.41,"1,148.00",N/A,36.66,0.01,0.00,-104.55,EFORL,mai,CONSUMP,-
2Q2556,18.91,,47.37,-1.75,-0.00,-0.58,-0.62,59.05,39.54,-9.24,0.04,,0.60,"1,680.01",N/A,80.79,0.01,0.00,-181.85,EFORL,mai,CONSUMP,-
3Q2556,33.64,,,5.51,0.00,0.80,0.91,57.94,21.54,16.37,0.23,,0.58,"5,336.01",N/A,10.08,0.07,0.00,"-1,714.74",EFORL,mai,CONSUMP,-
4Q2556,98.56,164.49,,22.83,0.00,2.73,3.33,82.19,13.14,23.16,0.21,,0.59,"5,428.01",N/A,8.04,0.07,0.00,106.05,EFORL,mai,CONSUMP,-
1Q2557,205.62,39.73,,46.41,0.01,5.18,6.43,82.86,16.10,22.57,0.28,-382.52,0.67,"6,164.01",232.98,8.83,0.08,0.00,63.17,EFORL,mai,CONSUMP,-
2Q2557,251.45,12.55,,52.82,0.01,5.43,6.85,83.43,15.18,21.01,0.24,-162.17,1.06,"9,752.01",133.60,13.09,0.08,0.00,65.34,EFORL,mai,CONSUMP,-
3Q2557,319.35,60.45,567.39,85.27,0.01,7.60,10.15,87.41,11.67,26.70,0.42,16.80,1.58,"14,536.02",113.95,18.23,0.09,0.00,64.32,EFORL,mai,CONSUMP,-
4Q2557,688.31,-33.22,68.49,66.95,0.01,1.55,4.73,79.80,19.34,9.73,2.78,129.36,1.42,"13,064.02",63.01,14.80,0.10,0.00,53.44,EFORL,mai,CONSUMP,-
1Q2558,"1,185.91",82.11,119.61,134.03,0.01,1.85,6.65,86.16,12.85,11.30,2.43,136.02,1.08,"9,936.01",41.27,10.59,0.10,0.93,25.44,EFORL,mai,CONSUMP,-
