,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"2,099.34",252.75,38.36,"1,710.02",3.21,2.29,2.88,69.47,21.25,81.46,0.26,374.75,93.00,"48,961.25",9.81,0.84,110.13,5.65,6.69,EGCO,SET,RESOURC,ENERG
2Q2555,"6,891.26",271.34,257.96,"6,266.36",11.92,6.95,9.85,29.62,6.69,90.93,0.55,397.81,115.00,"60,543.47",11.10,1.01,113.48,4.57,7.05,EGCO,SET,RESOURC,ENERG
3Q2555,"4,676.31",-66.95,34.93,"2,099.67",3.94,1.97,3.12,82.48,15.24,44.90,0.61,339.55,130.00,"68,440.45",6.86,1.04,125.44,4.04,7.59,EGCO,SET,RESOURC,ENERG
4Q2555,"5,114.64",-54.82,95.60,971.22,1.78,0.89,1.43,84.82,14.51,18.99,0.60,344.53,151.00,"79,496.21",7.56,1.19,126.86,3.48,7.58,EGCO,SET,RESOURC,ENERG
1Q2556,"4,790.33",135.39,30.53,"2,238.36",4.19,2.03,3.31,86.01,10.54,46.73,0.66,357.64,156.00,"82,128.54",7.48,1.22,128.09,3.85,7.42,EGCO,SET,RESOURC,ENERG
2Q2556,"4,877.34",-16.71,-70.72,"1,816.75",3.49,1.59,2.70,80.21,14.30,37.25,0.73,318.57,135.00,"71,072.77",6.18,1.08,125.35,4.44,8.95,EGCO,SET,RESOURC,ENERG
3Q2556,"5,053.06",28.65,13.96,"2,368.06",4.49,1.97,3.48,82.23,11.98,46.86,0.79,324.47,124.00,"65,281.66",9.25,0.98,126.81,4.84,8.24,EGCO,SET,RESOURC,ENERG
4Q2556,"4,948.61",-78.62,-46.07,663.97,0.96,0.52,0.96,73.42,21.38,13.42,0.87,291.82,122.50,"64,491.96",8.78,0.95,129.08,4.90,8.15,EGCO,SET,RESOURC,ENERG
1Q2557,"4,622.92",391.67,12.65,"2,517.13",4.72,1.89,3.52,77.40,13.46,54.45,0.85,271.12,131.00,"68,966.91",9.98,1.00,131.57,4.58,8.59,EGCO,SET,RESOURC,ENERG
2Q2557,"4,917.15",-0.57,34.47,"2,510.91",4.69,1.84,3.44,74.97,15.35,51.06,0.89,250.56,138.50,"72,915.40",10.14,1.01,136.46,4.33,9.16,EGCO,SET,RESOURC,ENERG
3Q2557,"4,753.64",-10.36,-6.30,"2,255.98",4.21,1.51,3.08,76.05,14.15,47.46,1.18,254.39,165.00,"86,866.73",11.10,1.20,137.27,3.64,11.78,EGCO,SET,RESOURC,ENERG
4Q2557,"4,760.53",-77.66,-2.08,522.83,0.94,0.33,0.71,,19.04,10.98,1.17,284.62,167.50,"88,182.89",11.49,1.22,137.49,3.58,12.40,EGCO,SET,RESOURC,ENERG
1Q2558,"3,866.24",209.57,-38.35,"1,535.48",2.91,0.94,2.06,,15.37,39.72,1.20,237.33,151.50,"79,759.45",10.40,1.09,139.16,4.13,12.86,EGCO,SET,RESOURC,ENERG
2Q2558,"4,736.48",-8.59,-43.32,"1,440.10",2.66,0.86,1.90,,9.16,30.40,1.25,344.85,153.50,"80,812.38",12.04,1.09,140.96,4.07,13.25,EGCO,SET,RESOURC,ENERG
3Q2558,"4,727.89",,,-125.48,-0.29,-0.07,-0.16,,14.82,-2.65,1.29,,153.00,"80,549.15",14.28,1.07,142.93,4.08,12.58,EGCO,SET,RESOURC,ENERG
4Q2558,"4,475.96",,210.64,"1,556.06",2.92,0.88,2.01,,25.25,34.76,1.31,,151.50,"79,759.45",24.34,1.05,144.49,4.13,12.40,EGCO,SET,RESOURC,ENERG
1Q2559,"4,529.73",68.49,69.07,"2,608.59",4.92,1.42,3.31,,15.54,57.59,1.34,,178.50,"93,974.00",21.76,1.22,146.72,3.50,13.06,EGCO,SET,RESOURC,ENERG
2Q2559,"5,043.61",-20.93,46.24,"2,074.16",3.89,1.10,2.59,,16.89,41.12,1.38,,187.50,"98,712.19",18.36,1.24,150.78,3.33,14.00,EGCO,SET,RESOURC,ENERG
3Q2559,"7,860.96",38.82,,"2,855.74",5.40,1.48,3.56,,7.07,36.33,1.41,,198.50,"104,503.30",17.34,1.31,151.18,3.15,15.50,EGCO,SET,RESOURC,ENERG
4Q2559,"7,247.79",-70.37,-45.21,842.60,1.60,0.43,1.03,,12.97,11.63,1.39,,199.00,"104,766.54",11.61,1.31,151.87,3.14,13.95,EGCO,SET,RESOURC,ENERG
1Q2560,"6,782.21",251.88,14.43,"2,971.80",5.63,1.50,3.57,,8.40,43.82,1.37,,214.00,"112,663.51",13.54,1.37,155.70,3.04,14.67,EGCO,SET,RESOURC,ENERG
2Q2560,"7,743.90",19.01,72.24,"3,538.42",6.70,1.76,4.17,,7.68,45.69,1.36,,214.00,"112,663.51",12.96,1.35,158.61,3.04,13.77,EGCO,SET,RESOURC,ENERG
3Q2560,"8,522.41",-0.30,23.70,"3,526.37",6.68,1.74,4.10,,7.16,41.38,1.34,,235.00,"123,719.27",12.16,1.45,161.63,2.77,13.92,EGCO,SET,RESOURC,ENERG
4Q2560,"9,237.64",-48.50,115.00,"1,826.51",3.44,0.91,2.11,,12.24,19.77,1.31,,216.00,"113,716.44",10.48,1.32,163.18,3.01,14.60,EGCO,SET,RESOURC,ENERG
