,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,174.72",,33.33,119.52,0.04,0.97,3.12,75.10,24.30,10.17,2.20,-52.70,2.70,"6,060.90",12.34,1.69,1.60,2.96,8.57,ERW,SET,SERVICE,TOURISM
2Q2555,"1,036.19",-75.00,-96.15,24.64,0.01,0.20,0.65,70.17,26.12,2.38,2.28,-56.24,2.58,"5,791.53",11.31,1.57,1.64,3.10,12.75,ERW,SET,SERVICE,TOURISM
3Q2555,946.51,,0.00,-50.49,-0.03,-0.41,-1.37,71.73,27.48,-5.33,2.38,-67.23,3.04,"6,824.13",N/A,1.94,1.57,2.63,14.20,ERW,SET,SERVICE,TOURISM
4Q2555,"1,201.46",,,73.10,0.03,0.58,1.99,73.23,26.46,6.08,2.46,-82.85,4.44,"9,969.74",N/A,2.88,1.54,1.80,14.78,ERW,SET,SERVICE,TOURISM
1Q2556,"1,305.24",157.35,75.00,165.51,0.07,1.26,4.37,75.03,24.55,12.68,2.45,-81.91,5.80,"13,049.35",123.25,3.72,1.56,0.33,16.91,ERW,SET,SERVICE,TOURISM
2Q2556,"1,048.73",357.14,"3,100.00",732.01,0.32,5.58,17.43,65.41,33.84,69.80,1.84,-83.70,3.74,"8,419.65",54.30,2.30,1.63,0.50,7.87,ERW,SET,SERVICE,TOURISM
3Q2556,"1,108.26",,,-1.30,0.00,-0.01,-0.03,72.39,26.76,-0.12,1.83,-83.00,4.40,"9,905.47",11.23,2.28,1.93,0.43,8.52,ERW,SET,SERVICE,TOURISM
4Q2556,"1,265.83",,10.29,70.17,0.03,0.53,1.44,73.29,26.48,5.54,1.62,-83.94,3.28,"8,116.80",8.73,1.87,1.93,0.52,7.55,ERW,SET,SERVICE,TOURISM
1Q2557,"1,008.56",-95.87,-98.23,-7.41,0.00,-0.05,-0.14,72.43,26.76,-0.73,1.58,-88.64,3.88,"9,602.54",10.25,1.91,2.03,3.90,9.24,ERW,SET,SERVICE,TOURISM
2Q2557,943.94,,,-88.46,-0.03,-0.65,-1.78,66.17,28.84,-9.37,1.86,-89.51,4.40,"10,891.16",13.76,2.16,2.04,3.44,19.06,ERW,SET,SERVICE,TOURISM
3Q2557,"1,030.69",-15.24,,-81.57,-0.04,-0.59,-1.73,71.07,28.20,-7.91,2.01,-86.92,4.96,"12,286.38",N/A,2.68,1.85,3.05,22.81,ERW,SET,SERVICE,TOURISM
4Q2557,"1,367.34",,-30.33,66.98,0.02,0.47,1.43,72.51,27.25,4.90,2.07,-75.00,4.64,"11,501.53",N/A,2.56,1.82,3.26,21.92,ERW,SET,SERVICE,TOURISM
1Q2558,"1,454.81",169.38,"4,440.32",154.80,0.06,1.06,3.22,74.98,24.50,10.64,1.99,-63.19,4.66,"11,565.43",N/A,2.54,1.84,0.86,17.67,ERW,SET,SERVICE,TOURISM
2Q2558,"1,218.10",,68.02,-18.88,-0.01,-0.13,-0.39,71.08,27.93,-1.55,2.04,-63.13,4.28,"10,622.90",425.35,2.26,1.89,0.93,15.33,ERW,SET,SERVICE,TOURISM
3Q2558,"1,222.07",18.82,77.47,-17.70,-0.01,-0.12,-0.37,72.53,26.97,-1.45,2.07,-57.20,3.70,"9,187.42",110.27,2.01,1.84,1.08,13.25,ERW,SET,SERVICE,TOURISM
4Q2558,"1,405.69",,98.56,114.49,0.04,0.78,2.37,73.84,24.73,8.14,2.01,-50.03,4.28,"10,678.02",72.97,2.34,1.84,0.93,13.63,ERW,SET,SERVICE,TOURISM
1Q2559,"1,551.22",84.34,35.88,198.54,0.08,1.34,3.96,74.97,24.45,12.80,1.90,-43.34,4.42,"11,041.93",55.81,2.35,1.88,0.90,13.34,ERW,SET,SERVICE,TOURISM
2Q2559,"1,290.88",-91.11,,22.70,0.01,0.15,0.45,71.26,27.66,1.76,1.92,-33.29,4.52,"11,291.74",45.29,2.31,1.96,0.88,13.19,ERW,SET,SERVICE,TOURISM
3Q2559,"1,382.05",227.94,,68.76,0.02,0.47,1.38,72.86,26.63,4.98,1.97,-29.29,4.54,"11,341.71",38.97,2.36,1.92,0.88,12.50,ERW,SET,SERVICE,TOURISM
4Q2559,"1,439.80",85.20,-0.48,117.73,0.04,0.79,2.34,73.12,26.20,8.18,1.94,-28.50,4.50,"11,241.78",30.65,2.32,1.94,0.89,12.51,ERW,SET,SERVICE,TOURISM
1Q2560,"1,635.27",101.21,8.63,226.73,0.08,1.50,4.38,74.57,24.49,13.86,1.88,-30.20,4.56,"11,399.64",31.07,2.32,1.97,1.31,12.26,ERW,SET,SERVICE,TOURISM
2Q2560,"1,360.36",-72.32,238.24,66.37,0.02,0.44,1.27,70.52,28.37,4.88,1.97,-31.32,5.30,"13,250.90",34.55,2.59,2.04,1.13,13.12,ERW,SET,SERVICE,TOURISM
3Q2560,"1,457.64",37.83,42.15,90.60,0.03,0.59,1.75,73.24,26.08,6.22,1.97,-31.74,6.65,"16,627.78",39.22,3.32,2.00,0.90,14.97,ERW,SET,SERVICE,TOURISM
4Q2560,"1,597.18",103.15,55.93,181.32,0.06,1.15,3.41,73.77,25.32,11.35,1.97,-32.43,8.70,"21,757.77",48.62,4.29,2.03,0.69,17.22,ERW,SET,SERVICE,TOURISM
1Q2561,"1,786.33",77.17,37.30,305.19,0.11,1.89,5.51,76.58,22.87,17.08,1.87,-34.38,8.00,"20,039.83",39.64,3.83,2.09,1.12,15.40,ERW,SET,SERVICE,TOURISM
2Q2561,"1,362.37",-89.66,-48.70,36.81,0.01,0.23,0.66,71.42,27.63,2.70,1.95,-36.08,6.30,"15,787.02",27.05,2.88,2.19,1.43,13.58,ERW,SET,SERVICE,TOURISM
3Q2561,"1,441.68",39.83,-47.95,51.51,0.02,0.31,0.94,71.42,27.73,3.57,2.05,-35.11,8.10,"20,303.49",36.54,3.82,2.12,1.11,16.54,ERW,SET,SERVICE,TOURISM
4Q2561,"1,717.29",334.55,11.34,199.68,0.07,1.19,3.57,75.35,23.91,11.63,1.97,-32.27,6.30,"15,798.61",30.51,2.97,2.12,1.42,13.72,ERW,SET,SERVICE,TOURISM
1Q2562,"1,775.11",30.40,-18.05,252.01,0.09,1.47,4.32,75.20,23.84,14.20,1.93,-29.58,7.05,"17,710.33",33.02,3.20,2.21,1.28,14.91,ERW,SET,SERVICE,TOURISM
2Q2562,"1,413.91",,,-2.25,-0.00,-0.01,-0.04,71.01,27.73,-0.16,2.03,-26.60,6.30,"15,833.61",32.63,2.74,2.30,1.43,14.28,ERW,SET,SERVICE,TOURISM
3Q2562,"1,509.38",,3.03,56.33,0.02,0.32,0.99,72.96,26.26,3.73,2.06,-24.96,5.85,"14,713.47",32.81,2.66,2.20,1.54,13.55,ERW,SET,SERVICE,TOURISM
4Q2562,"1,740.67",310.59,-2.65,196.66,0.07,1.11,3.37,73.99,25.24,11.30,2.00,-25.38,5.95,"14,979.32",33.32,2.69,2.22,1.51,13.72,ERW,SET,SERVICE,TOURISM
1Q2563,"1,222.60",,,-107.72,-0.04,-0.55,-1.85,71.01,28.02,-8.81,2.78,-23.09,2.48,"6,243.48",,,,2.82,13.18,ERW,SET,SERVICE,TOURISM
2Q2563,84.40,-510.07,"-8,176.67",-649.33,-0.25,-3.02,-12.07,-130.77,224.86,-769.36,3.25,-17.11,3.76,"9,465.92",87.27,1.71,2.20,1.86,24.49,ERW,SET,SERVICE,TOURISM
3Q2563,437.41,17.76,,-535.12,-0.20,-2.51,-11.15,36.67,60.98,-122.34,3.66,-12.29,3.16,"7,955.40",N/A,1.63,1.94,2.22,53.66,ERW,SET,SERVICE,TOURISM
4Q2563,604.06,7.88,,-486.41,-0.19,-2.29,-11.46,63.37,34.07,-80.52,4.40,-8.89,3.60,"9,063.12",N/A,2.05,1.76,1.94,-91.72,ERW,SET,SERVICE,TOURISM
1Q2564,390.06,-3.88,-380.10,-512.88,-0.20,-2.43,-13.92,43.45,53.36,-131.49,5.12,-3.76,4.76,"11,983.46",N/A,3.14,1.51,0.00,-40.50,ERW,SET,SERVICE,TOURISM
2Q2564,269.13,-20.73,4.99,-716.79,-0.24,-3.21,-13.78,18.33,79.18,-266.33,2.39,-10.39,2.86,"12,960.26",N/A,3.87,0.85,0.00,-35.31,ERW,SET,SERVICE,TOURISM
3Q2564,253.76,54.05,46.91,-667.62,-0.11,-2.85,-10.06,6.25,82.99,-263.09,2.69,-9.43,3.06,"13,866.57",N/A,2.01,1.52,0.00,-34.20,ERW,SET,SERVICE,TOURISM
1Q2565,646.09,36.25,64.64,-324.86,-0.07,-1.42,-5.43,59.33,39.46,-50.28,2.96,-3.35,3.32,"15,044.78",,,,0.00,-41.26,ERW,SET,SERVICE,TOURISM
2Q2565,"1,006.09",55.57,86.99,-143.04,-0.03,-0.66,-2.55,65.97,30.88,-14.22,2.83,-6.36,3.92,"17,944.98",N/A,3.17,1.25,0.00,-75.18,ERW,SET,SERVICE,TOURISM
3Q2565,"1,289.39",91.86,97.69,-5.35,-0.00,-0.03,-0.10,71.47,28.07,-0.42,2.85,-11.27,4.28,"19,757.60",N/A,3.56,1.23,0.00,137.27,ERW,SET,SERVICE,TOURISM
