,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
2Q2556,,,,,,,,,,,0.00,,,,,,,,,ERWPF,SET,PROPCON,PF&REIT
3Q2556,27.95,,,26.29,,1.40,1.41,,,94.04,0.00,,9.90,"1,743.39",,0.94,10.55,0.00,,ERWPF,SET,PROPCON,PF&REIT
4Q2556,27.95,,,37.69,,1.99,1.99,,,134.84,0.00,,9.40,"1,655.34",,0.88,10.70,0.00,,ERWPF,SET,PROPCON,PF&REIT
1Q2557,27.94,,,25.91,,1.37,1.37,,,92.71,0.00,,9.80,"1,725.78",,0.91,10.80,4.48,,ERWPF,SET,PROPCON,PF&REIT
2Q2557,27.94,,,25.41,,1.36,1.36,,,90.96,0.00,,9.90,"1,743.39",,0.93,10.62,4.43,,ERWPF,SET,PROPCON,PF&REIT
3Q2557,27.91,,,26.16,,1.40,1.40,,,93.71,0.00,,9.90,"1,743.39",,0.94,10.57,4.43,,ERWPF,SET,PROPCON,PF&REIT
4Q2557,27.91,,,25.14,,1.33,1.33,,,90.07,0.00,,9.60,"1,690.56",,0.90,10.71,4.57,,ERWPF,SET,PROPCON,PF&REIT
1Q2558,27.89,,,26.25,,1.39,1.39,,,94.11,0.00,,9.50,"1,672.95",,0.88,10.77,6.24,,ERWPF,SET,PROPCON,PF&REIT
2Q2558,27.91,,,24.05,,1.29,1.29,,,86.18,0.00,,9.50,"1,672.95",,0.90,10.61,6.24,,ERWPF,SET,PROPCON,PF&REIT
3Q2558,27.92,,,26.23,,1.40,1.40,,,93.93,0.00,,9.70,"1,708.17",,0.92,10.59,6.11,,ERWPF,SET,PROPCON,PF&REIT
4Q2558,27.90,,,10.70,,0.57,0.57,,,38.34,0.00,,9.80,"1,725.78",,0.91,10.74,6.05,,ERWPF,SET,PROPCON,PF&REIT
1Q2559,27.92,,,40.46,,2.15,2.15,,,144.94,0.00,,0.00,"1,699.37",,0.90,10.71,5.81,,ERWPF,SET,PROPCON,PF&REIT
2Q2559,27.91,,,26.14,,1.40,1.40,,,93.68,0.00,,0.00,"1,672.95",,0.89,10.62,5.90,,ERWPF,SET,PROPCON,PF&REIT
3Q2559,27.89,,,-19.70,,-1.06,-1.06,,,-70.64,0.00,,9.50,"1,672.95",,0.90,10.57,5.90,,ERWPF,SET,PROPCON,PF&REIT
4Q2559,27.89,,,26.07,,1.41,1.41,,,93.45,0.00,,8.20,"1,444.02",,0.78,10.46,6.83,,ERWPF,SET,PROPCON,PF&REIT
1Q2560,28.14,,,-36.60,,-2.03,-2.03,,,-130.07,0.00,,7.65,"1,347.16",,0.73,10.52,5.42,,ERWPF,SET,PROPCON,PF&REIT
2Q2560,8.47,,,6.90,,0.40,0.40,,,81.53,0.00,,6.60,"1,162.26",,0.66,9.97,6.28,,ERWPF,SET,PROPCON,PF&REIT
3Q2560,18.14,,,-109.28,,-6.51,-6.51,,,-602.34,0.00,,7.10,"1,250.31",,0.72,9.84,5.84,,ERWPF,SET,PROPCON,PF&REIT
4Q2560,17.82,,,16.61,,1.02,1.02,,,93.24,0.00,,6.80,"1,197.48",,0.74,9.22,6.09,,ERWPF,SET,PROPCON,PF&REIT
1Q2561,18.81,,,-70.67,,-4.47,-4.48,,,-375.70,0.00,,6.05,"1,065.40",,0.66,9.23,6.85,,ERWPF,SET,PROPCON,PF&REIT
