,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,92.41,-36.36,-34.33,-39.72,-0.01,-0.84,-0.93,17.75,74.55,-42.98,0.10,"1,678.45",0.60,"3,013.35",N/A,0.72,0.95,0.00,-25.04,ESTAR,SET,PROPCON,PROP
2Q2555,117.47,-22.22,1.52,-39.15,-0.01,-0.83,-0.92,62.58,30.48,-33.33,0.12,"2,043.44",0.78,"3,917.35",N/A,0.94,0.83,0.00,-37.39,ESTAR,SET,PROPCON,PROP
3Q2555,103.25,,,-36.65,0.00,-0.77,-0.87,34.45,58.68,-35.49,0.14,"2,217.89",0.80,"4,017.80",N/A,0.98,0.82,0.00,-41.19,ESTAR,SET,PROPCON,PROP
4Q2555,119.50,,-51.52,-29.44,-0.01,-0.61,-0.71,43.16,51.35,-24.63,0.19,"2,692.08",0.89,"4,469.80",N/A,1.10,0.81,0.00,-45.67,ESTAR,SET,PROPCON,PROP
1Q2556,61.60,0.00,-11.11,-46.75,-0.01,-0.86,-1.12,12.63,81.54,-75.89,0.43,"3,478.41",1.05,"5,273.36",N/A,1.32,0.80,0.00,-60.86,ESTAR,SET,PROPCON,PROP
2Q2556,195.09,60.00,63.64,-24.16,-0.00,-0.40,-0.58,62.47,34.35,-12.38,0.46,"3,528.87",0.75,"3,766.68",N/A,0.92,0.81,0.00,-62.23,ESTAR,SET,PROPCON,PROP
3Q2556,325.09,,,10.81,0.00,0.18,0.26,68.12,30.48,3.33,0.48,"3,464.23",0.70,"3,515.57",N/A,0.87,0.81,0.00,-150.60,ESTAR,SET,PROPCON,PROP
4Q2556,"1,059.58","1,738.33",,208.13,0.04,3.44,4.86,90.59,9.21,19.64,0.35,"3,104.66",0.59,"2,963.13",N/A,0.73,0.81,0.00,17.43,ESTAR,SET,PROPCON,PROP
1Q2557,287.50,-83.23,,35.06,0.01,0.59,0.80,86.43,12.06,12.20,0.37,"3,302.92",0.65,"3,264.46",21.84,0.76,0.85,0.00,13.89,ESTAR,SET,PROPCON,PROP
2Q2557,311.88,-42.86,,21.24,0.00,0.35,0.48,82.25,16.04,6.81,0.39,"3,623.69",1.00,"5,022.25",21.73,1.17,0.86,0.00,17.16,ESTAR,SET,PROPCON,PROP
3Q2557,351.71,125.00,296.48,44.56,0.01,0.71,1.00,80.79,13.09,12.67,0.42,"4,671.10",1.15,"5,775.58",20.89,1.34,0.86,0.00,17.67,ESTAR,SET,PROPCON,PROP
4Q2557,359.28,296.67,-14.45,177.72,0.04,2.70,3.88,49.25,43.43,49.46,0.46,"4,027.70",1.04,"5,223.14",16.83,1.19,0.87,0.00,19.11,ESTAR,SET,PROPCON,PROP
1Q2558,138.72,,,-15.11,-0.00,-0.22,-0.32,66.55,30.13,-10.89,0.47,"4,238.43",0.98,"4,921.80",17.59,1.08,0.91,3.06,21.98,ESTAR,SET,PROPCON,PROP
2Q2558,99.50,-66.67,,-26.11,-0.01,-0.37,-0.57,49.17,44.04,-26.24,0.59,"4,535.05",0.93,"4,670.69",20.35,1.03,0.90,3.23,27.76,ESTAR,SET,PROPCON,PROP
3Q2558,255.83,63.40,,-9.10,-0.00,-0.13,-0.20,57.77,40.14,-3.56,0.55,"3,929.07",0.78,"3,917.35",21.47,0.90,0.87,3.85,32.38,ESTAR,SET,PROPCON,PROP
4Q2558,"1,219.06",,0.36,181.91,0.04,2.76,3.99,99.49,0.23,14.92,0.35,"6,941.17",0.59,"2,963.13",23.07,0.68,0.87,5.08,21.98,ESTAR,SET,PROPCON,PROP
1Q2559,644.82,-58.05,,75.72,0.02,1.24,1.61,86.04,13.18,11.74,0.27,"5,352.92",0.61,"3,063.57",23.08,0.68,0.90,4.10,13.22,ESTAR,SET,PROPCON,PROP
2Q2559,739.37,59.48,,117.73,0.02,2.01,2.49,95.80,2.57,15.92,0.21,"5,462.59",0.73,"3,666.24",16.39,0.80,0.92,3.42,9.21,ESTAR,SET,PROPCON,PROP
3Q2559,303.36,,-66.12,-14.82,-0.00,-0.26,-0.31,47.51,48.08,-4.88,0.21,"4,077.04",0.72,"3,616.02",9.83,0.79,0.92,3.47,9.15,ESTAR,SET,PROPCON,PROP
4Q2559,249.92,,-87.83,21.54,0.00,0.37,0.46,70.04,30.85,8.62,0.23,"3,007.86",0.69,"3,465.35",9.55,0.76,0.91,3.62,15.06,ESTAR,SET,PROPCON,PROP
