,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2562,,,,,,,,,,,1.91,-152.77,,,,,,,,ETC,SET,RESOURC,ENERG
2Q2563,310.93,,,85.10,0.05,3.26,9.09,89.45,10.52,27.37,1.69,-204.11,,,,,,,,ETC,SET,RESOURC,ENERG
3Q2563,172.59,-51.31,,49.88,0.02,1.50,2.87,92.63,7.35,28.90,0.62,-267.14,2.18,"4,883.20",47.28,,0.00,0.00,10.90,ETC,SET,RESOURC,ENERG
4Q2563,189.58,19.71,,66.25,0.03,1.64,2.61,92.61,6.11,34.94,0.57,-309.77,1.87,"4,188.80",31.41,1.68,1.11,0.00,7.47,ETC,SET,RESOURC,ENERG
1Q2564,173.22,-32.05,,45.79,0.02,1.14,1.77,90.93,8.73,26.43,0.53,-515.86,3.32,"7,436.80",38.24,2.91,1.14,0.00,15.59,ETC,SET,RESOURC,ENERG
2Q2564,191.13,44.70,-42.69,66.84,0.03,1.66,2.52,94.64,4.81,34.97,0.51,-809.97,3.14,"7,033.60",32.55,2.71,1.16,0.00,17.16,ETC,SET,RESOURC,ENERG
3Q2564,187.76,-19.39,-5.11,52.98,0.02,1.32,1.96,85.86,7.39,28.22,0.46,-785.80,2.60,"5,824.00",26.34,2.19,1.19,0.00,14.12,ETC,SET,RESOURC,ENERG
1Q2565,180.19,-9.91,5.08,48.22,0.02,1.22,1.74,95.32,2.38,26.76,0.40,-948.73,4.24,"9,497.60",,,,0.00,24.53,ETC,SET,RESOURC,ENERG
2Q2565,228.06,39.95,1.63,67.33,0.03,1.72,2.37,73.87,11.20,29.52,0.36,-739.91,3.70,"8,288.00",43.71,2.97,1.24,0.00,20.51,ETC,SET,RESOURC,ENERG
3Q2565,191.05,-37.74,-21.51,41.99,0.02,1.08,1.45,89.27,7.24,21.98,0.33,-653.06,3.18,"7,168.00",37.59,2.51,1.27,0.00,18.97,ETC,SET,RESOURC,ENERG
