,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,172.05,8.14,-6.73,11.19,0.75,1.40,2.11,90.94,6.93,6.51,0.52,294.83,0.00,315.00,12.18,0.60,34.93,5.29,7.38,F&D,SET,AGRO,FOOD
2Q2555,222.56,27.93,,14.32,0.95,1.71,2.66,92.76,5.42,6.43,0.59,272.46,0.00,318.00,12.69,0.59,35.67,2.50,5.99,F&D,SET,AGRO,FOOD
3Q2555,173.94,28.77,119.50,18.50,1.23,2.25,3.36,92.27,6.20,10.64,0.40,240.61,31.00,465.00,10.49,0.86,36.10,1.71,6.13,F&D,SET,AGRO,FOOD
4Q2555,128.97,-89.42,-81.16,1.95,0.13,0.25,0.34,84.81,12.33,1.51,0.29,355.62,61.50,922.50,16.93,1.65,37.33,0.86,10.45,F&D,SET,AGRO,FOOD
1Q2556,99.41,168.31,-53.26,5.23,0.35,0.70,0.92,83.42,12.53,5.26,0.35,407.44,49.00,735.00,15.99,1.27,38.59,1.08,9.58,F&D,SET,AGRO,FOOD
2Q2556,141.60,234.44,22.20,17.50,1.17,2.31,3.15,84.40,12.97,12.36,0.38,397.73,0.00,656.25,16.41,1.18,36.99,2.40,9.02,F&D,SET,AGRO,FOOD
3Q2556,144.33,-28.59,-32.23,12.50,0.83,1.61,2.22,79.97,16.93,8.66,0.37,335.65,33.25,498.75,11.55,0.90,37.10,3.16,7.92,F&D,SET,AGRO,FOOD
4Q2556,104.18,,,-23.11,-1.54,-3.03,-4.14,75.12,25.65,-22.18,0.36,302.45,0.00,495.00,13.32,0.87,37.93,3.18,12.13,F&D,SET,AGRO,FOOD
1Q2557,88.92,68.24,,-7.34,-0.49,-0.98,-1.35,79.15,18.41,-8.25,0.40,299.57,0.00,427.50,35.27,0.78,36.39,0.60,15.95,F&D,SET,AGRO,FOOD
2Q2557,127.19,,-74.74,4.42,0.29,0.57,0.82,81.57,15.37,3.48,0.48,306.03,36.00,540.00,N/A,1.00,35.90,0.47,30.49,F&D,SET,AGRO,FOOD
3Q2557,128.84,,,-12.93,-0.86,-1.64,-2.42,74.84,23.51,-10.04,0.48,285.24,28.50,427.50,N/A,0.79,36.03,0.60,-140.09,F&D,SET,AGRO,FOOD
4Q2557,141.87,33.35,62.69,-8.62,-0.57,-1.13,-1.65,81.15,16.31,-6.08,0.44,284.82,24.60,369.00,N/A,0.70,35.17,0.69,41.90,F&D,SET,AGRO,FOOD
1Q2558,64.94,-128.44,-168.33,-19.69,-1.31,-2.63,-3.87,76.31,21.10,-30.33,0.50,288.79,27.75,416.25,N/A,0.80,34.56,0.00,"-1,045.16",F&D,SET,AGRO,FOOD
2Q2558,115.80,22.97,,-15.17,-1.01,-2.01,-3.09,68.24,28.57,-13.10,0.57,250.10,0.00,465.00,N/A,0.93,33.25,0.00,-26.53,F&D,SET,AGRO,FOOD
3Q2558,154.23,51.64,43.29,-7.33,-0.49,-0.96,-1.53,73.53,23.18,-4.76,0.60,221.17,23.40,351.00,N/A,0.73,32.24,0.00,-31.34,F&D,SET,AGRO,FOOD
4Q2558,142.08,-449.33,-367.41,-40.29,-2.69,-5.46,-8.83,76.17,22.20,-28.36,0.64,198.22,0.00,360.00,N/A,0.76,31.75,0.00,-11.70,F&D,SET,AGRO,FOOD
1Q2559,158.81,68.27,35.07,-12.79,-0.85,-1.78,-2.98,82.35,16.61,-8.05,0.72,154.27,20.20,303.00,N/A,0.70,29.06,0.00,-14.09,F&D,SET,AGRO,FOOD
2Q2559,204.79,40.86,50.15,-7.56,-0.50,-1.02,-1.80,83.96,14.74,-3.69,0.82,123.52,19.50,292.50,N/A,0.69,28.21,0.00,-20.13,F&D,SET,AGRO,FOOD
3Q2559,200.42,-97.21,-103.28,-14.91,-0.99,-1.93,-3.65,81.99,17.03,-7.44,0.97,117.32,18.90,283.50,N/A,0.68,27.71,0.00,-17.19,F&D,SET,AGRO,FOOD
4Q2559,176.01,-96.94,27.12,-29.37,-1.96,-3.25,-6.03,81.31,17.27,-16.68,0.78,118.19,21.50,322.50,N/A,0.80,26.71,0.00,-37.24,F&D,SET,AGRO,FOOD
1Q2560,171.01,67.91,26.31,-9.42,-0.63,-0.93,-1.65,83.60,15.08,-5.51,0.79,114.96,20.90,313.50,N/A,0.55,38.23,0.00,-41.66,F&D,SET,AGRO,FOOD
2Q2560,206.49,-1.46,-26.43,-9.78,-0.64,-0.97,-1.67,84.00,15.18,-4.74,0.66,118.71,0.00,300.00,N/A,0.64,37.71,0.00,-34.95,F&D,SET,AGRO,FOOD
3Q2560,216.35,,,1.66,0.17,0.17,0.27,83.82,14.55,0.77,0.60,131.04,0.00,352.49,N/A,0.58,34.51,0.00,-238.77,F&D,SET,AGRO,FOOD
4Q2560,186.86,,23.71,-24.95,-1.49,-2.60,-4.18,79.34,19.36,-13.35,0.61,132.19,0.00,414.17,N/A,0.68,34.61,0.00,-138.17,F&D,SET,AGRO,FOOD
