,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,135.10,-14.75,67.21,-10.79,-0.02,-0.80,-0.81,57.91,32.38,-7.99,0.02,257.20,1.65,775.50,N/A,0.58,2.83,0.00,11.49,FANCY,SET,CONSUMP,HOME
2Q2555,100.92,,,3.81,0.01,0.28,0.29,54.76,37.23,3.77,0.02,269.66,1.74,817.80,N/A,0.62,2.81,0.00,11.45,FANCY,SET,CONSUMP,HOME
3Q2555,100.67,,,-41.73,-0.09,-3.14,-3.20,54.70,38.54,-41.46,0.02,271.82,1.85,869.50,N/A,0.66,2.82,0.00,"-2,556.90",FANCY,SET,CONSUMP,HOME
4Q2555,80.61,47.80,-131.75,-19.91,-0.05,-1.54,-1.57,45.51,47.58,-24.70,0.01,245.60,1.76,827.20,N/A,0.65,2.73,0.00,-62.00,FANCY,SET,CONSUMP,HOME
1Q2556,48.18,-58.17,-219.43,-34.46,-0.07,-2.72,-2.77,12.15,81.74,-71.52,0.03,225.80,1.72,808.40,N/A,0.64,2.68,0.00,-23.41,FANCY,SET,CONSUMP,HOME
2Q2556,79.69,64.97,,-12.23,-0.03,-0.97,-1.00,23.10,69.63,-15.34,0.03,157.34,1.81,850.70,N/A,0.69,2.61,0.00,-12.14,FANCY,SET,CONSUMP,HOME
3Q2556,211.45,,,78.90,0.17,6.07,6.29,1.73,28.70,37.31,0.04,125.77,1.89,888.30,N/A,0.73,2.58,0.00,11.30,FANCY,SET,CONSUMP,HOME
4Q2556,119.41,,76.94,-5.03,-0.01,-0.38,-0.39,57.04,28.30,-4.21,0.04,127.69,1.73,813.10,66.07,0.63,2.75,0.00,8.82,FANCY,SET,CONSUMP,HOME
1Q2557,212.89,,,77.87,0.17,5.63,5.86,24.11,15.07,36.58,0.05,135.31,1.92,902.40,33.19,0.70,2.74,5.21,4.10,FANCY,SET,CONSUMP,HOME
2Q2557,71.82,,-176.01,-33.32,-0.07,-2.42,-2.51,47.50,45.76,-46.39,0.03,179.80,2.22,"1,043.40",7.48,0.76,2.91,4.50,4.69,FANCY,SET,CONSUMP,HOME
3Q2557,120.44,18.67,,-27.09,-0.06,-2.07,-2.13,63.38,33.59,-22.50,0.03,219.93,2.56,"1,203.20",10.16,0.94,2.74,3.91,13.42,FANCY,SET,CONSUMP,HOME
