,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2558,,,,,,,,,,,0.87,102.53,,,,,,,,FN,SET,SERVICE,COMM
3Q2559,792.27,,,99.51,0.14,9.82,19.21,66.90,29.94,12.56,1.05,114.74,,,,,,,,FN,SET,SERVICE,COMM
4Q2559,306.40,-59.74,,46.85,0.06,3.62,4.80,65.95,30.60,15.29,0.09,139.87,9.50,"9,500.00",69.79,,0.00,0.00,21.60,FN,SET,SERVICE,COMM
1Q2560,266.70,-65.16,,22.68,0.02,1.42,1.54,61.32,34.72,8.50,0.07,158.42,7.75,"7,750.00",52.95,5.29,1.47,0.77,16.11,FN,SET,SERVICE,COMM
2Q2560,263.45,0.00,,20.89,0.02,1.32,1.42,55.56,39.60,7.93,0.08,217.51,5.35,"5,350.00",40.39,3.59,1.49,1.12,17.00,FN,SET,SERVICE,COMM
3Q2560,265.48,0.00,-85.97,17.39,0.02,1.10,1.19,56.43,39.22,6.55,0.08,284.37,5.15,"5,150.00",42.57,3.55,1.45,1.17,29.15,FN,SET,SERVICE,COMM
4Q2560,305.53,50.00,-47.74,25.26,0.03,1.57,1.71,60.98,35.22,8.27,0.09,271.56,5.30,"5,300.00",49.16,3.61,1.47,1.13,32.57,FN,SET,SERVICE,COMM
1Q2561,274.90,-33.33,0.00,15.77,0.02,0.96,1.05,56.94,38.31,5.74,0.10,250.53,3.94,"3,940.00",45.70,2.64,1.49,0.89,25.42,FN,SET,SERVICE,COMM
2Q2561,274.61,,,4.07,0.00,0.25,0.27,53.75,41.89,1.48,0.10,234.12,2.50,"2,500.00",31.53,1.66,1.51,1.44,18.87,FN,SET,SERVICE,COMM
3Q2561,245.62,,,1.79,0.00,0.11,0.12,50.56,44.51,0.73,0.11,227.89,2.84,"2,840.00",45.45,1.93,1.47,1.27,24.17,FN,SET,SERVICE,COMM
