,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2557,,,,,,,,,,,0.31,,,,,,,,,FTREIT,SET,PROPCON,PF&REIT
1Q2558,105.04,,,71.61,,1.59,2.06,,,68.18,0.28,,0.00,"3,493.50",,1.02,10.02,0.00,,FTREIT,SET,PROPCON,PF&REIT
2Q2558,98.64,,,-59.21,,-1.34,-1.72,,,-60.03,0.29,,10.40,"3,562.00",,1.02,10.23,0.00,,FTREIT,SET,PROPCON,PF&REIT
3Q2558,99.28,,,66.80,,1.54,1.98,,,67.28,0.29,,0.00,"3,527.75",,1.05,9.84,0.00,,FTREIT,SET,PROPCON,PF&REIT
4Q2558,112.69,,,81.06,,1.35,1.81,,,71.93,0.37,,9.95,"5,639.66",,1.01,10.04,0.00,,FTREIT,SET,PROPCON,PF&REIT
1Q2559,169.99,,,110.30,,1.44,1.96,,,64.89,0.36,,10.10,"5,724.68",,1.02,9.88,2.83,,FTREIT,SET,PROPCON,PF&REIT
2Q2559,163.79,,,191.64,,2.48,3.36,,,117.00,0.35,,10.20,"5,781.36",,1.02,9.98,2.81,,FTREIT,SET,PROPCON,PF&REIT
3Q2559,173.18,,,86.67,,1.11,1.51,,,50.05,0.35,,10.00,"5,668.00",,0.99,10.14,2.86,,FTREIT,SET,PROPCON,PF&REIT
4Q2559,148.81,,,99.40,,1.28,1.73,,,66.79,0.35,,9.70,"5,497.96",,0.96,10.12,2.95,,FTREIT,SET,PROPCON,PF&REIT
1Q2560,130.70,,,81.81,,1.05,1.42,,,62.59,0.35,,9.50,"5,384.60",,0.94,10.14,7.05,,FTREIT,SET,PROPCON,PF&REIT
