,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2560,,,,,,,,,,,0.05,,,,,,,,,GAHREIT,SET,PROPCON,PF&REIT
1Q2561,32.76,,,48.29,,2.56,2.69,,,147.38,0.05,,9.85,"1,728.67",,0.97,10.14,1.39,,GAHREIT,SET,PROPCON,PF&REIT
2Q2561,32.83,,,29.99,,1.57,1.65,,,91.34,0.05,,0.00,"1,728.67",,0.96,10.28,1.39,,GAHREIT,SET,PROPCON,PF&REIT
3Q2561,32.87,,,30.14,,1.57,1.65,,,91.69,0.05,,9.75,"1,711.13",,0.93,10.46,1.41,,GAHREIT,SET,PROPCON,PF&REIT
4Q2561,32.80,,,30.06,,1.56,1.64,,,91.64,0.05,,9.45,"1,658.47",,0.91,10.33,1.45,,GAHREIT,SET,PROPCON,PF&REIT
1Q2562,32.88,,,34.03,,1.77,1.86,,,103.49,0.05,,9.35,"1,640.92",,0.89,10.50,6.42,,GAHREIT,SET,PROPCON,PF&REIT
2Q2562,32.90,,,30.05,,1.56,1.63,,,91.36,0.05,,0.00,"1,614.60",,0.96,10.39,6.52,,GAHREIT,SET,PROPCON,PF&REIT
3Q2562,32.92,,,30.18,,1.56,1.64,,,91.65,0.05,,9.15,"1,605.83",,0.87,10.56,6.56,,GAHREIT,SET,PROPCON,PF&REIT
4Q2562,32.81,,,30.04,,1.55,1.63,,,91.57,0.05,,9.10,"1,597.05",,0.87,10.44,6.59,,GAHREIT,SET,PROPCON,PF&REIT
1Q2563,32.85,,,16.65,,0.86,0.90,,,50.70,0.05,,7.40,"1,298.70",,0.70,10.61,8.11,,GAHREIT,SET,PROPCON,PF&REIT
2Q2563,32.77,,,30.06,,1.56,1.63,,,91.73,0.05,,7.45,"1,307.47",,0.72,10.40,8.05,,GAHREIT,SET,PROPCON,PF&REIT
3Q2563,32.85,,,30.13,,1.58,1.63,,,91.71,0.02,,8.10,"1,421.55",,0.77,10.57,7.41,,GAHREIT,SET,PROPCON,PF&REIT
4Q2563,32.64,,,29.95,,1.56,1.62,,,91.75,0.05,,7.85,"1,377.67",,0.75,10.44,7.64,,GAHREIT,SET,PROPCON,PF&REIT
1Q2564,32.75,,,18.36,,0.96,0.99,,,56.07,0.02,,0.00,"1,439.10",,0.77,10.61,7.32,,GAHREIT,SET,PROPCON,PF&REIT
2Q2564,32.74,,,30.07,,1.59,1.63,,,91.82,0.02,,8.25,"1,447.88",,0.79,10.42,7.27,,GAHREIT,SET,PROPCON,PF&REIT
3Q2564,32.75,,,30.00,,1.57,1.62,,,91.59,0.04,,8.30,"1,456.65",,0.78,10.59,7.23,,GAHREIT,SET,PROPCON,PF&REIT
4Q2564,32.74,,,30.11,,1.57,1.63,,,91.95,0.03,,8.70,"1,526.85",,0.83,10.46,6.90,,GAHREIT,SET,PROPCON,PF&REIT
1Q2565,32.76,,,24.94,,1.31,1.35,,,76.13,0.02,,8.90,"1,561.95",,,,6.74,,GAHREIT,SET,PROPCON,PF&REIT
2Q2565,32.77,,,30.02,,1.59,1.62,,,91.61,0.01,,8.85,"1,561.95",,0.85,10.48,6.74,,GAHREIT,SET,PROPCON,PF&REIT
3Q2565,32.78,,,30.08,,1.59,1.61,,,91.76,0.01,,7.60,"1,377.67",,0.74,10.65,7.64,,GAHREIT,SET,PROPCON,PF&REIT
