,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,76.92,100.00,900.00,13.70,0.02,1.20,1.32,77.39,16.51,17.81,0.10,"2,987.84",0.65,585.00,28.48,0.57,1.14,1.54,9.36,GENCO,SET,SERVICE,PROF
2Q2555,75.59,,,2.61,0.00,0.23,0.25,78.47,18.44,3.45,0.09,"2,781.95",0.75,675.00,20.61,0.65,1.16,1.33,9.49,GENCO,SET,SERVICE,PROF
3Q2555,69.01,,,1.46,-0.00,0.13,0.14,77.17,20.02,2.12,0.10,"2,638.53",0.81,729.00,21.28,0.71,1.15,1.23,11.29,GENCO,SET,SERVICE,PROF
4Q2555,85.70,,7.00,9.57,0.01,0.84,0.92,72.32,19.80,11.16,0.08,"2,558.85",0.83,747.00,28.59,0.72,1.15,1.20,11.80,GENCO,SET,SERVICE,PROF
1Q2556,90.14,-2.80,-48.00,9.37,0.01,0.82,0.88,82.61,15.51,10.39,0.07,"2,412.10",1.15,"1,035.00",37.86,0.99,1.17,0.00,16.45,GENCO,SET,SERVICE,PROF
2Q2556,120.59,,,-2.35,-0.00,-0.21,-0.22,72.50,26.31,-1.95,0.07,"1,759.14",0.80,720.00,31.30,0.67,1.19,0.00,12.40,GENCO,SET,SERVICE,PROF
3Q2556,117.13,,,14.93,0.02,1.30,1.40,86.26,12.10,12.74,0.07,"1,628.30",0.80,720.00,39.89,0.68,1.18,0.00,8.99,GENCO,SET,SERVICE,PROF
4Q2556,108.03,,,-10.78,-0.01,-0.93,-1.00,76.13,22.19,-9.98,0.07,"1,374.44",0.79,711.00,22.56,0.66,1.20,0.00,13.23,GENCO,SET,SERVICE,PROF
1Q2557,101.54,-38.40,,-14.92,-0.02,-1.27,-1.36,73.86,24.28,-14.70,0.07,"1,113.40",0.99,891.00,79.78,0.82,1.21,0.00,36.96,GENCO,SET,SERVICE,PROF
2Q2557,113.53,,,4.74,0.01,0.40,0.43,74.20,23.36,4.18,0.08,"1,285.51",1.06,954.00,N/A,0.86,1.23,0.00,34.66,GENCO,SET,SERVICE,PROF
3Q2557,108.52,42.13,-54.85,6.75,0.01,0.51,0.61,78.59,19.81,6.22,0.29,"1,431.99",1.17,"1,053.00",N/A,0.95,1.23,0.00,57.39,GENCO,SET,SERVICE,PROF
4Q2557,107.46,-47.66,,3.53,0.00,0.24,0.31,87.69,10.47,3.28,0.29,"1,931.55",3.00,"2,700.00",N/A,2.42,1.24,0.00,72.02,GENCO,SET,SERVICE,PROF
1Q2558,84.73,,61.04,-5.92,-0.01,-0.41,-0.50,61.65,35.38,-6.99,0.17,"2,051.03",3.76,"3,423.78","37,348.98",3.02,1.25,0.00,68.50,GENCO,SET,SERVICE,PROF
2Q2558,69.73,-7.12,,-6.90,-0.01,-0.48,-0.56,63.59,36.17,-9.90,0.18,"2,150.74",3.20,"3,192.94",351.16,2.63,1.21,0.00,74.62,GENCO,SET,SERVICE,PROF
3Q2558,89.87,,-81.58,0.95,0.00,0.07,0.08,61.65,37.38,1.06,0.14,"1,875.95",1.67,"1,738.10",N/A,1.40,1.20,0.00,53.87,GENCO,SET,SERVICE,PROF
4Q2558,121.33,818.12,223.21,12.55,0.01,0.83,0.99,80.23,17.83,10.34,0.25,"1,920.17",1.34,"1,395.03",N/A,1.10,1.21,0.00,38.01,GENCO,SET,SERVICE,PROF
