,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"3,506.58",,,-10.31,-0.01,-0.10,-0.17,91.40,6.22,-0.29,0.69,942.43,10.30,"12,914.36",10.73,2.18,4.72,3.20,10.35,GFPT,SET,AGRO,AGRI
2Q2555,"3,847.67",0.00,,-14.67,-0.01,-0.14,-0.25,92.35,6.74,-0.38,0.83,870.46,9.50,"11,911.30",12.70,2.02,4.71,3.47,13.48,GFPT,SET,AGRO,AGRI
3Q2555,"3,942.07",-100.00,,-22.57,-0.02,-0.22,-0.41,91.16,7.11,-0.57,0.93,823.94,7.30,"9,152.89",16.36,1.67,4.37,4.52,17.96,GFPT,SET,AGRO,AGRI
4Q2555,"4,354.63",,-58.82,96.71,0.07,0.82,1.74,92.14,5.69,2.22,1.29,886.97,8.05,"10,093.26",61.33,1.85,4.35,4.10,24.53,GFPT,SET,AGRO,AGRI
1Q2556,"3,938.76",42.86,,130.48,0.10,1.01,2.24,91.00,6.39,3.31,1.13,911.19,8.50,"10,657.48",261.02,1.92,4.42,0.00,19.70,GFPT,SET,AGRO,AGRI
2Q2556,"4,174.56",144.44,,304.93,0.24,2.42,4.92,91.56,6.25,7.30,0.95,914.34,8.15,"10,218.64",55.46,1.71,4.76,0.00,11.62,GFPT,SET,AGRO,AGRI
3Q2556,"4,423.26",98.90,,615.76,0.49,4.88,9.25,92.97,5.97,13.92,0.85,923.84,9.00,"11,284.39",22.44,1.80,5.00,0.00,7.94,GFPT,SET,AGRO,AGRI
4Q2556,"4,474.11",-24.02,427.69,466.63,0.37,3.60,6.47,91.26,7.17,10.43,0.76,790.85,12.80,"16,048.91",14.12,2.33,5.48,0.00,9.54,GFPT,SET,AGRO,AGRI
1Q2557,"4,069.84",-7.95,240.00,427.03,0.34,3.20,5.60,92.21,6.48,10.49,0.75,776.20,14.50,"18,180.40",12.09,2.47,5.88,2.41,9.48,GFPT,SET,AGRO,AGRI
2Q2557,"4,554.35",12.40,56.34,485.84,0.38,3.55,6.21,92.62,6.18,10.67,0.75,782.43,12.80,"16,048.91",8.92,2.08,6.15,2.73,7.97,GFPT,SET,AGRO,AGRI
3Q2557,"4,886.02",6.73,-16.11,510.72,0.41,3.74,6.30,92.73,5.84,10.45,0.62,746.24,20.20,"25,327.18",12.81,3.26,6.19,1.73,13.10,GFPT,SET,AGRO,AGRI
4Q2557,"4,565.26",-28.90,-21.49,374.58,0.29,2.74,4.38,91.16,7.33,8.20,0.57,742.89,17.80,"22,318.01",11.91,2.70,6.59,1.97,10.97,GFPT,SET,AGRO,AGRI
1Q2558,"3,910.59",-41.38,-50.00,222.32,0.17,1.58,2.51,91.35,7.25,5.69,0.60,726.17,11.40,"14,293.56",8.03,1.66,6.89,3.51,8.51,GFPT,SET,AGRO,AGRI
2Q2558,"4,105.59",-5.88,-58.13,204.07,0.16,1.42,2.32,91.41,6.82,4.97,0.66,741.36,12.00,"15,045.85",9.56,1.70,7.06,3.33,11.34,GFPT,SET,AGRO,AGRI
3Q2558,"4,299.23",62.50,-36.25,330.26,0.26,2.28,3.74,91.88,6.69,7.68,0.62,789.23,9.65,"12,099.37",9.36,1.41,6.82,4.15,9.52,GFPT,SET,AGRO,AGRI
4Q2558,"4,386.26",38.46,24.14,456.48,0.36,3.09,4.95,91.67,7.28,10.41,0.59,798.81,9.90,"12,412.83",11.15,1.40,7.08,4.04,9.11,GFPT,SET,AGRO,AGRI
1Q2559,"3,964.45",-38.89,29.41,278.00,0.22,1.86,2.90,90.97,7.42,7.01,0.54,773.60,12.10,"15,171.23",12.70,1.63,7.44,2.07,10.02,GFPT,SET,AGRO,AGRI
2Q2559,"3,994.20",36.36,87.50,382.75,0.30,2.54,3.93,90.15,7.54,9.58,0.55,765.56,10.90,"13,666.65",10.92,1.42,7.66,2.29,8.51,GFPT,SET,AGRO,AGRI
3Q2559,"4,494.77",33.33,53.85,500.74,0.40,3.27,4.99,91.27,6.85,11.14,0.50,719.13,14.70,"18,431.17",12.87,1.91,7.71,1.70,9.52,GFPT,SET,AGRO,AGRI
4Q2559,"4,569.50",-2.50,8.33,494.97,0.39,3.13,4.70,90.61,7.42,10.83,0.50,737.13,14.70,"18,431.17",11.51,1.81,8.11,1.70,9.19,GFPT,SET,AGRO,AGRI
1Q2560,"4,208.38",-12.82,54.55,425.27,0.34,2.60,3.87,89.89,7.99,10.11,0.48,752.12,18.40,"23,070.31",14.04,2.16,8.50,1.63,10.40,GFPT,SET,AGRO,AGRI
2Q2560,"4,252.82",14.71,30.00,495.96,0.39,2.96,4.40,90.42,7.51,11.66,0.49,733.06,19.40,"24,324.13",13.57,2.19,8.84,1.55,10.33,GFPT,SET,AGRO,AGRI
3Q2560,"4,465.69",5.13,2.50,508.51,0.41,3.02,4.39,91.06,7.46,11.39,0.42,723.96,19.90,"24,951.04",13.09,2.23,8.93,1.51,10.29,GFPT,SET,AGRO,AGRI
4Q2560,"4,319.82",-39.02,-35.90,328.19,0.25,1.92,2.74,90.68,7.57,7.60,0.43,725.22,14.10,"17,678.88",9.23,1.51,9.34,2.13,8.18,GFPT,SET,AGRO,AGRI
1Q2561,"4,038.63",-52.00,-64.71,148.64,0.12,0.85,1.22,89.56,8.45,3.68,0.42,698.15,13.10,"16,425.06",9.39,1.37,9.59,2.29,8.44,GFPT,SET,AGRO,AGRI
2Q2561,"4,053.45",41.67,-56.41,214.71,0.17,1.23,1.77,90.22,8.02,5.30,0.45,677.54,12.00,"15,045.85",10.23,1.24,9.64,2.50,8.52,GFPT,SET,AGRO,AGRI
3Q2561,"4,580.07",100.00,-17.07,439.93,0.34,2.49,3.58,91.57,7.05,9.61,0.43,677.26,14.80,"18,556.55",15.62,1.56,9.51,2.03,10.23,GFPT,SET,AGRO,AGRI
4Q2561,"4,271.71",-41.18,-20.00,245.16,0.20,1.36,1.94,89.12,8.95,5.74,0.42,630.86,12.00,"15,045.85",13.44,1.22,9.86,2.50,9.13,GFPT,SET,AGRO,AGRI
1Q2562,"4,032.74",-10.00,50.00,229.26,0.18,1.25,1.79,90.06,8.28,5.69,0.43,634.84,14.00,"17,553.49",16.91,1.39,10.05,1.79,10.07,GFPT,SET,AGRO,AGRI
2Q2562,"4,437.94",50.00,58.82,343.75,0.27,1.87,2.65,90.48,7.47,7.75,0.42,624.31,16.90,"21,189.57",18.92,1.65,10.23,1.48,10.82,GFPT,SET,AGRO,AGRI
3Q2562,"4,587.64",11.11,-11.76,377.65,0.30,2.04,2.87,91.79,7.27,8.23,0.40,610.22,17.90,"22,443.40",17.96,1.75,10.26,1.40,11.53,GFPT,SET,AGRO,AGRI
