,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"3,174.82",13.86,-70.59,-347.41,-0.01,-1.49,-2.88,89.73,10.01,-10.94,0.95,"-1,092.67",0.16,"6,384.53",N/A,0.52,0.31,0.00,-434.29,GJS,SET,INDUS,STEEL
2Q2555,"3,068.69",-167.82,-237.68,-935.73,-0.02,-4.15,-8.19,89.18,10.75,-30.49,1.01,"-1,312.60",0.13,"5,187.43",N/A,0.44,0.30,0.00,-24.50,GJS,SET,INDUS,STEEL
3Q2555,"1,669.49",79.06,38.23,-188.41,-0.00,-0.88,-1.74,76.36,23.15,-11.29,0.95,"-1,524.47",0.14,"5,586.47",N/A,0.51,0.27,0.00,-31.21,GJS,SET,INDUS,STEEL
4Q2555,9.42,-195.49,-42.77,-565.20,-0.01,-2.71,-5.39,"-4,939.27","5,026.80","-5,997.67",1.03,"-1,187.60",0.08,"3,192.27",N/A,0.74,0.27,0.00,-25.13,GJS,SET,INDUS,STEEL
1Q2556,103.25,54.23,24.14,-483.72,-0.01,-2.24,-3.84,-529.92,592.17,-468.52,0.49,-827.87,0.13,"13,760.99",N/A,1.35,0.26,0.00,-25.96,GJS,SET,INDUS,STEEL
2Q2556,"2,466.32",-27.27,63.95,-881.19,-0.01,-3.98,-6.05,88.02,13.09,-35.73,0.55,-590.46,0.08,"8,468.30",N/A,0.56,0.14,0.00,-19.58,GJS,SET,INDUS,STEEL
3Q2556,"4,605.09",,,108.07,0.00,0.50,0.76,79.44,6.52,2.35,0.49,-480.38,0.07,"7,409.76",N/A,0.52,0.13,0.00,-25.44,GJS,SET,INDUS,STEEL
4Q2556,"3,481.07",,52.84,-342.10,-0.01,-1.64,-2.43,87.97,5.72,-9.83,0.49,-411.04,0.06,"6,351.23",N/A,0.45,0.13,0.00,-32.93,GJS,SET,INDUS,STEEL
1Q2557,"3,491.03",72.06,71.21,-197.76,-0.00,-0.97,-1.43,92.92,7.04,-5.66,0.48,-634.83,0.00,"6,351.23",N/A,0.45,0.13,0.00,-101.42,GJS,SET,INDUS,STEEL
2Q2557,"4,110.04",,98.81,-42.27,-0.00,-0.21,-0.31,95.90,3.94,-1.03,0.47,-937.25,0.00,"6,351.23",N/A,0.45,0.13,0.00,17.45,GJS,SET,INDUS,STEEL
