,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,173.48,,-42.55,55.80,0.81,2.47,4.12,,,32.17,0.60,,27.00,"1,856.66",8.63,1.38,21.65,7.98,,GL,SET,FINCIAL,FIN
2Q2555,200.63,59.26,4.88,88.70,1.29,3.81,6.30,,,44.21,0.71,,29.25,"2,017.45",10.54,1.48,19.80,7.34,,GL,SET,FINCIAL,FIN
3Q2555,220.11,19.38,48.08,105.98,1.54,3.91,7.28,,,48.15,1.01,,57.50,"3,965.93",18.89,2.73,21.07,3.73,,GL,SET,FINCIAL,FIN
4Q2555,243.01,0.65,,106.90,1.55,3.33,7.02,,,43.99,1.19,,73.50,"5,069.50",19.99,3.47,21.16,2.92,,GL,SET,FINCIAL,FIN
1Q2556,273.87,-92.90,-86.42,90.63,0.11,2.31,5.15,,,33.09,1.27,,85.50,"5,945.00",16.63,3.74,23.02,2.49,,GL,SET,FINCIAL,FIN
2Q2556,303.81,-12.73,-92.56,90.84,0.10,1.94,4.31,,,29.90,1.18,,8.05,"7,526.47",19.19,3.90,2.35,2.35,,GL,SET,FINCIAL,FIN
3Q2556,331.01,-59.38,-97.47,45.66,0.04,0.90,2.02,,,13.79,1.33,,7.10,"7,255.10",18.40,3.18,2.44,2.44,,GL,SET,FINCIAL,FIN
4Q2556,349.59,-82.03,-99.55,13.19,0.01,0.25,0.59,,,3.77,1.43,,5.25,"5,379.71",16.11,2.41,2.18,3.29,,GL,SET,FINCIAL,FIN
1Q2557,353.28,49.64,-90.46,10.76,0.01,0.19,0.47,,,3.04,1.48,,4.86,"4,981.71",20.73,2.20,2.21,3.55,,GL,SET,FINCIAL,FIN
2Q2557,363.64,-35.75,-92.98,6.94,0.01,0.12,0.30,,,1.91,1.45,,7.15,"7,342.62",45.77,3.23,2.22,2.29,,GL,SET,FINCIAL,FIN
3Q2557,474.60,-48.52,-91.10,3.85,0.00,0.06,0.16,,,0.81,2.02,,6.25,"6,689.34",87.39,2.85,2.29,2.51,,GL,SET,FINCIAL,FIN
4Q2557,475.22,"2,442.65","1,158.63",93.16,0.09,1.29,3.80,,,19.60,1.89,,5.75,"6,243.18",179.75,2.61,2.24,2.69,,GL,SET,FINCIAL,FIN
1Q2558,483.23,14.84,865.87,110.24,0.10,1.42,4.22,,,22.81,2.07,,10.80,"11,780.31",102.70,4.69,2.31,1.42,,GL,SET,FINCIAL,FIN
2Q2558,472.83,15.92,"1,642.58",129.47,0.12,1.56,4.49,,,27.38,1.73,,13.00,"14,406.31",67.26,5.32,2.48,0.48,,GL,SET,FINCIAL,FIN
3Q2558,478.85,6.54,"3,506.05",150.27,0.13,1.65,3.64,,,31.38,0.90,,14.70,"18,849.98",55.98,6.16,2.76,0.36,,GL,SET,FINCIAL,FIN
