,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,21.07,-733.33,50.00,-28.02,-0.01,-0.27,-0.45,-68.42,162.27,-132.98,0.72,"15,389.08",0.00,"10,452.71",N/A,1.84,1.31,1.42,306.97,GLAND,SET,PROPCON,PROP
2Q2555,18.31,-80.00,,-57.44,-0.01,-0.53,-0.94,-138.26,233.60,-313.70,0.85,"14,633.04",2.48,"12,227.71",N/A,2.17,1.14,1.21,"1,088.62",GLAND,SET,PROPCON,PROP
3Q2555,263.22,,-52.94,22.90,0.00,0.19,0.36,77.72,22.11,8.70,0.98,"10,768.97",4.48,"23,132.61",N/A,4.25,1.11,0.64,"-29,184.52",GLAND,SET,PROPCON,PROP
4Q2555,795.77,442.50,,122.96,0.02,0.90,1.82,89.85,9.69,15.45,1.08,"8,493.22",3.46,"17,867.03",N/A,2.92,1.19,0.83,140.45,GLAND,SET,PROPCON,PROP
1Q2556,810.08,-12.44,,121.64,0.02,0.85,1.75,89.35,10.46,15.02,1.04,"6,504.83",3.44,"17,763.76",301.48,2.85,1.21,0.00,64.40,GLAND,SET,PROPCON,PROP
2Q2556,739.27,-10.53,,108.50,0.02,0.74,1.52,87.89,11.87,14.68,1.05,"5,365.78",3.62,"19,246.47",106.11,2.98,1.25,0.00,44.44,GLAND,SET,PROPCON,PROP
3Q2556,746.51,44.12,512.50,172.39,0.02,1.10,2.37,88.24,11.47,23.09,1.25,"4,878.53",2.40,"12,761.82",40.55,1.95,1.23,0.00,26.40,GLAND,SET,PROPCON,PROP
4Q2556,"1,098.14",12.24,26.73,184.01,0.03,1.09,2.47,86.19,13.50,16.76,1.28,"3,867.43",2.74,"14,570.28",34.09,2.18,1.26,0.00,25.16,GLAND,SET,PROPCON,PROP
1Q2557,728.55,-57.45,-38.42,88.17,0.01,0.51,1.16,82.24,17.33,12.10,1.28,"3,514.48",3.34,"17,763.57",38.24,2.60,1.29,1.20,27.80,GLAND,SET,PROPCON,PROP
2Q2557,"1,082.13",184.62,95.88,231.16,0.03,1.31,2.98,84.02,12.09,21.36,1.26,"3,006.91",3.34,"17,797.40",41.51,2.58,1.30,1.20,22.25,GLAND,SET,PROPCON,PROP
3Q2557,"1,345.84",44.14,95.92,327.80,0.05,1.82,4.08,89.14,10.38,24.36,1.21,"2,152.32",3.54,"19,573.42",37.72,2.77,1.33,1.09,19.44,GLAND,SET,PROPCON,PROP
4Q2557,"1,577.48",33.33,132.73,440.42,0.06,2.45,5.25,,9.35,27.92,1.07,"1,875.53",3.12,"17,251.15",26.65,2.35,1.33,1.23,13.94,GLAND,SET,PROPCON,PROP
1Q2558,"1,101.13",-21.88,327.35,333.13,0.05,1.80,3.48,,8.58,30.25,0.82,"1,682.33",3.16,"17,472.32",20.58,2.27,1.39,2.22,12.05,GLAND,SET,PROPCON,PROP
2Q2558,715.19,-62.00,-42.94,135.62,0.02,0.70,1.28,239.49,11.27,18.96,0.86,"1,567.15",3.24,"17,914.66",16.87,1.87,1.74,2.16,13.22,GLAND,SET,PROPCON,PROP
3Q2558,"1,059.41",121.05,-12.50,296.26,0.04,1.52,2.79,88.81,10.42,27.96,0.83,"1,673.83",2.92,"17,153.60",17.29,1.78,1.75,2.26,13.48,GLAND,SET,PROPCON,PROP
4Q2558,"1,144.64",359.52,201.56,"1,151.43",0.19,5.26,10.43,83.13,13.63,100.59,1.13,"1,333.52",2.96,"17,388.58",17.86,1.81,1.63,2.23,10.53,GLAND,SET,PROPCON,PROP
1Q2559,973.91,-79.79,-22.00,281.07,0.04,1.15,2.42,85.67,7.89,28.86,1.09,"1,038.51",2.88,"16,918.61",9.77,1.58,1.82,8.68,10.44,GLAND,SET,PROPCON,PROP
2Q2559,776.74,-51.28,0.00,144.72,0.02,0.59,1.29,81.07,10.89,18.63,1.31,687.38,2.66,"15,626.22",9.27,1.43,1.86,9.40,10.19,GLAND,SET,PROPCON,PROP
3Q2559,585.53,221.05,45.24,403.10,0.06,1.60,3.72,76.86,12.76,68.84,1.35,494.85,2.58,"15,245.04",9.04,1.54,1.69,9.63,9.64,GLAND,SET,PROPCON,PROP
4Q2559,566.82,14.75,-63.73,404.23,0.07,1.55,3.64,62.91,26.00,71.32,1.33,277.68,2.50,"14,772.32",8.19,1.44,1.74,9.94,13.95,GLAND,SET,PROPCON,PROP
1Q2560,456.87,-84.29,-71.79,73.47,0.01,0.28,0.65,71.43,14.35,16.08,1.34,121.35,2.56,"15,126.86",13.60,1.42,1.81,3.91,15.86,GLAND,SET,PROPCON,PROP
2Q2560,457.01,363.64,168.42,316.57,0.05,1.15,2.81,68.51,15.73,69.27,1.52,2.46,2.28,"13,472.36",14.21,1.25,1.82,4.39,14.04,GLAND,SET,PROPCON,PROP
3Q2560,410.65,-79.41,-82.79,71.39,0.01,0.25,0.64,67.99,16.29,17.38,1.51,-103.33,2.16,"12,855.13",11.25,1.22,1.78,4.60,17.54,GLAND,SET,PROPCON,PROP
4Q2560,416.15,923.81,53.57,663.32,0.11,2.32,5.73,57.30,29.31,159.40,1.44,-132.24,1.87,"11,129.21",13.19,1.05,1.77,5.31,14.50,GLAND,SET,PROPCON,PROP
1Q2561,452.93,-88.84,9.09,89.08,0.01,0.31,0.75,69.48,12.55,19.67,1.44,-173.68,2.76,"16,426.00",15.35,1.47,1.88,3.62,17.57,GLAND,SET,PROPCON,PROP
2Q2561,435.10,-66.67,-92.16,36.65,0.00,0.12,0.31,68.75,14.78,8.42,1.48,-242.61,2.48,"14,759.59",13.68,1.31,1.89,4.03,21.38,GLAND,SET,PROPCON,PROP
3Q2561,435.58,425.00,100.00,150.08,0.02,0.51,1.25,70.75,13.53,34.45,1.41,-283.32,3.06,"19,889.48",24.99,1.77,1.89,2.99,23.08,GLAND,SET,PROPCON,PROP
4Q2561,458.74,52.38,-70.23,231.53,0.03,0.79,1.89,61.10,24.08,50.47,1.37,-322.71,3.12,"20,279.47",23.38,1.78,1.75,2.93,33.04,GLAND,SET,PROPCON,PROP
1Q2562,493.56,-18.75,116.67,187.97,0.03,0.64,1.51,67.49,10.90,38.09,1.34,-330.62,2.68,"17,419.54",40.27,1.50,1.78,0.00,27.59,GLAND,SET,PROPCON,PROP
2Q2562,485.65,-13.73,460.75,163.39,0.02,0.56,1.29,57.87,21.40,33.64,1.31,-267.47,2.86,"18,589.51",35.31,1.58,1.81,0.00,25.71,GLAND,SET,PROPCON,PROP
3Q2562,324.88,-64.29,-61.86,57.22,0.01,0.20,0.45,70.24,28.74,17.61,1.30,-219.55,2.54,"16,509.57",25.30,1.39,1.83,0.00,27.21,GLAND,SET,PROPCON,PROP
4Q2562,620.06,"1,603.62",326.44,945.55,0.14,3.20,7.14,70.35,9.81,152.49,1.17,-102.64,2.48,"16,119.58",28.16,1.35,1.84,0.00,15.70,GLAND,SET,PROPCON,PROP
1Q2563,478.91,-68.68,64.38,296.87,0.04,1.01,2.14,79.94,14.44,61.99,1.06,54.41,2.24,"14,559.62",,,,0.00,13.78,GLAND,SET,PROPCON,PROP
2Q2563,385.52,-26.86,39.37,219.00,0.03,0.76,1.55,79.18,13.23,56.81,1.04,242.95,2.22,"14,429.62",10.57,1.10,2.02,0.00,13.37,GLAND,SET,PROPCON,PROP
3Q2563,325.98,-13.63,237.08,184.55,0.03,0.63,1.27,73.64,17.25,56.61,0.99,469.28,2.08,"13,519.65",9.52,1.01,2.05,0.00,12.10,GLAND,SET,PROPCON,PROP
4Q2563,398.42,-66.67,-93.40,39.27,0.01,0.13,0.27,73.87,17.49,9.86,0.97,532.29,2.18,"14,169.63",9.17,1.02,2.13,0.00,24.66,GLAND,SET,PROPCON,PROP
1Q2564,349.13,177.78,-41.51,175.49,0.03,0.60,1.18,75.55,17.07,50.26,0.95,661.10,2.46,"15,989.58",22.33,1.15,2.14,0.00,30.07,GLAND,SET,PROPCON,PROP
2Q2564,368.40,-9.60,-27.70,157.59,0.02,0.54,1.04,73.89,19.47,42.78,0.94,700.76,2.30,"14,949.61",24.77,1.06,2.17,0.00,32.43,GLAND,SET,PROPCON,PROP
3Q2564,361.03,-1.28,-17.37,160.90,0.02,0.55,1.05,74.67,19.06,44.57,0.92,803.44,2.22,"14,429.62",26.49,1.01,2.19,0.00,33.68,GLAND,SET,PROPCON,PROP
4Q2564,574.40,-17.66,104.11,132.73,0.02,0.45,0.86,77.01,18.67,23.11,0.89,754.29,2.16,"14,039.63",27.45,0.98,2.21,0.00,28.82,GLAND,SET,PROPCON,PROP
1Q2565,371.77,-23.79,-44.00,99.25,0.01,0.34,0.64,74.38,19.67,26.70,0.88,755.77,2.08,"13,519.65",,,,0.00,31.43,GLAND,SET,PROPCON,PROP
2Q2565,426.64,128.57,41.59,219.32,0.03,0.75,1.40,74.84,16.44,51.41,0.86,783.38,2.06,"13,649.64",27.42,0.93,2.25,0.00,28.95,GLAND,SET,PROPCON,PROP
3Q2565,341.39,-40.63,-14.84,130.20,0.02,0.44,0.82,73.51,20.82,38.14,0.85,776.60,2.08,"13,519.65",24.04,0.91,2.28,0.00,30.00,GLAND,SET,PROPCON,PROP
