,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"2,543.89",-5.82,-14.82,138.28,0.10,1.58,3.08,93.54,4.97,5.44,1.01,"1,448.00",11.80,"17,109.14",41.85,4.64,2.54,0.16,19.90,GLOBAL,SET,SERVICE,COMM
2Q2555,"2,681.18",-30.19,48.33,144.28,0.07,1.50,3.08,90.88,6.28,5.38,1.09,"1,396.90",10.80,"19,000.55",36.44,4.17,3.15,0.17,21.09,GLOBAL,SET,SERVICE,COMM
3Q2555,"2,835.28",32.88,7.66,155.62,0.09,1.51,3.19,91.25,5.67,5.49,1.15,"1,388.00",16.50,"29,028.62",53.05,6.06,2.72,0.11,28.30,GLOBAL,SET,SERVICE,COMM
4Q2555,"3,038.47",-2.37,-14.71,170.82,0.09,1.51,2.41,91.06,6.15,5.62,0.30,"1,397.97",17.80,"38,299.76",65.53,7.74,2.81,0.08,32.57,GLOBAL,SET,SERVICE,COMM
1Q2556,"3,721.92",58.68,43.71,295.08,0.14,2.36,3.16,91.92,5.40,7.93,0.38,"1,400.25",20.90,"44,969.94",86.15,5.67,3.69,0.08,33.84,GLOBAL,SET,SERVICE,COMM
2Q2556,"3,750.86",-49.38,4.20,228.54,0.07,1.66,2.36,90.87,6.72,6.09,0.46,"1,426.64",23.30,"60,887.96",79.51,6.46,4.38,0.07,42.91,GLOBAL,SET,SERVICE,COMM
3Q2556,"3,649.36",7.64,-15.59,196.76,0.07,1.33,1.96,90.49,7.09,5.39,0.48,"1,486.58",17.80,"46,515.27",54.72,4.68,3.80,0.09,32.91,GLOBAL,SET,SERVICE,COMM
4Q2556,"3,614.55",-16.33,-27.66,164.64,0.06,1.06,1.61,88.10,8.90,4.55,0.56,"1,490.31",15.80,"41,288.83",46.33,4.07,3.88,0.10,30.00,GLOBAL,SET,SERVICE,COMM
1Q2557,"4,256.96",40.32,-36.03,229.23,0.09,1.26,1.91,91.28,6.12,5.38,0.49,"1,564.46",14.40,"37,630.33",49.61,4.26,3.38,0.11,27.85,GLOBAL,SET,SERVICE,COMM
2Q2557,"4,011.77",-50.86,-37.90,169.65,0.04,0.83,1.24,90.37,7.04,4.23,0.49,"1,613.56",13.20,"40,243.50",49.13,2.95,5.23,0.12,29.20,GLOBAL,SET,SERVICE,COMM
