,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,254.83,"1,356.06","3,929.74",191.74,15.72,46.54,56.90,20.81,3.42,75.24,0.18,-225.03,0.00,295.24,14.89,1.22,19.76,0.00,1.44,GLOCON,SET,AGRO,FOOD
2Q2555,81.80,,,-1.67,-0.14,-0.33,-0.39,33.45,40.42,-2.04,0.19,-63.84,52.25,637.45,3.08,1.47,35.48,0.00,2.46,GLOCON,SET,AGRO,FOOD
3Q2555,108.93,"-10,303.39","-80,210.89",20.18,-14.24,3.55,4.37,67.40,10.60,18.53,0.27,-125.18,3.52,644.16,3.17,1.49,2.36,0.00,2.99,GLOCON,SET,AGRO,FOOD
4Q2555,82.65,99.37,,-18.97,-0.09,-3.21,-3.92,83.65,21.10,-22.95,0.18,-88.06,3.50,640.50,2.86,1.44,2.43,0.00,3.22,GLOCON,SET,AGRO,FOOD
1Q2556,100.69,,-99.83,5.11,0.03,0.91,1.08,67.20,20.52,5.07,0.21,-77.40,7.50,"1,372.50",7.14,3.22,2.33,2.40,53.05,GLOCON,SET,AGRO,FOOD
2Q2556,83.30,,76.40,-5.83,-0.03,-0.91,-1.07,78.73,23.57,-7.00,0.14,-84.82,2.36,863.76,164.25,2.05,2.30,3.81,44.93,GLOCON,SET,AGRO,FOOD
3Q2556,79.13,-36.78,99.69,-12.11,-0.04,-1.75,-1.97,79.56,21.80,-15.30,0.11,-21.80,1.68,614.90,735.97,1.07,1.56,5.36,-54.30,GLOCON,SET,AGRO,FOOD
4Q2556,40.46,-56.93,22.97,-23.17,-0.07,-3.49,-3.89,59.27,38.67,-57.26,0.12,-4.61,1.35,494.11,N/A,0.88,1.53,6.67,-20.41,GLOCON,SET,AGRO,FOOD
1Q2557,41.62,12.32,,-25.12,-0.06,-3.76,-4.40,35.57,58.50,-60.35,0.22,11.81,1.60,585.63,N/A,1.09,1.47,0.00,-12.87,GLOCON,SET,AGRO,FOOD
2Q2557,47.64,28.57,-34.43,-17.39,-0.04,-2.52,-3.16,44.39,47.08,-36.49,0.29,23.32,1.58,578.31,N/A,1.12,1.40,0.00,-12.70,GLOCON,SET,AGRO,FOOD
3Q2557,64.90,63.98,64.60,-5.95,-0.02,-0.85,-1.11,40.40,26.78,-9.16,0.31,75.18,2.10,769.02,N/A,1.54,1.36,0.00,-23.28,GLOCON,SET,AGRO,FOOD
4Q2557,63.64,-425.90,-18.64,-32.34,-0.08,-4.58,-5.87,43.39,38.19,-50.82,0.26,77.37,4.38,"1,968.98",N/A,5.33,1.35,0.00,-47.25,GLOCON,SET,AGRO,FOOD
1Q2558,58.92,-2.54,-38.74,-67.27,-0.08,-6.77,-8.00,56.96,37.57,-114.17,0.14,65.80,2.00,"1,729.82",N/A,3.31,1.16,0.00,-18.45,GLOCON,SET,AGRO,FOOD
2Q2558,70.57,87.67,76.05,-18.95,-0.01,-1.50,-1.71,52.70,37.87,-26.85,0.14,45.70,2.18,"1,892.95",N/A,1.76,1.24,0.00,-22.25,GLOCON,SET,AGRO,FOOD
3Q2558,71.06,,,-2.84,0.00,-0.23,-0.26,48.07,43.27,-3.99,0.14,14.87,2.12,"1,840.85",N/A,1.73,1.23,0.00,-20.63,GLOCON,SET,AGRO,FOOD
4Q2558,98.64,,14.14,-68.15,-0.07,-5.38,-6.23,57.98,38.57,-69.09,0.18,26.51,1.60,"1,395.96",N/A,1.31,1.23,0.00,-12.79,GLOCON,SET,AGRO,FOOD
1Q2559,152.10,49.02,57.32,-36.84,-0.04,-2.86,-3.47,67.39,27.86,-24.22,0.25,-3.30,1.52,"1,326.96",N/A,1.32,1.15,0.00,-19.90,GLOCON,SET,AGRO,FOOD
2Q2559,192.89,-56.11,-440.38,-64.27,-0.06,-4.80,-6.00,41.45,54.04,-33.32,0.25,20.99,1.32,"1,310.35",N/A,1.34,1.12,0.00,-14.73,GLOCON,SET,AGRO,FOOD
3Q2559,317.93,,-53.39,-2.54,0.00,-0.17,-0.24,64.88,31.20,-0.80,0.53,14.19,1.26,"1,250.79",N/A,1.20,1.05,0.00,-20.71,GLOCON,SET,AGRO,FOOD
4Q2559,308.44,,19.39,-65.59,-0.06,-4.13,-6.43,54.35,45.09,-21.27,0.59,14.34,1.24,"1,230.94",N/A,1.20,1.03,0.00,-29.92,GLOCON,SET,AGRO,FOOD
1Q2560,291.09,-28.93,-103.89,-88.80,-0.07,-5.48,-8.28,58.75,38.62,-30.50,0.44,32.10,0.86,"1,067.14",N/A,1.10,0.98,0.00,-14.23,GLOCON,SET,AGRO,FOOD
2Q2560,299.15,,,-8.20,0.00,-0.49,-0.70,60.39,37.57,-2.74,0.40,30.78,0.70,868.60,N/A,0.76,0.92,0.00,-25.02,GLOCON,SET,AGRO,FOOD
3Q2560,307.45,,,-56.26,-0.04,-3.44,-4.84,63.37,34.46,-18.30,0.41,39.47,0.95,"1,178.82",N/A,1.03,0.92,0.00,-15.06,GLOCON,SET,AGRO,FOOD
4Q2560,301.37,-339.05,-231.62,-312.25,-0.19,-21.53,-31.89,-4.78,104.64,-103.61,0.58,42.52,0.73,905.83,N/A,0.83,0.88,0.00,-4.27,GLOCON,SET,AGRO,FOOD
1Q2561,291.28,80.40,49.59,-47.75,-0.04,-3.74,-5.98,68.94,29.07,-16.39,0.62,39.04,1.23,"1,526.26",N/A,1.77,0.69,0.00,-7.25,GLOCON,SET,AGRO,FOOD
2Q2561,290.18,24.32,,-47.67,-0.03,-3.48,-5.38,68.61,28.98,-16.43,0.49,40.71,1.28,"1,588.34",N/A,1.95,0.66,0.00,-5.85,GLOCON,SET,AGRO,FOOD
3Q2561,292.83,25.00,51.16,-51.23,-0.02,-3.25,-4.65,62.84,35.35,-17.49,0.38,44.90,0.97,"1,842.06",N/A,1.75,0.64,0.00,-5.97,GLOCON,SET,AGRO,FOOD
4Q2561,311.74,-360.05,48.83,-132.29,-0.10,-8.27,-11.60,50.84,47.45,-42.44,0.43,51.36,1.15,"2,183.89",N/A,1.72,0.67,0.00,-15.57,GLOCON,SET,AGRO,FOOD
1Q2562,286.28,86.49,64.73,-24.88,-0.01,-1.64,-2.34,66.20,31.40,-8.69,0.42,62.58,1.14,"2,164.90",N/A,1.95,0.59,0.00,-18.58,GLOCON,SET,AGRO,FOOD
2Q2562,308.24,85.36,93.18,-3.05,-0.00,-0.21,-0.29,69.73,27.44,-0.99,0.40,72.69,1.05,"1,994.00",N/A,1.83,0.57,0.00,-22.51,GLOCON,SET,AGRO,FOOD
3Q2562,294.98,-166.49,75.76,1.47,-0.01,0.10,0.14,68.38,29.44,0.50,0.38,81.76,1.00,"1,899.05",N/A,1.75,0.57,0.00,-31.73,GLOCON,SET,AGRO,FOOD
4Q2562,309.83,-123.97,88.20,-21.97,-0.01,-1.54,-2.11,69.74,28.47,-7.09,0.37,98.72,0.72,"1,367.32",N/A,1.27,0.57,0.00,84.71,GLOCON,SET,AGRO,FOOD
