,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2557,,,,,,,,,,,0.65,-678.30,,,,,,,,GPSC,SET,RESOURC,ENERG
1Q2558,"6,473.71",,,531.51,0.47,1.22,2.02,97.54,2.11,8.21,0.66,"-1,097.50",,,,,,,,GPSC,SET,RESOURC,ENERG
2Q2558,"6,645.19",-26.26,,449.36,0.35,0.91,1.43,95.83,2.90,6.76,0.50,"-1,201.95",26.00,"38,955.82",19.34,0.00,0.00,0.00,10.48,GPSC,SET,RESOURC,ENERG
3Q2558,"4,999.85",6.69,,554.74,0.37,1.03,1.52,89.53,3.06,11.10,0.46,"-1,204.45",22.10,"33,112.45",17.31,0.93,23.77,0.00,8.27,GPSC,SET,RESOURC,ENERG
4Q2558,"4,902.13",-44.72,,353.54,0.21,0.65,0.96,94.12,3.83,7.21,0.50,"-1,490.06",22.20,"33,262.28",16.88,0.93,23.82,0.00,14.22,GPSC,SET,RESOURC,ENERG
1Q2559,"5,742.28",182.45,22.84,913.58,0.58,1.63,2.43,92.52,2.98,15.91,0.48,"-1,233.05",26.25,"39,330.40",20.64,1.09,24.03,3.62,13.34,GPSC,SET,RESOURC,ENERG
2Q2559,"5,630.34",-21.13,31.38,735.16,0.46,1.29,1.92,95.00,3.63,13.06,0.50,"-1,080.75",33.50,"50,193.08",22.36,1.36,24.63,2.84,14.42,GPSC,SET,RESOURC,ENERG
3Q2559,"5,434.06",4.92,29.20,759.09,0.48,1.32,1.98,91.76,3.50,13.97,0.50,"-1,005.75",36.50,"54,687.98",22.25,1.49,24.52,2.60,14.85,GPSC,SET,RESOURC,ENERG
4Q2559,"4,628.35",-41.35,37.08,464.14,0.28,0.81,1.20,89.16,7.23,10.03,0.50,-767.69,37.25,"55,811.70",21.33,1.52,24.55,2.55,14.84,GPSC,SET,RESOURC,ENERG
1Q2560,"5,585.67",77.49,-13.86,764.38,0.50,1.30,1.95,92.63,3.44,13.68,0.50,-756.57,33.75,"50,567.65",18.73,1.36,24.79,3.41,14.13,GPSC,SET,RESOURC,ENERG
2Q2560,"5,620.57",8.65,18.67,858.56,0.54,1.46,2.18,94.21,2.90,15.28,0.48,-748.63,36.25,"54,313.40",21.06,1.43,25.29,3.17,14.72,GPSC,SET,RESOURC,ENERG
3Q2560,"4,622.55",9.04,23.33,930.22,0.59,1.59,2.36,85.76,6.03,20.12,0.47,-622.07,46.25,"69,296.41",25.59,1.84,25.12,2.49,17.22,GPSC,SET,RESOURC,ENERG
4Q2560,"4,944.04",-18.77,70.80,787.00,0.48,1.33,1.97,93.71,4.38,15.92,0.49,-773.80,72.00,"107,877.66",37.57,2.85,25.26,1.60,23.26,GPSC,SET,RESOURC,ENERG
