,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,4.34,14.29,0.00,-14.08,-0.06,-2.88,-2.95,-130.54,196.06,-324.48,0.03,676.42,0.66,165.00,N/A,0.34,1.94,0.00,-3.24,GREEN,SET,RESOURC,ENERG
2Q2555,28.95,66.67,50.00,-7.32,-0.02,-1.51,-1.57,50.43,44.65,-25.28,0.05,507.13,0.68,170.00,N/A,0.36,1.88,0.00,-4.23,GREEN,SET,RESOURC,ENERG
3Q2555,25.45,-150.00,28.57,-11.50,-0.05,-2.39,-2.52,43.27,53.16,-45.19,0.06,597.93,0.67,167.50,N/A,0.36,1.85,0.00,-4.96,GREEN,SET,RESOURC,ENERG
4Q2555,31.90,"-1,100.00",-757.14,-149.62,-0.60,-37.28,-39.71,56.92,38.94,-468.98,0.08,704.43,0.95,237.50,N/A,0.53,1.81,0.00,-1.25,GREEN,SET,RESOURC,ENERG
1Q2556,17.05,93.33,33.33,-9.40,-0.04,-2.92,-3.16,24.60,72.70,-55.15,0.09,686.87,3.48,870.00,N/A,2.88,1.21,0.00,-5.36,GREEN,SET,RESOURC,ENERG
2Q2556,22.78,-486.48,"-1,072.95",-59.25,-0.23,-17.67,-18.93,-97.12,188.45,-260.10,0.06,500.30,2.78,695.00,N/A,3.32,1.17,0.00,-2.79,GREEN,SET,RESOURC,ENERG
3Q2556,12.79,78.16,-2.46,-12.81,-0.05,-3.68,-3.92,-6.17,103.43,-100.13,0.07,535.41,1.92,672.00,N/A,2.01,0.96,0.00,-2.65,GREEN,SET,RESOURC,ENERG
4Q2556,36.98,,,-18.12,0.00,-4.89,-5.23,125.83,-29.06,-49.01,0.07,941.27,2.04,773.59,N/A,2.40,0.92,0.00,-8.46,GREEN,SET,RESOURC,ENERG
1Q2557,7.87,,-20.20,-19.11,-0.05,-5.00,-5.27,-64.98,163.18,-242.89,0.04,953.96,1.61,639.83,N/A,1.71,0.94,0.00,-5.05,GREEN,SET,RESOURC,ENERG
2Q2557,22.69,-36.94,71.93,-26.16,-0.07,-7.36,-7.70,31.01,67.04,-115.30,0.05,"1,869.70",1.29,512.66,N/A,1.45,0.89,0.00,-6.76,GREEN,SET,RESOURC,ENERG
3Q2557,6.20,5.50,-21.45,-24.73,-0.06,-7.53,-7.86,-62.87,160.64,-398.66,0.04,"2,251.43",1.71,679.57,N/A,2.07,0.83,0.00,-7.72,GREEN,SET,RESOURC,ENERG
4Q2557,14.67,49.94,,-12.38,-0.03,-4.01,-4.18,8.51,91.67,-84.40,0.04,"1,227.54",7.00,"2,789.22",N/A,9.18,0.76,0.00,-34.28,GREEN,SET,RESOURC,ENERG
1Q2558,0.52,-29.79,15.91,-16.11,-0.04,-5.49,-5.70,"-2,109.07","2,194.59","-3,110.23",0.03,"1,478.23",2.72,"1,083.81",N/A,3.71,0.73,0.00,-13.84,GREEN,SET,RESOURC,ENERG
2Q2558,0.15,-148.23,-52.43,-41.01,-0.10,-7.88,-8.02,"-12,624.52","12,624.52","-26,454.84",0.01,"1,830.38",2.42,"1,004.80",N/A,3.64,0.69,0.00,-5.46,GREEN,SET,RESOURC,ENERG
3Q2558,11.04,,,-6.43,0.00,-0.82,-0.86,,257.31,-58.24,0.09,"1,933.85",2.02,"1,174.08",N/A,1.57,1.29,0.00,-14.35,GREEN,SET,RESOURC,ENERG
4Q2558,12.61,,-356.37,-49.90,-0.14,-6.36,-6.94,-172.40,247.24,-395.62,0.10,"1,773.73",1.10,644.05,N/A,0.87,1.28,0.00,-4.91,GREEN,SET,RESOURC,ENERG
1Q2559,77.30,75.61,14.25,-20.30,-0.03,-2.20,-2.96,60.97,37.15,-26.26,0.61,"1,044.36",1.27,743.58,N/A,1.07,1.19,0.00,-9.34,GREEN,SET,RESOURC,ENERG
2Q2559,240.20,-127.26,21.49,-47.60,-0.08,-4.86,-6.64,87.70,11.64,-19.82,0.15,"1,099.13",1.24,886.63,N/A,1.31,1.16,0.00,-7.36,GREEN,SET,RESOURC,ENERG
3Q2559,68.92,,-85.91,-4.04,0.00,-0.49,-0.53,72.24,26.34,-5.86,0.05,"1,382.03",1.08,772.22,N/A,1.02,1.06,0.00,-5.59,GREEN,SET,RESOURC,ENERG
4Q2559,53.29,,51.35,-34.25,-0.07,-4.49,-4.70,53.82,30.85,-64.27,0.04,"1,752.84",1.05,750.77,N/A,0.99,1.06,0.00,-5.20,GREEN,SET,RESOURC,ENERG
1Q2560,16.56,73.73,47.59,-12.51,-0.02,-1.72,-1.79,,99.75,-75.58,0.04,"1,655.76",1.76,"1,258.44",N/A,1.78,0.99,0.00,-10.48,GREEN,SET,RESOURC,ENERG
2Q2560,17.87,53.05,89.17,-6.57,-0.01,-0.92,-0.95,97.52,74.54,-36.78,0.03,"1,773.76",1.59,"1,136.88",N/A,1.64,0.97,0.00,-14.51,GREEN,SET,RESOURC,ENERG
3Q2560,9.62,-32.00,,-8.06,-0.01,-1.14,-1.18,-40.07,125.06,-83.73,0.03,"1,688.03",1.43,"1,022.48",N/A,1.49,0.96,0.00,-11.78,GREEN,SET,RESOURC,ENERG
