,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2561,,,,,,,,,,,0.20,,,,,,,,,GSC,mai,SERVICE,-
1Q2562,39.03,,,3.89,0.02,2.24,2.44,73.60,24.93,9.96,0.05,,1.67,417.50,29.97,,0.00,0.00,13.29,GSC,mai,SERVICE,-
2Q2562,37.73,-10.79,,5.40,0.02,2.17,2.29,78.21,18.86,14.32,0.06,,1.14,285.00,19.52,1.22,0.93,0.00,8.58,GSC,mai,SERVICE,-
3Q2562,37.91,-46.98,,2.47,0.01,0.99,1.05,70.77,26.23,6.53,0.07,,0.84,210.00,11.33,0.88,0.95,0.00,5.81,GSC,mai,SERVICE,-
4Q2562,31.97,,,0.54,0.00,0.22,0.23,99.46,-1.73,1.67,0.07,,0.77,192.50,11.46,0.83,0.93,0.00,11.52,GSC,mai,SERVICE,-
1Q2563,32.11,,,0.49,,0.18,0.21,69.82,28.19,1.52,0.21,,0.41,102.50,8.33,0.44,0.93,8.78,9.35,GSC,mai,SERVICE,-
2Q2563,28.85,,-73.49,0.77,0.01,0.28,0.33,72.69,28.77,2.65,0.17,,0.78,195.00,21.91,0.84,0.93,4.62,21.81,GSC,mai,SERVICE,-
3Q2563,21.14,,,-4.63,-0.02,-1.73,-2.01,49.77,49.65,-21.90,0.16,,1.61,402.50,94.41,1.73,0.93,2.24,121.38,GSC,mai,SERVICE,-
4Q2563,20.76,-5.56,,-4.69,-0.02,-1.80,-2.08,42.26,57.22,-22.60,0.15,,1.15,287.50,N/A,1.26,0.91,3.13,-165.16,GSC,mai,SERVICE,-
1Q2564,21.83,-11.53,,-5.30,-0.02,-2.08,-2.40,45.66,53.30,-24.27,0.16,,1.57,392.50,N/A,1.76,0.89,0.00,-57.18,GSC,mai,SERVICE,-
2Q2564,20.23,-15.53,,-6.12,-0.02,-2.46,-2.85,38.34,60.08,-30.25,0.16,,1.63,407.50,N/A,1.87,0.87,0.00,-29.46,GSC,mai,SERVICE,-
3Q2564,30.08,,,0.99,0.00,0.40,0.46,60.97,36.52,3.27,0.16,,1.69,422.50,N/A,2.00,0.85,0.00,-54.60,GSC,mai,SERVICE,-
4Q2564,18.07,,-9.63,-5.21,-0.02,-2.15,-2.46,29.22,65.99,-28.81,0.14,,3.08,770.00,N/A,3.62,0.85,0.00,-107.86,GSC,mai,SERVICE,-
1Q2565,20.26,85.02,85.28,-0.78,-0.00,-0.33,-0.37,54.36,36.55,-3.85,0.14,,2.66,665.00,N/A,3.17,0.84,0.00,-246.61,GSC,mai,SERVICE,-
2Q2565,26.57,,,2.87,0.01,1.12,1.32,70.36,28.29,10.79,0.21,,2.88,725.00,N/A,3.46,0.84,0.00,134.55,GSC,mai,SERVICE,-
3Q2565,37.19,358.46,"1,257.97",14.03,0.05,5.01,5.97,62.61,32.37,37.74,0.17,,3.16,810.00,N/A,3.82,0.85,0.00,62.38,GSC,mai,SERVICE,-
