,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"6,274.59",32.00,-240.00,-778.57,-0.03,-1.80,-5.42,89.91,8.93,-12.41,2.04,"-1,582.40",0.46,"7,833.14",N/A,1.04,0.44,0.00,-56.78,GSTEEL,SET,INDUS,STEEL
2Q2555,"5,165.70",-182.35,-140.00,"-2,222.64",-0.10,-5.38,-17.21,85.50,13.15,-43.03,2.39,"-1,783.73",0.37,"6,300.57",N/A,0.91,0.41,0.00,-18.41,GSTEEL,SET,INDUS,STEEL
3Q2555,"1,879.72",,,142.77,0.02,0.36,1.06,44.45,51.05,7.60,1.55,"-1,586.84",0.34,"8,733.06",N/A,1.67,0.31,0.00,-53.64,GSTEEL,SET,INDUS,STEEL
4Q2555,28.25,,-135.40,"-3,001.35",-0.12,-7.81,-20.54,"-3,294.36","3,343.71","-10,624.69",1.71,"-1,215.57",0.34,"9,153.86",N/A,1.01,0.34,0.00,-13.80,GSTEEL,SET,INDUS,STEEL
1Q2556,433.46,,,282.28,0.02,0.72,1.69,,227.61,65.12,1.07,-965.99,0.38,"11,518.43",N/A,1.75,0.24,0.00,-20.51,GSTEEL,SET,INDUS,STEEL
2Q2556,"2,278.59",,50.00,"-2,018.86",-0.05,-5.10,-10.74,76.13,36.03,-88.60,1.15,-761.60,0.19,"6,301.12",N/A,0.67,0.31,0.00,-16.73,GSTEEL,SET,INDUS,STEEL
3Q2556,"5,326.61",,-79.10,80.41,0.00,0.21,0.44,59.55,14.28,1.51,1.06,-743.23,0.14,"4,795.13",N/A,0.52,0.28,0.00,-13.27,GSTEEL,SET,INDUS,STEEL
4Q2556,"3,990.55",,88.36,-675.34,-0.01,-1.79,-3.71,62.70,17.77,-16.92,1.09,-756.99,0.10,"3,425.09",N/A,0.37,0.27,0.00,62.19,GSTEEL,SET,INDUS,STEEL
1Q2557,"3,563.22",-16.79,,-637.56,-0.02,-1.72,-3.63,,19.40,-17.89,1.12,-863.13,0.00,"5,137.64",N/A,0.55,0.27,0.00,-36.46,GSTEEL,SET,INDUS,STEEL
2Q2557,"6,844.22",12.50,70.83,-447.82,-0.01,-1.22,-2.60,144.90,5.45,-6.54,1.14,"-1,133.35",0.00,"5,137.64",N/A,0.55,0.27,0.00,25.27,GSTEEL,SET,INDUS,STEEL
3Q2557,"7,227.91",47.86,,-203.99,-0.01,-0.55,-1.19,94.11,5.33,-2.82,1.19,"-1,412.77",0.18,"6,165.16",N/A,0.82,0.22,0.00,36.38,GSTEEL,SET,INDUS,STEEL
4Q2557,"6,499.15",-73.97,7.30,-876.40,-0.01,-2.34,-5.27,92.18,7.26,-13.48,1.31,"-1,490.81",0.14,"4,795.13",N/A,0.67,0.21,0.00,90.86,GSTEEL,SET,INDUS,STEEL
1Q2558,"6,685.73",-3.54,17.81,-721.48,-0.01,-1.96,-4.55,93.36,6.06,-10.79,1.33,"-1,734.75",0.11,"3,767.60",N/A,0.58,0.19,0.00,118.61,GSTEEL,SET,INDUS,STEEL
2Q2558,"7,231.89","-1,062.36",-991.79,-913.16,-0.15,-2.58,-6.07,91.19,7.78,-12.63,1.36,"-1,598.30",0.39,"2,671.57",N/A,0.44,0.88,0.00,-76.27,GSTEEL,SET,INDUS,STEEL
3Q2558,"4,308.71",-47.67,"-2,991.92","-1,939.95",-0.23,-5.62,-14.21,91.06,9.46,-45.02,1.72,"-1,610.02",0.32,"2,192.06",N/A,0.41,0.77,0.00,-11.60,GSTEEL,SET,INDUS,STEEL
4Q2558,"4,730.59",65.07,-520.79,-770.84,-0.08,-2.27,-6.27,91.39,7.77,-16.29,1.81,"-1,936.69",0.22,"1,507.04",N/A,0.40,0.54,0.00,-13.29,GSTEEL,SET,INDUS,STEEL
1Q2559,"5,635.04",93.62,61.75,58.35,-0.01,0.18,0.49,90.73,8.29,1.04,1.75,"-1,947.19",0.31,"2,123.56",N/A,0.67,0.47,0.00,-24.31,GSTEEL,SET,INDUS,STEEL
