,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2557,,,,,,,,,,,0.65,-44.25,,,,,,,,GTB,mai,INDUS,-
4Q2558,948.31,,,68.91,0.13,10.57,19.00,83.48,13.68,7.27,1.00,-54.31,,,,,,,,GTB,mai,INDUS,-
1Q2559,204.03,-98.41,,1.82,0.00,0.24,0.42,84.46,14.69,0.89,0.59,-72.96,1.69,"1,622.40",23.55,,0.00,0.00,8.32,GTB,mai,INDUS,-
2Q2559,197.78,,,-0.88,-0.00,-0.10,-0.16,83.31,16.38,-0.45,0.56,-69.10,1.35,"1,296.00",18.40,2.24,0.60,0.00,6.43,GTB,mai,INDUS,-
3Q2559,290.84,,,35.37,0.04,4.09,6.21,86.14,10.75,12.16,0.48,-94.85,1.19,"1,142.40",25.27,2.06,0.58,0.00,6.72,GTB,mai,INDUS,-
4Q2559,325.16,2.56,-68.21,36.58,0.04,4.05,6.05,83.08,12.58,11.25,0.51,-116.55,1.27,"1,219.20",22.92,2.08,0.61,0.00,11.06,GTB,mai,INDUS,-
1Q2560,326.97,-70.00,500.00,11.17,0.01,1.17,1.77,88.64,11.12,3.41,0.52,-96.20,1.26,"1,209.60",16.60,1.94,0.65,2.54,9.42,GTB,mai,INDUS,-
2Q2560,287.38,,,0.17,0.00,0.02,0.03,86.97,12.36,0.06,0.58,-141.27,1.16,"1,113.60",13.54,1.76,0.66,2.76,9.47,GTB,mai,INDUS,-
3Q2560,347.80,,-53.85,18.59,0.02,1.89,3.03,91.91,7.84,5.35,0.63,-189.53,1.18,"1,132.80",13.60,1.88,0.63,2.71,12.40,GTB,mai,INDUS,-
4Q2560,407.81,-44.44,-75.00,13.26,0.01,1.28,2.11,88.27,10.79,3.25,0.66,-236.60,1.02,979.20,14.72,1.57,0.65,3.14,14.81,GTB,mai,INDUS,-
1Q2561,295.59,,,-4.01,-0.00,-0.39,-0.63,89.40,9.70,-1.36,0.60,-271.81,0.94,902.40,20.89,1.42,0.66,3.51,17.00,GTB,mai,INDUS,-
2Q2561,234.13,-555.00,,-25.01,-0.03,-2.61,-4.15,86.64,11.37,-10.68,0.58,-284.50,0.73,700.80,25.02,1.11,0.66,4.52,22.33,GTB,mai,INDUS,-
