,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
2Q2559,,,,,,,,,,,0.34,,,,,,,,,GVREIT,SET,PROPCON,PF&REIT
3Q2559,264.95,,,164.19,,1.52,1.99,,,61.97,0.28,,14.40,"11,733.12",,1.44,10.00,0.00,,GVREIT,SET,PROPCON,PF&REIT
4Q2559,267.21,,,76.00,,0.72,0.92,,,28.44,0.28,,14.70,"11,977.56",,1.44,10.20,0.00,,GVREIT,SET,PROPCON,PF&REIT
1Q2560,268.69,,,170.54,,1.62,2.07,,,63.47,0.28,,14.50,"11,814.60",,1.44,10.09,2.07,,GVREIT,SET,PROPCON,PF&REIT
2Q2560,274.36,,,179.49,,1.70,2.18,,,65.42,0.28,,14.20,"11,570.16",,1.41,10.08,2.11,,GVREIT,SET,PROPCON,PF&REIT
3Q2560,273.93,,,176.61,,1.67,2.14,,,64.47,0.29,,13.60,"11,081.28",,1.34,10.11,2.20,,GVREIT,SET,PROPCON,PF&REIT
4Q2560,275.84,,,120.69,,1.14,1.47,,,43.76,0.29,,14.80,"12,059.04",,1.46,10.13,2.03,,GVREIT,SET,PROPCON,PF&REIT
1Q2561,276.96,,,178.88,,1.69,2.17,,,64.59,0.28,,0.00,"11,814.60",,1.43,10.15,5.11,,GVREIT,SET,PROPCON,PF&REIT
2Q2561,282.79,,,185.90,,1.75,2.25,,,65.74,0.29,,14.40,"11,733.12",,1.42,10.14,5.15,,GVREIT,SET,PROPCON,PF&REIT
3Q2561,291.11,,,198.72,,1.86,2.39,,,68.26,0.29,,14.40,"11,733.12",,1.42,10.17,5.15,,GVREIT,SET,PROPCON,PF&REIT
4Q2561,293.43,,,495.73,,4.56,5.84,,,168.94,0.28,,15.10,"12,303.48",,1.48,10.20,4.91,,GVREIT,SET,PROPCON,PF&REIT
1Q2562,298.44,,,191.18,,1.73,2.21,,,64.06,0.27,,14.30,"11,651.64",,1.35,10.61,5.74,,GVREIT,SET,PROPCON,PF&REIT
2Q2562,301.43,,,197.13,,1.78,2.27,,,65.40,0.28,,15.60,"12,710.88",,1.47,10.64,5.26,,GVREIT,SET,PROPCON,PF&REIT
3Q2562,303.74,,,188.76,,1.70,2.17,,,62.15,0.28,,17.40,"14,177.52",,1.63,10.67,4.72,,GVREIT,SET,PROPCON,PF&REIT
4Q2562,309.13,,,311.23,,2.78,3.55,,,100.68,0.27,,16.80,"13,688.64",,1.57,10.68,4.88,,GVREIT,SET,PROPCON,PF&REIT
1Q2563,306.27,,,192.68,,1.71,2.18,,,62.91,0.27,,16.30,"13,281.24",,1.50,10.86,5.26,,GVREIT,SET,PROPCON,PF&REIT
2Q2563,305.20,,,186.82,,1.66,2.11,,,61.21,0.27,,13.70,"11,162.76",,,,6.25,,GVREIT,SET,PROPCON,PF&REIT
3Q2563,272.83,,,164.63,,1.46,1.86,,,60.34,0.27,,14.10,"11,488.68",,1.29,10.89,6.08,,GVREIT,SET,PROPCON,PF&REIT
4Q2563,299.00,,,203.05,,1.79,2.28,,,67.91,0.27,,12.00,"9,777.60",,1.10,10.88,7.14,,GVREIT,SET,PROPCON,PF&REIT
1Q2564,296.64,,,229.05,,1.94,2.56,,,77.21,0.36,,12.90,"10,510.92",,1.18,10.95,6.19,,GVREIT,SET,PROPCON,PF&REIT
2Q2564,286.42,,,191.49,,1.56,2.13,,,66.86,0.36,,10.70,"8,718.36",,0.97,11.04,7.46,,GVREIT,SET,PROPCON,PF&REIT
3Q2564,284.93,,,200.40,,1.63,2.22,,,70.33,0.36,,10.60,"8,636.88",,0.96,11.07,7.53,,GVREIT,SET,PROPCON,PF&REIT
4Q2564,253.97,,,84.27,,0.69,0.93,,,33.18,0.36,,10.30,"8,392.44",,0.93,11.12,7.75,,GVREIT,SET,PROPCON,PF&REIT
1Q2565,282.94,,,196.04,,1.60,2.17,,,69.29,0.35,,10.10,"8,229.48",,0.92,11.03,7.60,,GVREIT,SET,PROPCON,PF&REIT
2Q2565,280.33,,,190.82,,1.56,2.11,,,68.07,0.35,,9.80,"7,985.04",,,,7.83,,GVREIT,SET,PROPCON,PF&REIT
3Q2565,286.51,,,196.87,,1.60,2.16,,,68.71,0.35,,8.95,"7,333.20",,0.81,11.13,8.53,,GVREIT,SET,PROPCON,PF&REIT
