,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"4,146.26",385.71,-40.35,275.08,0.34,1.53,1.88,89.08,7.09,6.63,0.23,239.11,21.90,"17,626.85",10.89,1.21,18.10,4.57,6.34,HANA,SET,TECH,ETRON
2Q2555,"5,053.71",88.24,-15.79,516.96,0.64,2.82,3.53,86.37,6.63,10.23,0.28,122.26,19.10,"15,373.19",10.71,1.05,18.26,5.24,6.27,HANA,SET,TECH,ETRON
3Q2555,"4,812.24",25.00,31.15,640.69,0.80,3.44,4.31,91.63,1.55,13.31,0.23,109.07,20.90,"16,821.97",12.59,1.15,18.15,4.78,6.01,HANA,SET,TECH,ETRON
4Q2555,"4,207.28",-65.00,300.00,227.79,0.28,1.25,1.52,89.19,7.34,5.41,0.20,165.86,22.80,"18,351.24",12.31,1.21,18.78,4.39,6.15,HANA,SET,TECH,ETRON
1Q2556,"3,753.94",-35.71,-47.06,144.32,0.18,0.81,0.97,90.41,6.07,3.84,0.19,227.69,25.00,"20,121.97",12.12,1.35,18.55,6.00,6.82,HANA,SET,TECH,ETRON
2Q2556,"5,144.38",600.00,96.88,"1,012.16",1.26,5.55,6.74,78.36,4.48,19.68,0.23,304.69,19.40,"15,614.65",10.21,1.06,18.26,7.73,4.56,HANA,SET,TECH,ETRON
3Q2556,"5,108.84",-44.36,-12.36,566.85,0.70,2.90,3.62,92.95,4.26,11.10,0.26,230.25,23.10,"18,592.70",9.18,1.21,19.04,6.49,5.57,HANA,SET,TECH,ETRON
4Q2556,"5,144.49",8.24,171.03,613.87,0.76,3.05,3.77,89.56,4.09,11.93,0.21,241.65,25.25,"20,323.19",10.42,1.27,19.85,5.94,5.48,HANA,SET,TECH,ETRON
1Q2557,"6,125.21",160.91,"1,000.00","1,590.32",1.98,7.58,9.18,72.42,3.82,25.96,0.21,239.12,30.50,"24,548.81",10.50,1.48,20.62,4.92,4.22,HANA,SET,TECH,ETRON
2Q2557,"5,646.63",-57.07,-32.54,686.32,0.85,3.12,3.81,93.67,4.14,12.15,0.23,252.11,33.50,"26,963.44",7.13,1.49,22.43,4.48,5.13,HANA,SET,TECH,ETRON
3Q2557,"5,861.82",-14.12,4.12,586.86,0.73,2.60,3.21,93.55,4.22,10.01,0.24,241.86,42.25,"34,006.13",9.84,1.89,22.37,3.55,6.48,HANA,SET,TECH,ETRON
4Q2557,"5,430.19",-8.22,-11.71,542.00,0.67,2.41,2.93,92.54,5.11,9.98,0.20,243.60,38.00,"30,585.40",8.80,1.65,23.08,3.95,5.87,HANA,SET,TECH,ETRON
1Q2558,"5,096.93",-4.48,-67.68,516.69,0.64,2.32,2.78,92.95,5.02,10.14,0.20,253.11,44.00,"35,414.67",10.40,1.93,22.82,4.55,9.27,HANA,SET,TECH,ETRON
2Q2558,"5,236.62",-21.88,-41.18,399.25,0.50,1.79,2.13,92.62,5.12,7.62,0.19,270.46,40.50,"32,597.59",13.98,1.74,23.32,4.94,9.56,HANA,SET,TECH,ETRON
3Q2558,"5,422.17",-18.00,-43.84,328.66,0.41,1.43,1.72,91.86,5.60,6.06,0.22,282.50,28.25,"22,737.83",11.12,1.22,23.23,7.08,7.07,HANA,SET,TECH,ETRON
4Q2558,"5,233.18",148.78,52.24,821.77,1.02,3.50,4.22,92.45,5.48,15.70,0.19,289.26,35.75,"28,774.42",16.11,1.47,24.27,5.59,8.02,HANA,SET,TECH,ETRON
1Q2559,"4,846.76",-41.18,-6.25,483.86,0.60,2.09,2.47,91.15,6.70,9.98,0.18,284.22,35.75,"28,774.42",13.93,1.48,24.13,5.59,7.84,HANA,SET,TECH,ETRON
2Q2559,"4,877.50",-13.44,3.87,417.08,0.52,1.80,2.13,92.20,5.47,8.55,0.19,299.62,29.50,"23,743.93",11.68,1.20,24.58,6.78,6.30,HANA,SET,TECH,ETRON
3Q2559,"5,419.38",36.83,73.33,569.01,0.71,2.43,2.90,92.29,5.33,10.50,0.20,329.18,31.75,"25,554.90",12.46,1.32,24.08,6.30,6.21,HANA,SET,TECH,ETRON
4Q2559,"5,841.87",11.17,-22.55,635.46,0.79,2.67,3.19,93.10,4.92,10.88,0.19,321.35,39.50,"31,792.71",13.87,1.60,24.69,5.06,8.53,HANA,SET,TECH,ETRON
1Q2560,"5,335.33",28.58,69.30,817.59,1.02,3.41,4.04,92.52,5.66,15.32,0.18,326.47,47.00,"37,829.31",17.97,1.90,24.80,4.26,9.25,HANA,SET,TECH,ETRON
2Q2560,"5,354.68",-16.89,62.55,675.56,0.84,2.79,3.32,92.25,5.47,12.62,0.20,319.69,50.25,"40,445.16",16.58,1.98,25.43,3.98,9.48,HANA,SET,TECH,ETRON
3Q2560,"5,884.73",12.53,33.68,769.52,0.95,3.14,3.74,92.77,4.92,13.08,0.19,324.72,47.50,"38,231.75",14.17,1.89,25.16,4.21,8.77,HANA,SET,TECH,ETRON
4Q2560,"5,477.84",-17.89,-1.27,625.06,0.78,2.54,3.01,91.21,6.12,11.41,0.18,339.13,44.50,"35,817.11",12.36,1.71,25.95,4.49,8.47,HANA,SET,TECH,ETRON
