,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,136.97,,-10.00,4.83,0.00,1.34,-15.83,57.35,38.78,3.53,-13.84,-207.88,0.00,53.82,2.49,0.00,-0.82,0.00,5.37,HEMP,mai,SERVICE,-
2Q2555,140.80,-4.89,-87.77,0.46,0.00,0.13,-1.66,50.87,43.29,0.33,-14.02,-221.25,0.00,53.82,2.50,0.00,-0.82,0.00,6.97,HEMP,mai,SERVICE,-
3Q2555,133.48,-48.83,-78.10,1.51,0.00,0.43,-5.62,59.80,37.41,1.13,-14.43,-249.40,0.00,53.82,6.26,0.00,-0.81,0.00,7.77,HEMP,mai,SERVICE,-
4Q2555,140.45,57.08,,0.67,0.00,0.13,-2.43,60.21,33.60,0.48,-24.44,-260.58,0.00,53.82,7.81,0.00,-0.81,0.00,12.62,HEMP,mai,SERVICE,-
1Q2556,131.61,"2,881.69","2,179.33",68.29,0.10,9.74,28.83,54.97,39.27,51.89,0.43,-160.63,0.00,53.82,9.02,0.00,-0.82,0.00,2.03,HEMP,mai,SERVICE,-
2Q2556,120.59,,,3.21,-0.01,0.46,0.64,50.69,43.43,2.67,0.33,-111.51,0.00,53.82,0.75,0.28,0.22,0.00,1.63,HEMP,mai,SERVICE,-
3Q2556,124.96,87.27,,3.52,-0.00,0.52,0.69,54.55,39.45,2.82,0.33,-60.17,0.00,53.82,0.74,0.27,0.22,0.00,1.64,HEMP,mai,SERVICE,-
4Q2556,116.29,51.05,,1.16,-0.00,0.17,0.23,47.79,45.14,1.00,0.35,-7.92,0.00,53.82,0.73,0.27,0.23,0.00,1.78,HEMP,mai,SERVICE,-
1Q2557,99.96,,-97.69,2.08,0.00,0.40,0.59,56.04,40.06,2.09,0.76,-59.03,0.00,53.82,0.73,0.27,0.23,0.00,3.82,HEMP,mai,SERVICE,-
2Q2557,99.76,-5.06,,1.97,0.00,0.55,0.99,54.78,41.76,1.97,0.85,-66.58,0.00,53.82,6.90,0.27,0.23,0.00,4.56,HEMP,mai,SERVICE,-
3Q2557,99.71,6.67,,2.11,0.00,0.59,1.05,58.97,36.45,2.11,0.74,-68.58,2.38,"2,089.05",288.33,10.46,0.23,0.00,53.07,HEMP,mai,SERVICE,-
4Q2557,123.56,-85.00,,0.31,0.00,0.09,0.16,54.83,42.27,0.25,0.89,-65.72,1.75,"1,536.06",213.52,7.61,0.23,0.00,40.28,HEMP,mai,SERVICE,-
1Q2558,93.70,,,-13.07,-0.01,-3.68,-6.67,46.92,49.72,-13.95,0.73,-52.25,2.22,"1,948.61",300.95,9.64,0.23,0.00,77.14,HEMP,mai,SERVICE,-
2Q2558,93.73,-11.61,,-14.60,-0.02,-4.55,-8.00,48.09,48.75,-15.58,0.79,-34.68,1.55,"1,360.51",N/A,7.17,0.22,0.00,149.05,HEMP,mai,SERVICE,-
3Q2558,92.78,-8.66,,-16.53,-0.02,-4.49,-7.08,45.73,50.67,-17.82,0.45,-24.23,1.42,"1,388.41",N/A,7.92,0.20,0.00,-139.40,HEMP,mai,SERVICE,-
4Q2558,104.22,7.97,,-16.26,-0.02,-3.85,-5.73,51.49,45.10,-15.60,0.53,-11.62,1.04,"1,016.86",N/A,3.49,0.30,0.00,-32.43,HEMP,mai,SERVICE,-
1Q2559,86.61,-14.43,-27.72,-18.61,-0.02,-4.62,-6.99,47.98,48.80,-21.48,0.49,-6.61,0.67,655.09,N/A,2.38,0.28,0.00,-17.44,HEMP,mai,SERVICE,-
2Q2559,76.46,-72.10,-96.93,-32.00,-0.03,-8.78,-13.28,31.22,65.56,-41.85,0.54,4.27,0.74,723.54,N/A,2.82,0.26,0.00,-13.27,HEMP,mai,SERVICE,-
3Q2559,69.25,30.11,-26.67,-22.42,-0.02,-6.73,-10.49,34.88,62.07,-32.38,0.58,20.63,0.58,567.10,N/A,2.52,0.23,0.00,-9.48,HEMP,mai,SERVICE,-
4Q2559,84.07,-13.28,-55.92,-25.37,-0.03,-7.99,-13.36,37.99,58.61,-30.18,0.78,30.90,0.64,625.76,N/A,3.09,0.21,0.00,-10.03,HEMP,mai,SERVICE,-
