,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"8,988.09",0.00,25.00,610.33,0.10,2.85,7.24,75.94,20.38,6.79,1.54,-123.49,13.90,"81,148.06",40.47,9.99,1.39,1.18,21.20,HMPRO,SET,SERVICE,COMM
2Q2555,"8,463.10",14.43,27.14,591.76,0.11,2.67,6.87,74.77,21.49,6.99,1.60,-131.15,12.60,"73,908.03",33.48,8.46,1.50,1.29,19.65,HMPRO,SET,SERVICE,COMM
3Q2555,"8,987.28",-60.18,-34.90,620.10,0.05,2.73,7.05,75.00,21.25,6.90,1.56,-133.56,13.10,"76,863.35",33.13,9.06,1.45,1.24,19.80,HMPRO,SET,SERVICE,COMM
4Q2555,"10,530.83",163.33,20.00,857.28,0.12,3.49,9.04,73.93,20.86,8.14,1.62,-123.16,12.60,"88,722.02",36.36,9.74,1.29,1.08,21.19,HMPRO,SET,SERVICE,COMM
1Q2556,"10,025.92",-33.33,-20.00,691.49,0.08,2.61,6.75,74.99,21.41,6.90,1.56,-119.70,17.10,"120,454.67",44.95,12.22,1.40,0.22,27.03,HMPRO,SET,SERVICE,COMM
2Q2556,"10,365.92",12.50,-21.35,730.22,0.09,2.61,6.69,74.56,21.83,7.04,1.56,-122.84,11.50,"94,525.84",34.24,8.90,1.29,0.28,20.96,HMPRO,SET,SERVICE,COMM
3Q2556,"10,562.85",-44.44,9.72,719.59,0.05,2.27,6.21,74.41,21.91,6.81,1.89,-137.02,12.20,"100,279.58",34.59,8.94,1.37,0.26,21.55,HMPRO,SET,SERVICE,COMM
4Q2556,"11,875.54",100.00,-16.67,927.19,0.10,2.63,7.52,73.28,21.71,7.81,1.83,-148.73,9.35,"89,662.30",29.90,7.51,1.25,0.29,19.38,HMPRO,SET,SERVICE,COMM
1Q2557,"11,826.17",-30.00,-12.50,725.73,0.07,1.96,5.55,74.37,21.95,6.14,1.83,-146.41,9.75,"93,498.12",30.47,7.35,1.33,0.33,19.42,HMPRO,SET,SERVICE,COMM
2Q2557,"12,788.24",0.00,-22.22,792.78,0.07,2.04,5.76,73.97,22.17,6.20,1.82,-138.91,9.65,"105,758.76",34.09,7.87,1.23,0.29,20.73,HMPRO,SET,SERVICE,COMM
3Q2557,"12,615.73",-28.57,0.00,766.16,0.05,1.89,5.30,74.75,21.59,6.07,1.78,-119.71,10.40,"113,978.35",36.01,8.09,1.28,0.27,21.18,HMPRO,SET,SERVICE,COMM
4Q2557,"13,978.45",60.00,-20.00,"1,028.66",0.08,2.41,6.74,74.49,20.77,7.36,1.82,-111.73,8.25,"101,716.85",31.67,6.85,1.20,0.30,18.59,HMPRO,SET,SERVICE,COMM
1Q2558,"13,096.28",-25.00,-14.29,733.68,0.06,1.63,4.57,73.99,22.38,5.60,1.81,-103.64,8.15,"100,483.92",30.33,6.40,1.27,1.05,17.95,HMPRO,SET,SERVICE,COMM
2Q2558,"14,119.01",0.00,-14.29,820.18,0.06,1.79,5.02,74.60,21.75,5.81,1.80,-104.32,6.75,"88,770.59",26.73,5.42,1.25,1.19,15.88,HMPRO,SET,SERVICE,COMM
3Q2558,"13,754.94",0.00,20.00,802.72,0.06,1.77,5.00,74.06,22.11,5.84,1.87,-113.53,6.85,"90,085.71",26.90,5.53,1.24,1.17,15.86,HMPRO,SET,SERVICE,COMM
