,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2556,,,,,,,,,,,0.02,,,,,,,,,HPF,SET,PROPCON,PF&REIT
1Q2557,92.35,,,82.07,,1.70,1.73,,,88.87,0.02,,9.40,"4,418.00",,0.00,0.00,0.00,,HPF,SET,PROPCON,PF&REIT
2Q2557,92.71,,,80.45,,1.65,1.68,,,86.78,0.02,,10.10,"4,747.00",,0.99,10.19,0.00,,HPF,SET,PROPCON,PF&REIT
3Q2557,94.07,,,82.16,,1.69,1.72,,,87.34,0.02,,0.00,"4,582.50",,0.96,10.18,0.00,,HPF,SET,PROPCON,PF&REIT
4Q2557,95.25,,,86.33,,1.77,1.80,,,90.63,0.02,,9.50,"4,465.00",,0.93,10.19,0.00,,HPF,SET,PROPCON,PF&REIT
1Q2558,99.14,,,87.17,,1.79,1.82,,,87.93,0.02,,9.10,"4,277.00",,0.89,10.20,5.51,,HPF,SET,PROPCON,PF&REIT
2Q2558,86.56,,,71.41,,1.46,1.49,,,82.50,0.02,,0.00,"4,253.50",,0.89,10.21,5.54,,HPF,SET,PROPCON,PF&REIT
3Q2558,92.81,,,80.42,,1.64,1.68,,,86.65,0.02,,8.30,"3,901.00",,0.81,10.20,6.04,,HPF,SET,PROPCON,PF&REIT
4Q2558,93.35,,,71.18,,1.46,1.48,,,76.24,0.02,,0.00,"3,948.00",,0.82,10.21,5.96,,HPF,SET,PROPCON,PF&REIT
1Q2559,92.59,,,75.95,,1.56,1.59,,,82.03,0.02,,9.20,"4,324.00",,0.90,10.20,7.28,,HPF,SET,PROPCON,PF&REIT
2Q2559,92.94,,,81.16,,1.67,1.69,,,87.33,0.02,,9.30,"4,371.00",,0.91,10.20,7.20,,HPF,SET,PROPCON,PF&REIT
3Q2559,92.89,,,77.62,,1.59,1.62,,,83.56,0.02,,8.80,"4,136.00",,0.86,10.19,7.61,,HPF,SET,PROPCON,PF&REIT
4Q2559,90.86,,,-72.10,,-1.50,-1.53,,,-79.35,0.02,,8.05,"3,783.50",,0.79,10.19,8.32,,HPF,SET,PROPCON,PF&REIT
1Q2560,57.20,,,44.71,,0.95,0.97,,,78.16,0.02,,7.15,"3,360.50",,0.72,9.87,7.01,,HPF,SET,PROPCON,PF&REIT
2Q2560,57.59,,,45.82,,0.97,0.99,,,79.56,0.02,,6.05,"2,843.50",,0.62,9.81,8.28,,HPF,SET,PROPCON,PF&REIT
3Q2560,57.96,,,46.22,,0.98,1.00,,,79.74,0.02,,5.50,"2,585.00",,0.55,9.91,9.11,,HPF,SET,PROPCON,PF&REIT
4Q2560,57.28,,,75.76,,1.61,1.64,,,132.28,0.02,,5.55,"2,608.50",,0.57,9.81,9.03,,HPF,SET,PROPCON,PF&REIT
1Q2561,58.73,,,47.83,,1.01,1.03,,,81.44,0.02,,5.40,"2,538.00",,0.55,9.81,6.94,,HPF,SET,PROPCON,PF&REIT
2Q2561,55.38,,,44.43,,0.94,0.95,,,80.22,0.02,,5.30,"2,491.00",,0.54,9.89,7.08,,HPF,SET,PROPCON,PF&REIT
3Q2561,54.11,,,42.09,,0.89,0.90,,,77.79,0.02,,5.45,"2,561.50",,0.55,9.90,6.88,,HPF,SET,PROPCON,PF&REIT
4Q2561,56.99,,,29.63,,0.63,0.64,,,51.99,0.02,,5.10,"2,397.00",,0.52,9.90,7.35,,HPF,SET,PROPCON,PF&REIT
