,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2557,,,,,,,,,,,0.66,45.39,,,,,,,,HPT,mai,CONSUMP,-
1Q2558,30.43,,,2.51,0.01,1.38,2.25,79.35,19.32,8.26,0.60,52.53,,,,,,,,HPT,mai,CONSUMP,-
2Q2558,27.09,-28.98,,1.83,0.00,0.83,1.08,79.29,21.41,6.76,0.17,66.45,2.84,"1,476.80",122.20,0.00,0.00,0.00,40.53,HPT,mai,CONSUMP,-
3Q2558,26.56,-94.17,,0.51,0.00,0.20,0.23,78.04,17.49,1.93,0.13,94.06,1.67,868.40,100.01,3.86,0.43,0.00,22.78,HPT,mai,CONSUMP,-
4Q2558,31.05,"4,515.38",,5.64,0.01,2.21,2.47,89.06,11.92,18.18,0.11,203.60,1.21,629.20,126.24,2.79,0.43,0.00,29.80,HPT,mai,CONSUMP,-
1Q2559,25.18,-66.67,-36.31,2.27,0.00,0.88,0.98,81.26,16.93,9.03,0.10,298.83,1.14,592.80,56.45,2.57,0.44,1.60,28.95,HPT,mai,CONSUMP,-
2Q2559,29.71,46.25,31.17,2.85,0.01,1.11,1.24,75.23,23.46,9.59,0.12,339.26,1.18,613.60,59.80,2.63,0.45,1.54,28.82,HPT,mai,CONSUMP,-
3Q2559,33.74,-29.06,"1,496.15",2.03,0.00,0.80,0.89,80.57,16.87,6.03,0.12,349.21,1.20,624.00,55.32,2.75,0.44,1.52,27.38,HPT,mai,CONSUMP,-
4Q2559,44.40,-6.02,-67.50,2.15,0.00,0.84,0.94,83.84,13.82,4.85,0.11,298.86,1.22,634.40,49.56,2.77,0.44,1.49,32.26,HPT,mai,CONSUMP,-
1Q2560,40.65,2.56,0.00,2.39,0.00,0.92,1.03,82.53,15.80,5.89,0.12,251.85,1.24,644.80,69.28,2.79,0.44,0.81,32.13,HPT,mai,CONSUMP,-
