,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,134.61,96.79,50.03,40.64,0.15,5.86,8.21,87.31,12.01,30.19,0.38,78.19,3.70,888.00,10.22,1.95,1.90,4.32,5.81,HTECH,SET,INDUS,IMM
2Q2555,137.07,1.27,51.94,40.58,0.15,5.64,7.67,87.66,11.02,29.61,0.34,121.81,3.94,945.60,9.69,1.92,2.06,4.06,5.51,HTECH,SET,INDUS,IMM
3Q2555,152.63,-51.74,-14.38,25.95,0.07,3.37,4.54,78.05,19.71,17.00,0.35,157.28,5.65,"1,443.58",12.93,2.80,2.15,2.66,7.97,HTECH,SET,INDUS,IMM
4Q2555,108.80,,,-0.67,-0.02,-0.08,-0.11,82.38,19.10,-0.61,0.33,210.04,4.26,"1,091.45",9.93,1.97,2.17,3.52,6.86,HTECH,SET,INDUS,IMM
1Q2556,119.08,,-67.38,17.13,0.05,2.15,2.84,78.15,20.06,14.38,0.31,276.61,3.48,892.58,10.08,1.61,2.17,4.87,6.49,HTECH,SET,INDUS,IMM
2Q2556,138.35,-3.62,-68.95,15.35,0.05,1.83,2.49,79.32,19.06,11.09,0.40,311.51,2.76,707.91,10.87,1.27,2.18,6.14,6.54,HTECH,SET,INDUS,IMM
3Q2556,164.86,11.05,-28.57,18.27,0.05,2.05,2.89,80.05,18.40,11.08,0.41,319.20,2.18,568.55,13.96,0.99,2.20,7.65,5.89,HTECH,SET,INDUS,IMM
4Q2556,153.39,-15.39,,13.52,0.04,1.49,2.09,76.31,22.27,8.82,0.39,291.87,2.06,537.26,15.25,0.93,2.20,8.09,4.72,HTECH,SET,INDUS,IMM
1Q2557,160.32,2.71,-6.99,13.96,0.05,1.54,2.11,77.96,21.28,8.71,0.35,261.71,2.20,573.77,11.50,0.97,2.26,3.64,4.99,HTECH,SET,INDUS,IMM
2Q2557,172.99,40.71,35.79,20.48,0.06,2.23,3.04,79.97,19.77,11.84,0.38,233.61,2.34,610.28,12.40,1.02,2.30,3.42,5.03,HTECH,SET,INDUS,IMM
3Q2557,185.96,50.84,84.44,30.87,0.10,3.26,4.51,82.49,16.90,16.60,0.39,230.99,3.04,792.85,14.74,1.31,2.33,2.63,5.81,HTECH,SET,INDUS,IMM
4Q2557,181.73,-44.38,21.23,16.13,0.05,1.68,2.31,83.88,14.90,8.88,0.37,241.35,2.78,725.04,11.10,1.18,2.35,2.88,5.22,HTECH,SET,INDUS,IMM
1Q2558,185.12,6.09,25.22,22.64,0.06,2.32,3.15,76.12,22.90,12.23,0.35,254.90,3.20,834.57,12.31,1.32,2.43,3.44,5.18,HTECH,SET,INDUS,IMM
2Q2558,167.48,-39.81,-46.43,13.02,0.03,1.32,1.79,77.56,22.37,7.78,0.35,279.81,3.00,782.41,11.05,1.22,2.46,3.67,5.09,HTECH,SET,INDUS,IMM
3Q2558,180.70,56.48,-44.43,18.22,0.05,1.84,2.50,76.30,20.62,10.08,0.36,289.90,2.74,714.60,11.34,1.12,2.45,4.01,5.05,HTECH,SET,INDUS,IMM
4Q2558,191.04,81.39,81.26,27.38,0.10,2.72,3.66,79.46,21.10,14.33,0.34,275.05,2.40,625.93,12.08,0.97,2.47,4.58,4.05,HTECH,SET,INDUS,IMM
1Q2559,178.92,-17.04,41.74,22.83,0.08,2.24,2.94,76.35,22.31,12.76,0.29,280.89,2.52,657.23,10.40,0.97,2.59,3.97,4.02,HTECH,SET,INDUS,IMM
2Q2559,192.88,22.49,188.43,31.54,0.10,3.09,3.98,78.35,21.43,16.35,0.29,269.26,2.92,761.55,10.97,1.09,2.67,3.42,4.12,HTECH,SET,INDUS,IMM
3Q2559,216.99,29.57,138.82,40.83,0.13,3.90,5.06,82.48,17.20,18.81,0.31,256.47,3.22,839.79,9.73,1.19,2.71,3.11,4.01,HTECH,SET,INDUS,IMM
4Q2559,237.42,10.77,45.84,47.20,0.14,4.04,5.14,80.40,18.08,19.88,0.25,242.11,5.50,"1,650.00",15.61,2.29,2.76,1.58,6.19,HTECH,SET,INDUS,IMM
1Q2560,238.32,-10.42,57.48,47.07,0.13,3.62,4.52,81.55,18.17,19.75,0.25,223.15,9.60,"2,880.00",24.43,3.14,3.06,1.73,9.68,HTECH,SET,INDUS,IMM
