,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,72.23,200.00,50.00,27.18,0.06,1.05,3.23,,,37.64,2.44,,1.34,629.80,9.28,0.76,1.76,7.46,,IFS,SET,FINCIAL,FIN
2Q2555,78.09,-16.67,25.00,26.37,0.05,0.90,3.12,,,33.77,2.51,,1.55,728.50,9.85,0.85,1.82,6.45,,IFS,SET,FINCIAL,FIN
3Q2555,84.37,20.00,50.00,28.61,0.06,0.92,3.37,,,33.91,2.84,,2.36,"1,109.20",13.37,1.33,1.77,4.24,,IFS,SET,FINCIAL,FIN
4Q2555,89.91,16.67,250.00,29.54,0.07,0.86,3.37,,,32.86,3.01,,2.52,"1,184.40",12.84,1.37,1.84,3.97,,IFS,SET,FINCIAL,FIN
1Q2556,90.50,0.00,16.67,33.46,0.07,0.93,3.68,,,36.97,2.87,,2.82,"1,325.40",11.86,1.49,1.90,4.26,,IFS,SET,FINCIAL,FIN
2Q2556,94.38,0.00,40.00,34.59,0.07,0.96,3.78,,,36.65,3.04,,2.54,"1,193.80",10.12,1.29,1.97,4.72,,IFS,SET,FINCIAL,FIN
3Q2556,97.21,28.57,50.00,38.51,0.09,1.07,4.17,,,39.61,2.79,,2.40,"1,128.00",8.94,1.25,1.92,5.00,,IFS,SET,FINCIAL,FIN
4Q2556,93.33,-55.56,-42.86,18.53,0.04,0.51,1.94,,,19.85,2.79,,2.58,"1,212.60",8.91,1.29,2.00,4.65,,IFS,SET,FINCIAL,FIN
1Q2557,30.84,96.45,12.26,36.93,0.08,1.05,3.76,,,119.76,2.35,,2.32,"1,090.40",8.72,1.13,2.05,5.82,,IFS,SET,FINCIAL,FIN
2Q2557,30.77,-13.46,-2.86,31.96,0.07,0.97,3.24,,,103.87,2.36,,2.62,"1,231.40",9.58,1.23,2.13,5.15,,IFS,SET,FINCIAL,FIN
