,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,429.77,497.83,19.57,83.69,0.24,3.73,11.15,93.50,6.19,19.47,1.96,"1,994.02",7.95,"2,385.00",16.07,3.36,2.36,2.12,10.37,IHL,SET,INDUS,AUTO
2Q2555,454.77,-24.36,100.97,62.36,0.18,2.64,7.60,93.74,5.62,13.71,1.80,"2,160.42",7.55,"2,642.49",15.24,3.33,2.26,1.91,9.97,IHL,SET,INDUS,AUTO
3Q2555,498.25,-0.91,12.02,63.68,0.18,2.70,7.45,94.29,5.39,12.78,1.71,"2,472.99",9.55,"3,342.49",16.18,3.93,2.43,1.51,10.86,IHL,SET,INDUS,AUTO
4Q2555,517.35,-35.59,188.60,40.40,0.12,1.76,4.59,93.59,5.86,7.81,1.50,"2,113.26",9.35,"3,272.49",14.63,3.80,2.46,1.54,9.69,IHL,SET,INDUS,AUTO
1Q2556,489.33,28.15,-38.13,62.13,0.15,2.72,6.58,92.10,6.91,12.70,1.35,"1,896.88",9.00,"3,149.99",12.59,3.50,2.57,1.91,9.88,IHL,SET,INDUS,AUTO
2Q2556,484.13,-13.83,-29.52,53.54,0.13,2.32,5.29,91.47,7.22,11.06,1.21,"1,629.09",6.95,"2,918.99",12.77,2.95,2.35,2.06,9.35,IHL,SET,INDUS,AUTO
3Q2556,395.96,-32.08,-51.69,36.36,0.09,1.62,3.56,97.54,4.68,9.18,1.18,"1,639.15",6.10,"2,561.99",11.66,2.48,2.46,2.35,9.07,IHL,SET,INDUS,AUTO
4Q2556,428.07,24.01,-6.99,45.09,0.11,2.06,4.38,91.70,6.67,10.53,1.07,"1,613.83",5.95,"2,498.99",12.99,2.48,2.40,2.41,8.76,IHL,SET,INDUS,AUTO
1Q2557,439.12,25.78,-8.71,56.72,0.14,2.58,5.25,93.04,6.38,12.92,1.01,"1,668.66",6.50,"2,729.99",13.85,2.59,2.51,4.62,9.45,IHL,SET,INDUS,AUTO
2Q2557,418.29,-33.70,-29.76,37.61,0.09,1.70,3.43,92.65,6.55,8.99,1.02,"1,795.67",7.50,"3,149.99",16.43,2.84,2.64,4.00,11.04,IHL,SET,INDUS,AUTO
3Q2557,445.55,60.05,65.52,60.19,0.14,2.80,5.62,92.31,7.67,13.51,0.99,"1,579.11",6.80,"2,855.99",16.25,2.64,2.58,4.41,9.74,IHL,SET,INDUS,AUTO
4Q2557,554.71,-34.90,-13.10,39.18,0.09,1.84,3.63,94.58,5.42,7.06,0.95,"1,541.91",6.85,"2,876.99",14.41,2.71,2.52,4.38,9.99,IHL,SET,INDUS,AUTO
1Q2558,618.57,64.47,13.62,64.45,0.15,2.91,5.70,94.38,5.52,10.42,0.97,"1,485.79",7.20,"3,023.99",15.61,2.75,2.62,6.25,10.50,IHL,SET,INDUS,AUTO
2Q2558,530.09,-84.65,-73.70,9.89,0.02,0.40,0.89,94.30,5.41,1.87,1.50,"1,555.41",7.85,"3,296.99",16.37,2.84,2.77,5.73,13.39,IHL,SET,INDUS,AUTO
3Q2558,528.14,36.90,-77.50,13.54,0.03,0.50,1.30,94.33,5.43,2.56,1.70,"1,729.50",7.05,"2,960.99",17.05,2.77,2.54,6.38,14.89,IHL,SET,INDUS,AUTO
4Q2558,729.90,741.16,190.66,113.90,0.27,4.20,10.59,79.80,5.37,15.60,1.36,"1,630.97",7.00,"2,939.99",23.14,2.89,2.42,6.43,10.74,IHL,SET,INDUS,AUTO
1Q2559,530.24,-51.50,-14.29,55.24,0.13,2.05,4.76,93.47,6.38,10.42,1.28,"1,595.37",7.05,"2,960.99",14.67,2.62,2.70,3.55,10.67,IHL,SET,INDUS,AUTO
2Q2559,467.32,-41.16,228.62,47.13,0.08,1.74,3.96,93.31,6.36,10.08,1.29,"1,470.90",7.90,"3,317.99",17.23,2.79,2.83,3.16,10.46,IHL,SET,INDUS,AUTO
3Q2559,494.71,-10.80,114.11,33.82,0.07,1.22,2.81,91.43,8.10,6.84,1.31,"1,240.19",6.60,"2,771.99",14.07,2.71,2.43,3.25,8.60,IHL,SET,INDUS,AUTO
4Q2559,459.86,62.84,-58.55,55.08,0.11,1.98,4.42,91.42,7.66,11.98,1.15,"1,245.13",6.05,"2,964.49",11.85,2.43,2.90,3.54,10.72,IHL,SET,INDUS,AUTO
