,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2559,,,,,,,,,,,2.12,,,,,,,,,III,SET,SERVICE,TRANS
2Q2560,"1,102.90",,,83.44,0.19,8.21,26.06,81.01,17.44,7.57,2.24,,,,,,,,,III,SET,SERVICE,TRANS
3Q2560,537.03,-75.61,,26.10,0.05,2.09,3.74,81.55,17.89,4.86,0.39,,9.95,"6,014.77",48.76,,0.00,0.00,17.39,III,SET,SERVICE,TRANS
4Q2560,670.12,-52.27,,20.09,0.02,1.30,1.82,85.24,15.46,3.00,0.40,,8.35,"5,047.57",40.87,4.61,1.81,0.00,13.09,III,SET,SERVICE,TRANS
1Q2561,606.46,90.67,,25.91,0.04,1.65,2.30,82.94,16.49,4.27,0.40,,7.65,"4,624.43",35.67,4.15,1.84,1.44,17.57,III,SET,SERVICE,TRANS
2Q2561,703.79,47.81,-67.19,38.35,0.06,2.36,3.40,85.71,13.77,5.45,0.49,,4.42,"2,671.89",23.19,2.34,1.89,2.49,13.65,III,SET,SERVICE,TRANS
3Q2561,741.61,14.00,53.35,43.68,0.07,2.49,3.85,86.17,12.86,5.89,0.59,,6.95,"4,201.27",38.03,3.77,1.84,1.58,21.22,III,SET,SERVICE,TRANS
4Q2561,737.16,-2.20,214.22,42.73,0.07,2.28,3.62,88.61,10.83,5.80,0.58,,4.98,"3,010.41",23.51,2.60,1.91,2.21,13.59,III,SET,SERVICE,TRANS
1Q2562,684.89,0.28,65.27,42.89,0.07,2.11,3.49,87.91,11.75,6.26,0.72,,6.20,"3,762.34",24.97,3.13,1.99,2.73,18.49,III,SET,SERVICE,TRANS
2Q2562,714.12,19.46,33.58,50.43,0.08,2.31,4.10,85.87,13.81,7.06,0.83,,6.25,"3,792.68",22.62,3.02,2.07,2.72,18.08,III,SET,SERVICE,TRANS
3Q2562,672.93,-18.89,-4.97,42.77,0.07,1.94,3.48,85.84,13.62,6.36,0.76,,5.95,"3,625.38",20.17,3.02,1.98,2.85,16.95,III,SET,SERVICE,TRANS
4Q2562,652.43,-32.17,-34.09,28.42,0.05,1.28,2.24,85.63,13.81,4.36,0.74,,5.20,"3,168.40",17.72,2.52,2.06,3.26,15.93,III,SET,SERVICE,TRANS
1Q2563,411.34,-20.60,-47.81,22.54,0.04,0.93,1.74,78.77,20.32,5.48,1.02,,4.04,"2,461.60",,,,3.71,14.32,III,SET,SERVICE,TRANS
2Q2563,350.29,53.78,-32.82,31.51,0.06,1.23,2.39,75.83,23.12,9.00,0.86,,4.32,"2,632.21",18.26,2.01,2.15,3.47,15.91,III,SET,SERVICE,TRANS
3Q2563,384.12,67.66,38.86,43.93,0.10,1.81,3.41,67.40,19.98,11.44,0.92,,3.96,"2,412.86",18.54,1.95,2.00,3.84,13.99,III,SET,SERVICE,TRANS
4Q2563,518.57,-12.05,80.04,50.44,0.08,2.10,3.98,84.35,15.45,9.73,0.86,,6.45,"3,930.04",27.19,3.12,2.07,2.36,16.80,III,SET,SERVICE,TRANS
1Q2564,637.19,53.52,248.11,77.46,0.13,3.15,5.81,85.94,13.41,12.16,0.82,,7.10,"4,326.09",26.27,3.31,2.15,1.41,15.10,III,SET,SERVICE,TRANS
2Q2564,643.58,10.25,149.56,85.73,0.14,3.30,5.95,86.67,13.01,13.32,0.78,,12.60,"7,678.54",35.32,5.58,2.29,0.78,21.14,III,SET,SERVICE,TRANS
3Q2564,660.10,15.99,72.64,100.24,0.16,3.61,6.54,79.59,12.15,15.19,0.84,,11.50,"7,008.19",26.11,4.64,2.48,0.86,16.19,III,SET,SERVICE,TRANS
1Q2565,754.55,10.26,40.99,112.73,0.18,3.74,6.60,88.21,10.49,14.94,0.70,,14.80,"9,186.51",,,,2.69,18.19,III,SET,SERVICE,TRANS
2Q2565,741.95,4.85,34.08,119.14,0.19,3.74,6.32,85.78,11.49,16.06,0.68,,13.40,"8,715.41",21.12,4.41,3.08,2.84,15.87,III,SET,SERVICE,TRANS
3Q2565,750.68,12.13,29.63,136.57,0.21,4.30,7.04,87.23,11.88,18.19,0.59,,11.90,"7,818.24",17.53,4.08,2.99,3.16,12.91,III,SET,SERVICE,TRANS
