,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,347.08,55.28,171.39,21.71,0.22,2.40,3.14,85.95,13.52,6.25,0.30,-9.37,7.00,700.00,8.54,1.03,6.77,4.86,4.93,ILINK,SET,TECH,ICT
2Q2555,340.18,16.48,1.16,25.36,0.25,2.81,3.63,87.09,12.14,7.45,0.28,-14.81,7.80,780.00,8.18,1.12,6.99,4.36,5.87,ILINK,SET,TECH,ICT
3Q2555,378.58,21.86,-11.95,30.65,0.31,3.28,4.32,87.17,12.16,8.10,0.35,-53.35,11.70,"1,170.00",12.20,1.69,6.91,2.91,8.73,ILINK,SET,TECH,ICT
4Q2555,401.81,25.16,175.87,38.68,0.39,3.77,5.19,85.74,13.31,9.63,0.40,-95.38,17.70,"1,770.00",19.20,2.45,7.21,1.92,10.99,ILINK,SET,TECH,ICT
1Q2556,351.34,-42.96,1.33,23.65,0.22,2.17,3.04,82.52,16.61,6.73,0.40,-115.56,21.00,"2,309.89",19.83,3.04,6.91,2.14,14.29,ILINK,SET,TECH,ICT
2Q2556,351.37,0.00,-13.01,24.47,0.22,1.83,2.52,83.66,16.26,6.96,0.36,-179.02,17.80,"2,313.90",19.56,2.93,7.18,2.14,12.36,ILINK,SET,TECH,ICT
3Q2556,502.97,45.45,3.84,41.49,0.32,2.42,3.53,86.78,12.34,8.25,0.56,-251.71,16.20,"2,105.91",17.93,1.83,8.86,2.35,12.55,ILINK,SET,TECH,ICT
4Q2556,790.83,96.88,63.33,77.96,0.63,3.84,6.32,89.27,10.26,9.86,0.72,-350.48,17.70,"2,300.90",17.96,1.93,9.18,2.15,12.95,ILINK,SET,TECH,ICT
1Q2557,624.13,-38.10,77.27,51.29,0.39,2.17,3.94,87.98,11.21,8.22,0.90,-519.18,25.50,"3,314.86",19.87,2.61,9.78,0.44,16.01,ILINK,SET,TECH,ICT
2Q2557,517.94,,,38.40,-0.05,1.44,2.86,85.26,14.00,7.41,1.07,-665.91,14.00,"3,639.86",18.77,2.74,5.11,0.40,16.76,ILINK,SET,TECH,ICT
