,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
2Q2558,,,,,,,,,,,0.26,,,,,,,,,IMPACT,SET,PROPCON,PF&REIT
3Q2558,562.32,,,347.33,,1.73,2.19,,,61.77,0.26,,10.20,"15,121.50",,0.96,10.60,0.00,,IMPACT,SET,PROPCON,PF&REIT
4Q2558,546.01,,,283.68,,1.39,1.77,,,51.96,0.27,,10.40,"15,418.00",,0.96,10.83,0.00,,IMPACT,SET,PROPCON,PF&REIT
1Q2559,498.26,,,266.10,,1.31,1.66,,,53.40,0.27,,10.90,"16,159.25",,1.01,10.79,3.85,,IMPACT,SET,PROPCON,PF&REIT
2Q2559,506.21,,,267.29,,1.31,1.67,,,52.80,0.27,,11.10,"16,455.75",,1.03,10.79,3.78,,IMPACT,SET,PROPCON,PF&REIT
3Q2559,574.66,,,328.26,,1.61,2.05,,,57.12,0.27,,11.60,"17,197.00",,0.00,10.79,3.62,,IMPACT,SET,PROPCON,PF&REIT
4Q2559,546.89,,,330.74,,1.62,2.06,,,60.48,0.27,,13.90,"20,606.75",,1.28,10.83,3.02,,IMPACT,SET,PROPCON,PF&REIT
1Q2560,487.72,,,253.14,,1.24,1.58,,,51.90,0.27,,14.60,"21,644.50",,1.34,10.86,5.24,,IMPACT,SET,PROPCON,PF&REIT
2Q2560,539.06,,,301.09,,1.47,1.87,,,55.85,0.27,,16.00,"23,720.00",,1.48,10.81,4.78,,IMPACT,SET,PROPCON,PF&REIT
3Q2560,487.73,,,256.67,,1.26,1.60,,,52.62,0.27,,14.60,"21,644.50",,1.35,10.84,5.24,,IMPACT,SET,PROPCON,PF&REIT
4Q2560,397.27,,,187.76,,0.92,1.17,,,47.26,0.28,,15.00,"22,237.50",,1.38,10.85,5.10,,IMPACT,SET,PROPCON,PF&REIT
1Q2561,564.15,,,316.59,,1.54,1.97,,,56.12,0.27,,13.90,"20,606.75",,1.29,10.80,4.75,,IMPACT,SET,PROPCON,PF&REIT
2Q2561,593.34,,,328.20,,1.60,2.03,,,55.31,0.27,,14.10,"20,903.25",,1.30,10.87,4.68,,IMPACT,SET,PROPCON,PF&REIT
3Q2561,598.10,,,342.55,,1.67,2.12,,,57.27,0.27,,14.30,"21,199.75",,1.31,10.90,4.62,,IMPACT,SET,PROPCON,PF&REIT
4Q2561,468.26,,,216.17,,1.05,1.34,,,46.16,0.28,,16.30,"24,164.75",,1.49,10.93,4.05,,IMPACT,SET,PROPCON,PF&REIT
1Q2562,571.96,,,322.43,,1.56,2.00,,,56.37,0.28,,17.10,"25,350.75",,1.57,10.87,4.56,,IMPACT,SET,PROPCON,PF&REIT
2Q2562,670.99,,,373.02,,1.80,2.30,,,55.59,0.27,,19.60,"29,057.00",,1.80,10.90,3.98,,IMPACT,SET,PROPCON,PF&REIT
3Q2562,696.43,,,412.35,,1.99,2.53,,,59.21,0.27,,19.00,"28,167.50",,1.73,10.96,4.11,,IMPACT,SET,PROPCON,PF&REIT
4Q2562,505.97,,,209.83,,1.01,1.29,,,41.47,0.28,,21.60,"32,022.00",,1.96,11.01,3.61,,IMPACT,SET,PROPCON,PF&REIT
