,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,67.54,75.88,-44.73,-10.86,-0.04,-1.74,-2.24,59.60,37.27,-16.07,0.27,-192.28,1.13,282.52,N/A,0.58,1.96,0.00,-6.05,INET,SET,TECH,ICT
2Q2555,73.24,27.02,,-7.92,-0.03,-1.30,-1.66,51.48,45.31,-10.82,0.29,-155.84,1.07,267.52,N/A,0.56,1.92,0.00,-4.61,INET,SET,TECH,ICT
3Q2555,77.65,81.51,95.99,-1.47,-0.01,-0.24,-0.31,69.19,27.32,-1.89,0.27,-191.75,1.52,380.03,N/A,0.80,1.89,0.00,-10.15,INET,SET,TECH,ICT
4Q2555,102.21,,,18.34,0.07,3.00,3.82,63.82,24.42,17.95,0.28,-299.47,2.48,620.05,N/A,1.32,1.89,0.00,37.90,INET,SET,TECH,ICT
1Q2556,92.15,-90.38,,1.76,0.01,0.27,0.36,67.91,28.17,1.91,0.37,-328.11,3.74,935.08,N/A,1.91,1.96,0.00,29.35,INET,SET,TECH,ICT
2Q2556,91.82,,55.32,-3.54,-0.01,-0.52,-0.72,65.17,33.10,-3.85,0.39,-389.53,4.14,"1,035.09",96.56,2.11,1.97,0.00,25.12,INET,SET,TECH,ICT
3Q2556,91.22,98.94,97.44,-0.04,-0.00,-0.01,-0.01,74.20,24.04,-0.04,0.47,-413.83,4.06,"1,015.08",67.21,2.09,1.95,0.00,22.32,INET,SET,TECH,ICT
4Q2556,111.39,,-73.42,4.88,0.02,0.62,1.00,76.98,22.24,4.38,0.72,-449.87,3.40,850.07,51.42,1.75,1.95,0.00,25.28,INET,SET,TECH,ICT
1Q2557,113.36,-82.15,-50.71,0.87,0.00,0.10,0.18,75.12,21.44,0.77,0.89,-442.30,3.76,940.08,306.85,1.91,1.97,0.00,26.55,INET,SET,TECH,ICT
2Q2557,129.95,374.71,,4.13,0.02,0.43,0.85,71.80,23.83,3.18,1.06,-396.13,3.66,915.08,421.57,1.86,1.97,0.00,20.21,INET,SET,TECH,ICT
