,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2560,,,,,,,,,,,1.00,,,,,,,,,INGRS,SET,INDUS,AUTO
1Q2561,676.42,,,39.37,0.02,0.88,1.75,,16.61,5.82,0.97,,,,,,,,,INGRS,SET,INDUS,AUTO
2Q2561,682.62,38.91,,51.85,0.03,1.20,2.35,,19.25,7.60,0.94,,,,,,,,,INGRS,SET,INDUS,AUTO
3Q2561,823.43,-98.92,,13.14,0.00,0.31,0.56,,15.26,1.60,0.71,,1.35,"1,953.37",11.29,,0.00,0.00,3.60,INGRS,SET,INDUS,AUTO
4Q2561,796.01,"7,078.13",,43.50,0.02,0.99,1.71,,16.00,5.47,0.76,,1.26,"1,823.15",17.29,1.05,1.20,0.00,6.70,INGRS,SET,INDUS,AUTO
1Q2562,728.58,-74.71,-72.83,15.71,0.01,0.36,0.62,,18.45,2.16,0.68,,0.98,"1,418.00",14.50,0.81,1.20,5.31,5.76,INGRS,SET,INDUS,AUTO
2Q2562,774.63,-83.99,-96.87,6.83,0.00,0.16,0.27,,18.90,0.88,0.70,,0.77,"1,114.15",13.78,0.64,1.21,6.75,5.38,INGRS,SET,INDUS,AUTO
3Q2562,930.90,"1,816.13","5,468.75",33.48,0.02,0.77,1.28,,14.65,3.60,0.61,,0.65,940.51,20.01,0.54,1.20,8.00,4.68,INGRS,SET,INDUS,AUTO
4Q2562,840.51,-28.17,-44.28,20.35,0.01,0.47,0.77,,17.57,2.42,0.65,,0.58,839.23,12.34,0.46,1.27,8.97,4.91,INGRS,SET,INDUS,AUTO
1Q2563,772.21,-64.77,-22.38,8.36,0.00,0.20,0.32,,17.66,1.08,0.63,,0.68,983.92,18.20,0.56,1.22,7.65,5.13,INGRS,SET,INDUS,AUTO
2Q2563,745.51,37.03,564.52,11.15,0.01,0.27,0.44,,18.37,1.50,0.63,,0.63,911.57,17.47,0.51,1.23,8.25,4.93,INGRS,SET,INDUS,AUTO
3Q2563,714.92,81.07,-37.21,0.05,0.01,0.00,0.00,,18.22,0.01,0.61,,0.59,853.70,14.28,0.50,1.18,8.81,5.06,INGRS,SET,INDUS,AUTO
4Q2563,685.43,,,-98.91,-0.07,-2.46,-4.04,,19.34,-14.43,0.68,,0.50,723.47,14.42,0.43,1.17,10.40,5.10,INGRS,SET,INDUS,AUTO
1Q2564,443.13,40.20,,-82.73,-0.04,-1.93,-3.44,,29.37,-18.67,0.89,,0.38,549.84,10.96,0.32,1.17,13.68,7.47,INGRS,SET,INDUS,AUTO
2Q2564,425.70,-39.07,,-107.53,-0.06,-2.47,-4.72,,23.49,-25.26,0.93,,0.47,680.06,N/A,0.45,1.04,5.53,14.60,INGRS,SET,INDUS,AUTO
3Q2564,675.60,81.33,,-28.43,-0.01,-0.65,-1.28,,17.91,-4.21,1.01,,0.43,622.19,N/A,0.44,0.97,6.05,19.59,INGRS,SET,INDUS,AUTO
4Q2564,680.54,-205.80,52.53,-41.20,-0.04,-0.87,-1.86,,17.97,-6.05,1.25,,0.51,737.94,N/A,0.53,0.96,5.10,24.89,INGRS,SET,INDUS,AUTO
4Q2565,"2,784.32",-308.03,-308.03,-295.27,-0.14,-5.07,-13.37,71.86,24.73,-10.60,2.02,,0.85,"1,229.90",N/A,0.95,0.90,0.00,15.41,INGRS,SET,INDUS,AUTO
1Q2566,990.54,76.26,23.11,-89.59,-0.03,-1.29,-4.09,78.84,17.82,-9.04,2.32,,0.67,969.45,N/A,0.71,0.94,0.00,12.51,INGRS,SET,INDUS,AUTO
2Q2566,"1,088.19",-22.58,32.23,-104.08,-0.04,-1.42,-4.91,79.85,16.10,-9.56,2.59,,0.53,810.29,N/A,0.62,0.90,0.00,14.37,INGRS,SET,INDUS,AUTO
