,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2561,,,,,,,,,,,0.69,,,,,,,,,INSET,SET,TECH,ICT
2Q2562,577.69,,,46.57,0.11,7.15,13.21,94.15,5.70,8.06,1.01,,,,,,,,,INSET,SET,TECH,ICT
3Q2562,427.85,7.99,,50.29,0.12,6.73,13.56,93.77,6.00,11.75,1.02,,,,,,,,,INSET,SET,TECH,ICT
4Q2562,214.43,-73.06,,23.26,0.03,2.52,3.95,95.16,4.15,10.85,0.34,,2.60,"1,456.00",12.61,,0.00,0.00,5.48,INSET,SET,TECH,ICT
1Q2563,221.04,9.35,,20.04,0.04,1.91,2.54,91.95,7.28,9.07,0.32,,2.16,"1,209.60",10.07,1.55,1.39,6.94,5.45,INSET,SET,TECH,ICT
2Q2563,309.17,50.27,-52.19,30.12,0.05,2.79,3.85,95.77,3.94,9.74,0.43,,3.24,"1,814.40",15.00,2.27,1.43,4.63,11.42,INSET,SET,TECH,ICT
3Q2563,530.09,72.80,-23.50,52.04,0.09,4.33,6.66,97.00,2.93,9.82,0.64,,3.26,"1,825.60",14.76,2.38,1.37,4.60,13.30,INSET,SET,TECH,ICT
4Q2563,443.77,-36.03,81.64,33.29,0.06,2.53,4.07,94.98,4.98,7.50,0.59,,3.46,"1,937.60",15.44,2.43,1.42,4.34,12.83,INSET,SET,TECH,ICT
1Q2564,235.09,-31.40,13.94,22.84,0.04,1.69,2.68,92.25,7.63,9.71,0.59,,4.28,"2,396.80",17.69,2.86,1.50,2.78,15.65,INSET,SET,TECH,ICT
2Q2564,396.23,39.11,5.49,37.23,0.06,2.48,4.34,96.13,3.82,9.40,0.91,,3.80,"2,340.80",16.93,2.72,1.40,2.85,15.86,INSET,SET,TECH,ICT
3Q2564,379.74,102.54,23.64,70.78,0.11,4.45,7.96,95.66,4.28,18.64,0.68,,7.10,"4,373.60",30.08,5.12,1.39,1.52,22.71,INSET,SET,TECH,ICT
4Q2564,305.37,-43.92,8.39,39.69,0.06,2.87,4.20,95.27,4.57,13.00,0.26,,6.05,"3,726.80",22.71,4.03,1.50,1.79,17.02,INSET,SET,TECH,ICT
1Q2565,252.33,-40.44,-5.89,23.69,0.04,1.74,2.17,93.65,6.09,9.39,0.23,,5.95,"3,665.20",,,,2.86,16.29,INSET,SET,TECH,ICT
2Q2565,434.73,50.65,1.92,41.21,0.06,2.77,3.47,96.59,3.25,9.48,0.27,,4.70,"3,452.55",20.14,2.83,1.98,3.03,15.46,INSET,SET,TECH,ICT
3Q2565,403.38,-18.82,-59.15,34.42,0.05,2.25,2.93,96.40,3.33,8.53,0.33,,3.70,"2,735.71",15.60,2.37,1.58,3.83,16.17,INSET,SET,TECH,ICT
