,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,109.67,55.30,,-29.55,-2.95,-1.36,-17.51,,,-26.94,12.69,,0.00,900.00,N/A,4.99,18.04,0.00,,INSURE,SET,FINCIAL,INSUR
2Q2555,118.51,88.14,,-3.43,-0.35,-0.16,-2.23,,,-2.90,12.51,,55.00,550.00,N/A,3.50,15.72,0.00,,INSURE,SET,FINCIAL,INSUR
3Q2555,124.15,-474.29,-673.08,-20.15,-2.01,-1.02,-14.01,,,-16.23,12.87,,0.00,467.50,N/A,3.10,15.06,0.00,,INSURE,SET,FINCIAL,INSUR
4Q2555,147.58,49.25,84.55,-10.19,-1.02,-0.55,-7.63,,,-6.90,12.98,,0.00,780.00,N/A,5.69,13.70,0.00,,INSURE,SET,FINCIAL,INSUR
1Q2556,179.09,,,26.02,2.60,1.44,16.05,,,14.53,8.32,,75.00,750.00,N/A,5.76,13.01,0.00,,INSURE,SET,FINCIAL,INSUR
2Q2556,154.77,,-142.86,-8.52,-0.85,-0.47,-4.58,,,-5.51,9.02,,65.00,650.00,N/A,3.35,19.40,0.00,,INSURE,SET,FINCIAL,INSUR
3Q2556,143.46,-3.53,56.22,-8.83,-0.88,-0.51,-5.12,,,-6.16,9.09,,0.00,750.00,N/A,4.21,17.82,0.00,,INSURE,SET,FINCIAL,INSUR
4Q2556,147.90,-46.59,-26.47,-12.83,-1.29,-0.83,-8.01,,,-8.67,8.17,,0.00,680.00,N/A,4.08,16.68,0.00,,INSURE,SET,FINCIAL,INSUR
1Q2557,143.41,70.54,,-3.79,-0.38,-0.27,-2.49,,,-2.64,8.22,,0.00,440.00,N/A,2.87,15.35,0.00,,INSURE,SET,FINCIAL,INSUR
2Q2557,163.66,-397.37,-122.35,-18.86,-1.89,-1.34,-13.24,,,-11.53,9.68,,0.00,420.00,N/A,2.79,15.07,0.00,,INSURE,SET,FINCIAL,INSUR
3Q2557,182.78,,,0.46,0.05,0.03,0.34,,,0.25,9.42,,0.00,520.00,N/A,3.87,13.43,0.00,,INSURE,SET,FINCIAL,INSUR
4Q2557,179.42,,21.71,-10.11,-1.01,-0.71,-7.66,,,-5.63,10.08,,0.00,370.00,N/A,2.69,13.76,0.00,,INSURE,SET,FINCIAL,INSUR
1Q2558,216.41,,,13.82,1.38,0.97,10.39,,,6.39,9.46,,0.00,350.00,N/A,2.77,12.62,0.00,,INSURE,SET,FINCIAL,INSUR
2Q2558,207.46,300.72,,55.31,5.53,3.86,32.99,,,26.66,6.17,,44.00,440.00,N/A,3.14,14.00,0.00,,INSURE,SET,FINCIAL,INSUR
3Q2558,132.64,-64.74,"3,800.00",19.45,1.95,1.47,9.49,,,14.67,4.80,,0.00,480.00,8.07,2.46,19.53,0.00,,INSURE,SET,FINCIAL,INSUR
4Q2558,111.69,,21.78,-7.84,-0.79,-0.65,-3.72,,,-7.02,4.63,,0.00,600.00,7.65,2.79,21.47,0.00,,INSURE,SET,FINCIAL,INSUR
1Q2559,101.82,,-83.33,2.34,0.23,0.21,1.12,,,2.29,3.98,,0.00,687.50,8.51,3.32,20.72,0.00,,INSURE,SET,FINCIAL,INSUR
2Q2559,97.85,,,-0.74,-0.07,-0.07,-0.35,,,-0.76,3.98,,0.00,552.50,7.98,2.64,20.95,0.00,,INSURE,SET,FINCIAL,INSUR
3Q2559,100.42,"-1,100.00",,-8.35,-0.84,-0.80,-4.08,,,-8.31,4.17,,0.00,552.50,41.82,2.65,20.88,0.00,,INSURE,SET,FINCIAL,INSUR
4Q2559,113.46,,,14.20,1.43,1.40,6.83,,,12.52,3.61,,0.00,400.00,N/A,2.00,20.04,0.00,,INSURE,SET,FINCIAL,INSUR
1Q2560,79.73,-79.72,26.09,2.89,0.29,0.30,1.33,,,3.63,3.44,,0.00,362.50,48.66,1.68,21.52,0.00,,INSURE,SET,FINCIAL,INSUR
2Q2560,140.71,,-957.14,-7.35,-0.74,-0.74,-3.43,,,-5.22,3.80,,55.00,550.00,68.72,2.52,21.81,0.00,,INSURE,SET,FINCIAL,INSUR
3Q2560,143.96,45.95,52.38,-4.01,-0.40,-0.39,-1.92,,,-2.79,4.16,,0.00,550.00,393.32,2.61,21.07,0.00,,INSURE,SET,FINCIAL,INSUR
4Q2560,156.07,,23.78,17.62,1.77,1.66,8.19,,,11.29,3.71,,0.00,790.00,137.77,3.82,20.67,0.00,,INSURE,SET,FINCIAL,INSUR
1Q2561,143.12,,,-8.16,-0.82,-0.77,-3.72,,,-5.70,3.89,,0.00,500.00,54.63,2.24,22.34,0.00,,INSURE,SET,FINCIAL,INSUR
2Q2561,121.97,65.85,62.16,-2.82,-0.28,-0.28,-1.32,,,-2.31,3.67,,0.00,360.00,N/A,1.67,21.52,0.00,,INSURE,SET,FINCIAL,INSUR
3Q2561,145.22,-242.86,-140.00,-9.64,-0.96,-0.99,-4.64,,,-6.64,3.75,,0.00,320.00,121.53,1.51,21.24,0.00,,INSURE,SET,FINCIAL,INSUR
4Q2561,107.77,-177.08,,-26.56,-2.66,-2.77,-14.06,,,-24.65,4.43,,0.00,390.00,N/A,1.92,20.28,0.00,,INSURE,SET,FINCIAL,INSUR
1Q2562,123.32,86.47,56.10,-3.58,-0.36,-0.39,-2.06,,,-2.90,4.19,,0.00,467.50,N/A,2.67,17.52,0.00,,INSURE,SET,FINCIAL,INSUR
2Q2562,113.19,,,4.21,0.42,0.48,2.42,,,3.72,3.83,,30.00,300.00,N/A,1.75,17.16,0.00,,INSURE,SET,FINCIAL,INSUR
3Q2562,101.15,,96.14,-0.40,-0.04,-0.05,-0.23,,,-0.39,3.66,,0.00,312.50,N/A,1.78,17.58,0.00,,INSURE,SET,FINCIAL,INSUR
4Q2562,93.36,-859.89,86.61,-3.56,-0.36,-0.44,-2.06,,,-3.81,3.63,,0.00,380.00,N/A,2.17,17.54,0.00,,INSURE,SET,FINCIAL,INSUR
1Q2563,75.11,-581.87,-574.52,-24.28,-2.43,-3.09,-14.71,,,-32.33,3.89,,0.00,387.50,,,,0.00,,INSURE,SET,FINCIAL,INSUR
2Q2563,73.10,,62.58,6.83,0.68,0.89,4.19,,,9.34,3.50,,0.00,350.00,N/A,2.19,15.95,0.00,,INSURE,SET,FINCIAL,INSUR
3Q2563,72.45,,"-1,564.45",-6.18,-0.62,-0.82,-3.78,,,-8.52,3.68,,0.00,310.00,N/A,1.86,16.64,0.00,,INSURE,SET,FINCIAL,INSUR
4Q2563,90.09,,,1.82,0.18,0.24,1.17,,,2.02,3.87,,44.00,440.00,N/A,2.75,16.02,0.00,,INSURE,SET,FINCIAL,INSUR
1Q2564,69.23,,78.40,-5.24,-0.52,-0.71,-3.49,,,-7.58,3.92,,0.00,385.00,N/A,2.52,15.29,0.00,,INSURE,SET,FINCIAL,INSUR
2Q2564,69.19,,-99.92,0.01,0.00,0.00,0.00,,,0.01,3.78,,0.00,320.00,N/A,2.17,14.76,0.00,,INSURE,SET,FINCIAL,INSUR
3Q2564,83.80,"115,884.91",,6.15,0.61,0.88,4.08,,,7.34,3.49,,0.00,290.00,N/A,1.96,14.76,0.00,,INSURE,SET,FINCIAL,INSUR
4Q2564,105.54,114.19,621.85,13.17,1.32,1.89,8.12,,,12.48,3.13,,0.00,370.00,135.44,2.41,15.38,0.00,,INSURE,SET,FINCIAL,INSUR
1Q2565,772.00,"4,442.31",,598.07,59.81,8.96,121.18,,,77.47,14.49,,0.00,452.50,,,,0.00,,INSURE,SET,FINCIAL,INSUR
2Q2565,597.18,-81.96,"2,035,850.94",107.91,10.79,0.90,12.48,,,18.07,11.35,,163.50,"1,650.00",2.67,2.02,81.64,0.00,,INSURE,SET,FINCIAL,INSUR
3Q2565,716.62,-66.33,491.06,36.33,3.63,0.34,3.91,,,5.07,9.95,,240.00,"2,570.00",3.54,2.82,91.28,0.00,,INSURE,SET,FINCIAL,INSUR
