,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"2,185.26",-59.85,35.80,"3,514.29",1.10,6.56,12.31,,19.71,160.82,0.86,,59.00,"189,178.80",11.42,8.94,6.60,11.46,10.03,INTUCH,SET,TECH,ICT
2Q2555,"2,368.86",-0.91,31.33,"3,488.12",1.09,6.79,11.82,,15.74,147.25,0.64,,60.75,"194,790.03",11.12,9.93,6.12,9.05,9.63,INTUCH,SET,TECH,ICT
3Q2555,"2,332.99",-0.92,36.71,"3,349.78",1.08,6.81,11.37,,19.08,143.58,0.71,,68.50,"219,639.79",11.99,9.50,7.21,8.03,10.36,INTUCH,SET,TECH,ICT
4Q2555,"1,891.20",-4.63,-62.41,"3,334.76",1.03,7.00,11.46,,25.37,176.33,0.57,,69.00,"221,243.00",11.49,11.32,6.10,7.97,13.45,INTUCH,SET,TECH,ICT
1Q2556,"2,107.73",22.33,14.55,"4,170.92",1.26,8.46,14.15,,20.54,197.89,0.78,,81.00,"259,720.04",18.84,11.52,7.03,6.79,15.37,INTUCH,SET,TECH,ICT
2Q2556,"2,221.32",-9.39,4.74,"3,737.46",1.14,7.51,12.33,,18.73,168.25,0.52,,87.00,"278,958.57",19.55,13.58,6.41,4.34,16.02,INTUCH,SET,TECH,ICT
3Q2556,"2,672.58",-7.87,-2.61,"3,525.98",1.05,7.47,11.68,,16.89,131.93,0.61,,82.50,"264,529.68",18.27,10.91,7.56,4.58,15.18,INTUCH,SET,TECH,ICT
4Q2556,"2,743.04",3.30,5.49,"3,598.04",1.09,7.48,11.88,,21.19,131.17,0.57,,67.75,"217,234.98",15.09,10.82,6.26,5.58,13.07,INTUCH,SET,TECH,ICT
1Q2557,"2,717.61",9.52,-5.56,"4,011.87",1.19,7.65,13.03,,19.40,147.63,0.85,,77.25,"247,695.97",17.00,10.40,7.43,4.89,15.21,INTUCH,SET,TECH,ICT
2Q2557,"2,654.02",-7.87,-3.97,"3,747.26",1.10,7.02,12.05,,19.07,141.19,0.59,,73.25,"234,870.29",16.34,11.34,6.46,5.80,14.01,INTUCH,SET,TECH,ICT
3Q2557,"2,878.12",7.96,12.54,"3,898.46",1.18,7.66,12.38,,18.83,135.45,0.64,,72.50,"232,465.47",16.37,9.57,7.57,5.86,13.38,INTUCH,SET,TECH,ICT
4Q2557,"2,321.34",-4.53,4.00,"3,848.88",1.13,7.42,12.07,,23.77,165.80,0.61,,78.75,"252,505.60",17.30,12.03,6.54,5.40,14.14,INTUCH,SET,TECH,ICT
1Q2558,"3,192.52",13.27,7.56,"4,420.13",1.28,7.79,13.68,,19.26,138.45,0.91,,77.25,"247,695.97",16.78,10.04,7.70,5.50,13.85,INTUCH,SET,TECH,ICT
2Q2558,"3,308.09",-0.78,15.84,"4,421.06",1.27,7.67,13.44,,17.42,133.64,0.61,,78.00,"250,100.78",16.63,11.62,6.71,5.63,13.13,INTUCH,SET,TECH,ICT
3Q2558,"3,348.45",-14.17,-7.91,"3,627.52",1.09,6.66,10.99,,16.88,108.33,0.70,,72.75,"233,267.08",14.94,9.12,7.97,6.03,12.59,INTUCH,SET,TECH,ICT
4Q2558,"3,417.06",25.69,21.24,"4,847.38",1.37,8.78,14.63,,18.35,141.86,0.64,,52.00,"166,733.86",10.89,7.81,6.66,8.44,8.86,INTUCH,SET,TECH,ICT
