,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2561,,,,,,,,,,,0.80,18.08,,,,,,,,IP,mai,CONSUMP,-
2Q2562,185.73,,,18.03,0.12,8.91,15.31,53.80,44.51,9.71,0.65,35.53,,,,,,,,IP,mai,CONSUMP,-
3Q2562,92.57,-25.00,,14.95,0.09,6.94,11.00,61.23,38.09,16.15,0.52,51.16,,,,,,,,IP,mai,CONSUMP,-
4Q2562,97.58,-22.22,,14.15,0.07,3.80,4.65,59.43,39.77,14.50,0.13,62.44,6.35,"1,308.10",46.58,,0.00,0.00,9.70,IP,mai,CONSUMP,-
1Q2563,98.79,0.00,,14.73,0.07,2.74,3.11,53.92,44.39,14.91,0.14,106.57,4.72,972.32,22.37,2.13,2.21,3.92,8.20,IP,mai,CONSUMP,-
2Q2563,101.41,13.56,-33.76,18.61,0.08,3.42,3.96,62.30,36.95,18.35,0.17,135.50,11.30,"2,327.80",41.80,4.96,2.28,1.64,24.90,IP,mai,CONSUMP,-
3Q2563,110.58,13.86,0.57,20.41,0.09,3.70,4.34,60.88,37.66,18.46,0.17,133.43,12.40,"2,554.40",44.77,5.70,2.18,1.49,25.74,IP,mai,CONSUMP,-
4Q2563,136.15,-77.90,-71.43,6.74,0.02,1.03,1.39,52.23,47.18,4.95,0.54,115.44,13.10,"2,698.60",43.56,5.78,2.26,1.41,33.66,IP,mai,CONSUMP,-
1Q2564,177.88,353.40,29.54,20.53,0.09,2.62,4.12,66.17,33.05,11.54,0.61,93.57,21.70,"4,470.20",116.38,13.28,1.63,0.08,48.31,IP,mai,CONSUMP,-
2Q2564,201.27,-33.89,-24.58,25.20,0.06,2.96,4.86,66.19,32.33,12.52,0.66,77.37,20.40,"5,883.35",100.42,12.01,2.38,0.08,55.42,IP,mai,CONSUMP,-
3Q2564,244.39,45.82,-3.41,26.41,0.09,2.44,4.14,71.78,26.58,10.81,0.72,76.11,21.30,"6,347.62",95.56,12.45,1.76,0.08,53.82,IP,mai,CONSUMP,-
4Q2564,297.44,39.32,508.95,38.35,0.12,2.94,5.01,72.25,26.41,12.89,0.69,91.50,19.50,"5,811.21",78.87,8.00,2.44,0.08,35.87,IP,mai,CONSUMP,-
1Q2565,273.24,-17.42,10.91,32.42,0.10,2.40,4.05,71.37,27.61,11.86,0.69,107.87,19.30,"5,751.60",54.66,7.55,2.56,0.00,31.80,IP,mai,CONSUMP,-
2Q2565,411.24,2.07,71.23,31.93,0.10,1.98,3.83,70.28,29.28,7.77,1.18,99.68,18.40,"5,483.39",47.07,6.93,2.66,0.00,31.45,IP,mai,CONSUMP,-
3Q2565,403.49,-15.46,-0.73,31.11,0.09,1.32,2.24,70.84,28.87,7.71,0.49,95.41,16.10,"6,034.83",49.33,3.24,5.01,0.00,27.08,IP,mai,CONSUMP,-
