,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,871.70,,,-83.35,-0.42,-2.33,-4.25,92.13,6.34,-9.56,0.85,-585.03,10.40,"2,080.00",13.83,1.02,10.24,2.34,10.71,IRC,SET,INDUS,AUTO
2Q2555,"1,800.21",,-3.33,57.92,0.29,1.58,3.09,95.27,3.57,3.22,1.06,-602.95,11.00,"2,200.00",132.38,1.18,9.35,2.21,13.45,IRC,SET,INDUS,AUTO
3Q2555,"1,873.36",-27.59,90.91,41.43,0.21,1.04,2.18,95.47,3.77,2.21,1.16,-684.35,11.50,"2,300.00",145.23,1.22,9.39,2.12,13.75,IRC,SET,INDUS,AUTO
4Q2555,"2,026.82",104.76,377.78,86.53,0.43,2.05,4.38,95.47,3.34,4.27,1.11,-702.98,13.80,"2,760.00",81.65,1.44,9.60,1.77,11.88,IRC,SET,INDUS,AUTO
1Q2556,"1,886.51",13.95,,98.05,0.49,2.33,4.72,94.55,4.02,5.20,0.94,-786.09,15.40,"3,080.00",30.04,1.52,10.14,1.33,8.29,IRC,SET,INDUS,AUTO
2Q2556,"1,826.77",26.53,113.79,124.22,0.62,2.99,5.73,94.72,4.54,6.80,0.90,-719.73,19.40,"3,880.00",13.67,1.82,10.63,1.06,8.20,IRC,SET,INDUS,AUTO
3Q2556,"1,587.27",-38.71,80.95,76.16,0.38,1.86,3.39,94.41,5.39,4.80,0.75,-624.74,19.60,"3,920.00",11.19,1.77,11.05,1.05,7.25,IRC,SET,INDUS,AUTO
4Q2556,"1,534.61",46.18,29.18,110.67,0.56,2.81,4.73,94.63,5.02,7.21,0.62,-505.48,15.20,"3,040.00",7.90,1.33,11.43,1.35,5.54,IRC,SET,INDUS,AUTO
1Q2557,"1,436.60",-20.79,-10.20,88.77,0.44,2.29,3.64,92.91,5.93,6.18,0.55,-438.63,15.00,"3,000.00",7.33,1.25,11.98,5.45,5.30,IRC,SET,INDUS,AUTO
2Q2557,"1,392.63",-18.18,-41.94,71.37,0.36,1.88,2.93,93.55,6.10,5.12,0.56,-354.43,14.60,"2,920.00",7.30,1.18,12.42,5.60,5.64,IRC,SET,INDUS,AUTO
3Q2557,"1,309.05",0.00,-5.26,71.21,0.36,1.91,2.93,93.34,6.17,5.44,0.50,-300.06,15.50,"3,100.00",8.93,1.30,11.96,5.28,5.71,IRC,SET,INDUS,AUTO
4Q2557,"1,358.25",13.89,-26.19,82.12,0.41,2.17,3.28,94.06,4.94,6.05,0.52,-303.13,16.90,"3,380.00",9.88,1.37,12.32,4.84,6.22,IRC,SET,INDUS,AUTO
1Q2558,"1,357.56",10.72,3.17,90.79,0.45,2.35,3.50,93.01,5.97,6.69,0.46,-280.37,14.80,"2,960.00",9.44,1.16,12.75,4.24,5.42,IRC,SET,INDUS,AUTO
2Q2558,"1,424.59",53.01,92.94,138.92,0.69,3.59,5.25,91.98,5.80,9.75,0.47,-281.17,15.70,"3,140.00",9.95,1.19,13.20,3.99,5.17,IRC,SET,INDUS,AUTO
3Q2558,"1,198.76",-30.09,34.89,97.12,0.49,2.51,3.59,92.59,6.58,8.10,0.40,-252.44,17.30,"3,460.00",9.03,1.30,13.27,3.62,4.99,IRC,SET,INDUS,AUTO
4Q2558,"1,205.34",18.10,39.87,114.70,0.57,2.93,4.09,94.26,5.35,9.52,0.39,-210.86,18.20,"3,640.00",8.90,1.32,13.76,3.44,5.30,IRC,SET,INDUS,AUTO
1Q2559,"1,209.52",-8.73,15.30,104.68,0.52,2.64,3.59,91.88,6.64,8.65,0.33,-169.10,19.00,"3,800.00",8.61,1.33,14.32,4.65,5.15,IRC,SET,INDUS,AUTO
2Q2559,"1,309.37",37.66,3.74,144.11,0.72,3.63,4.88,92.87,6.39,11.01,0.36,-153.41,19.40,"3,880.00",8.52,1.31,14.84,4.55,5.31,IRC,SET,INDUS,AUTO
3Q2559,"1,231.00",-8.95,35.10,130.46,0.66,3.21,4.35,92.66,6.72,10.60,0.35,-164.23,20.50,"4,100.00",8.90,1.40,14.68,4.31,5.32,IRC,SET,INDUS,AUTO
4Q2559,"1,252.51",1.85,16.51,134.38,0.67,3.20,4.29,92.97,6.04,10.73,0.33,-173.94,22.40,"4,480.00",9.07,1.46,15.33,3.94,5.57,IRC,SET,INDUS,AUTO
1Q2560,"1,288.89",15.76,47.77,154.69,0.77,3.54,4.72,88.87,6.66,12.00,0.33,-201.01,23.00,"4,600.00",8.96,1.44,16.00,4.47,5.39,IRC,SET,INDUS,AUTO
2Q2560,"1,344.28",-33.22,-28.31,102.52,0.52,2.32,3.10,92.22,6.57,7.63,0.35,-221.37,23.10,"4,620.00",8.20,1.38,16.78,4.45,5.68,IRC,SET,INDUS,AUTO
3Q2560,"1,309.61",-39.73,-52.55,63.05,0.31,1.42,1.92,92.39,6.62,4.81,0.36,-257.87,24.80,"4,960.00",9.50,1.52,16.26,4.14,5.99,IRC,SET,INDUS,AUTO
4Q2560,"1,388.69",66.16,-22.58,103.53,0.52,2.27,3.08,93.85,5.29,7.45,0.36,-333.14,23.60,"4,720.00",10.38,1.42,16.58,4.35,6.68,IRC,SET,INDUS,AUTO
1Q2561,"1,366.11",0.52,-32.77,104.37,0.52,2.23,3.01,92.08,7.07,7.64,0.34,-358.73,23.80,"4,760.00",11.23,1.39,17.08,3.56,7.40,IRC,SET,INDUS,AUTO
2Q2561,"1,437.30",1.85,2.53,105.55,0.53,2.23,3.03,92.63,6.29,7.34,0.37,-392.38,20.70,"4,140.00",11.09,1.18,17.61,4.09,6.75,IRC,SET,INDUS,AUTO
3Q2561,"1,402.09",-28.18,22.19,77.02,0.38,1.61,2.20,92.41,6.80,5.49,0.37,-421.39,20.20,"4,040.00",10.73,1.17,17.29,4.20,6.19,IRC,SET,INDUS,AUTO
4Q2561,"1,408.64",-5.36,-30.41,71.68,0.36,1.45,2.01,92.41,6.63,5.09,0.41,-416.66,21.00,"4,200.00",10.76,1.19,17.67,4.04,6.60,IRC,SET,INDUS,AUTO
1Q2562,"1,439.49",-2.78,-32.69,70.56,0.35,1.41,1.94,92.45,6.89,4.90,0.35,-407.39,20.60,"4,120.00",11.49,1.15,17.98,4.35,6.91,IRC,SET,INDUS,AUTO
2Q2562,"1,390.26",-25.71,-50.91,50.78,0.26,1.03,1.41,92.06,7.19,3.65,0.37,-384.09,18.70,"3,740.00",11.51,1.02,18.34,4.79,7.34,IRC,SET,INDUS,AUTO
3Q2562,"1,317.88",,,-0.34,-0.00,-0.01,-0.01,90.75,8.37,-0.03,0.36,-333.26,18.30,"3,660.00",13.55,1.03,17.69,4.90,8.15,IRC,SET,INDUS,AUTO
4Q2562,"1,333.65",,-36.76,45.53,0.23,0.94,1.28,91.66,6.83,3.41,0.35,-298.92,16.80,"3,360.00",17.44,0.95,17.67,5.34,7.82,IRC,SET,INDUS,AUTO
1Q2563,"1,245.17",31.78,-14.29,59.74,0.30,1.23,1.67,91.28,7.63,4.80,0.36,-294.67,15.50,"3,100.00",18.61,0.87,17.91,2.69,7.45,IRC,SET,INDUS,AUTO
2Q2563,"1,327.01",66.67,92.31,99.49,0.50,2.07,2.80,89.98,7.61,7.50,0.34,-263.71,9.85,"1,970.00",,,,4.38,4.63,IRC,SET,INDUS,AUTO
3Q2563,739.20,,"-1,944.53",-21.72,-0.10,-0.48,-0.62,87.20,11.00,-2.94,0.24,-189.96,13.60,"2,720.00",12.79,0.75,18.16,3.18,5.03,IRC,SET,INDUS,AUTO
4Q2563,"1,122.51",,84.93,81.56,0.42,1.83,2.32,92.58,6.45,7.27,0.29,-157.44,12.30,"2,460.00",12.92,0.68,18.05,3.52,4.22,IRC,SET,INDUS,AUTO
1Q2564,"1,342.12",49.64,110.00,121.18,0.63,2.54,3.31,92.27,6.76,9.03,0.31,-144.29,14.20,"2,840.00",12.46,0.77,18.46,4.01,4.53,IRC,SET,INDUS,AUTO
