,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2558,,,,,,,,,,,6.48,,,,,,,,,ITEL,SET,TECH,ICT
2Q2559,354.82,,,35.87,0.12,1.40,10.46,86.91,10.35,10.11,6.47,,,,,,,,,ITEL,SET,TECH,ICT
3Q2559,159.85,-49.45,,19.82,0.06,0.66,2.27,85.07,11.74,12.40,1.37,,8.85,"4,425.00",84.80,,0.00,0.00,15.75,ITEL,SET,TECH,ICT
4Q2559,294.63,-83.45,,11.55,0.01,0.35,0.83,93.03,5.04,3.92,1.37,,11.40,"5,700.00",81.90,4.10,2.78,0.00,16.49,ITEL,SET,TECH,ICT
1Q2560,187.90,100.00,,18.43,0.02,0.54,1.30,87.54,9.52,9.81,1.47,,10.60,"5,300.00",78.82,3.77,2.81,0.00,20.74,ITEL,SET,TECH,ICT
2Q2560,206.13,16.25,-80.55,24.82,0.02,0.70,1.73,88.54,8.58,12.04,1.48,,5.15,"5,150.00",69.57,3.61,1.43,0.00,23.46,ITEL,SET,TECH,ICT
3Q2560,237.75,18.80,-54.30,27.62,0.03,0.74,1.89,89.22,7.68,11.62,1.62,,5.55,"5,550.00",74.37,3.83,1.45,0.00,23.06,ITEL,SET,TECH,ICT
4Q2560,449.47,5.47,191.30,31.53,0.03,0.77,2.11,92.18,5.91,7.02,1.85,,4.84,"4,840.00",58.73,3.28,1.48,0.00,20.68,ITEL,SET,TECH,ICT
1Q2561,366.19,2.99,50.00,31.09,0.03,0.70,2.04,90.63,6.88,8.49,2.01,,4.20,"4,200.00",41.02,2.78,1.51,1.02,18.08,ITEL,SET,TECH,ICT
2Q2561,492.51,16.17,49.89,33.76,0.03,0.70,2.20,92.13,5.98,6.85,2.31,,2.64,"2,640.00",22.94,1.71,1.54,1.63,14.06,ITEL,SET,TECH,ICT
3Q2561,423.19,-2.04,23.61,34.14,0.03,0.66,2.21,90.82,6.21,8.07,2.38,,3.76,"3,760.00",30.32,2.46,1.53,1.14,16.04,ITEL,SET,TECH,ICT
4Q2561,329.48,-9.17,6.45,34.01,0.03,0.64,2.15,93.67,9.52,10.32,2.39,,2.98,"2,980.00",22.83,1.90,1.56,1.44,13.57,ITEL,SET,TECH,ICT
1Q2562,453.45,25.48,29.70,38.91,0.04,0.69,2.41,90.56,7.00,8.58,2.61,"-2,822.64",3.24,"3,240.00",24.36,2.03,1.60,1.76,14.04,ITEL,SET,TECH,ICT
2Q2562,592.36,20.82,34.89,47.01,0.05,0.77,2.89,93.07,4.97,7.94,2.87,"-2,861.72",3.14,"3,140.00",22.30,1.93,1.63,1.82,14.32,ITEL,SET,TECH,ICT
3Q2562,750.71,2.94,41.74,48.39,0.05,0.76,2.95,94.62,3.73,6.45,2.91,"-2,635.64",3.18,"3,180.00",20.64,1.96,1.62,1.79,13.87,ITEL,SET,TECH,ICT
4Q2562,550.07,-5.58,47.34,46.69,0.05,0.71,2.76,98.61,4.80,8.49,2.87,"-2,505.27",2.48,"2,480.00",14.73,1.49,1.67,2.30,11.68,ITEL,SET,TECH,ICT
1Q2563,460.66,-12.28,3.01,40.08,0.04,0.60,2.32,92.14,6.78,8.70,2.90,"-2,234.98",1.44,"1,440.00",7.96,0.84,1.71,0.00,9.93,ITEL,SET,TECH,ICT
2Q2563,462.40,44.24,22.97,57.80,0.06,0.84,3.25,89.26,5.80,12.50,2.81,"-1,792.56",3.16,"3,160.00",17.35,1.81,1.75,0.00,11.83,ITEL,SET,TECH,ICT
3Q2563,475.78,-13.58,3.24,49.96,0.05,0.73,2.73,93.43,5.73,10.50,2.64,"-1,616.30",2.76,"2,760.00",14.30,1.53,1.81,0.00,10.70,ITEL,SET,TECH,ICT
4Q2563,660.05,-28.18,-21.47,35.89,0.04,0.52,1.91,95.69,3.32,5.44,2.74,"-1,717.84",2.74,"2,740.00",14.08,1.48,1.86,0.00,11.02,ITEL,SET,TECH,ICT
1Q2564,511.31,32.72,18.81,47.62,0.05,0.67,2.45,90.96,6.23,9.31,2.54,"-1,896.14",3.72,"3,720.00",20.25,1.97,1.89,0.00,12.15,ITEL,SET,TECH,ICT
2Q2564,497.93,10.00,-9.39,48.52,0.05,0.68,2.36,93.35,5.00,9.74,2.44,"-1,960.70",4.10,"4,116.43",21.72,2.11,1.95,0.00,12.98,ITEL,SET,TECH,ICT
3Q2564,530.22,23.08,29.04,65.18,0.06,0.88,2.63,92.61,5.27,12.29,1.65,"-1,816.75",4.62,"5,761.90",32.21,2.77,2.07,0.00,14.37,ITEL,SET,TECH,ICT
4Q2564,969.72,17.16,110.51,95.34,0.08,1.22,3.29,96.16,2.86,9.83,1.75,"-1,680.37",5.10,"6,360.54",33.02,2.28,2.24,0.00,14.31,ITEL,SET,TECH,ICT
1Q2565,593.25,-47.04,-16.00,58.48,0.04,0.67,1.87,93.39,5.00,9.86,1.84,"-1,500.87",5.85,"7,482.29",,,,0.00,16.25,ITEL,SET,TECH,ICT
2Q2565,854.55,25.00,-4.54,72.24,0.05,0.78,2.17,94.48,4.15,8.45,1.69,"-1,418.24",4.28,"5,913.17",22.79,1.83,2.53,0.00,13.70,ITEL,SET,TECH,ICT
3Q2565,771.76,0.00,-22.44,54.66,0.05,0.60,1.61,92.87,5.12,7.08,1.70,"-1,494.63",3.84,"5,099.67",18.30,1.55,2.51,0.00,12.83,ITEL,SET,TECH,ICT
