,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2557,,,,,,,,,,,1.24,,,,,,,,,J,SET,PROPCON,PROP
2Q2558,248.95,,,28.53,0.11,2.93,7.29,89.80,8.42,11.46,1.73,,,,,,,,,J,SET,PROPCON,PROP
3Q2558,127.23,-45.45,,14.93,0.06,1.29,3.72,85.63,12.13,11.74,2.00,,,,,,,,,J,SET,PROPCON,PROP
4Q2558,140.25,-16.67,,14.69,0.05,1.10,2.54,80.51,17.26,10.48,0.94,,3.06,"1,133.39",34.19,0.00,0.00,0.00,9.54,J,SET,PROPCON,PROP
1Q2559,144.77,-40.00,,11.08,0.03,0.75,1.47,83.54,13.24,7.65,0.99,,2.84,"1,051.91",18.09,1.41,2.01,2.46,12.87,J,SET,PROPCON,PROP
2Q2559,139.75,-33.33,-81.82,6.94,0.02,0.45,0.93,84.55,13.56,4.97,1.12,,2.72,"1,007.46",20.65,1.33,2.04,2.57,15.45,J,SET,PROPCON,PROP
3Q2559,127.47,,,-6.19,-0.02,-0.37,-0.84,81.94,15.86,-4.85,1.48,,2.58,955.61,20.06,1.30,1.99,2.71,20.75,J,SET,PROPCON,PROP
4Q2559,149.24,50.00,,-6.19,-0.01,-0.30,-0.85,79.86,16.16,-4.15,2.12,-446.78,2.50,925.98,34.90,1.27,1.98,2.80,34.27,J,SET,PROPCON,PROP
1Q2560,185.84,0.00,,-4.02,-0.01,-0.18,-0.56,76.27,19.60,-2.16,2.22,-187.26,2.34,866.71,153.42,1.19,1.96,0.00,34.24,J,SET,PROPCON,PROP
2Q2560,193.26,,-22.00,6.09,0.02,0.26,0.84,76.92,15.79,3.15,2.34,30.31,2.14,792.63,N/A,1.43,1.95,0.00,26.10,J,SET,PROPCON,PROP
3Q2560,189.84,,22.00,-6.64,-0.02,-0.27,-0.79,84.99,15.72,-3.50,1.58,201.98,2.66,"1,279.05",N/A,1.76,1.96,0.00,23.42,J,SET,PROPCON,PROP
4Q2560,177.39,,,9.76,0.03,0.39,1.01,78.56,21.74,5.50,1.58,293.34,2.30,"1,105.95",N/A,1.17,1.96,0.00,17.81,J,SET,PROPCON,PROP
1Q2561,195.37,-96.67,,-0.52,0.00,-0.02,-0.05,72.21,18.98,-0.26,1.59,309.35,1.81,870.33,136.44,0.91,1.98,0.00,15.60,J,SET,PROPCON,PROP
2Q2561,180.03,,,-16.00,-0.03,-0.63,-1.67,73.30,20.71,-8.89,1.67,334.82,1.64,788.59,73.34,0.83,1.98,0.00,18.42,J,SET,PROPCON,PROP
3Q2561,174.42,-61.29,-220.51,-25.75,-0.05,-1.01,-2.74,74.13,23.85,-14.76,1.74,363.91,1.69,812.63,N/A,0.87,1.95,0.00,22.52,J,SET,PROPCON,PROP
4Q2561,365.84,,33.33,18.15,0.04,0.73,1.94,86.33,12.44,4.96,1.55,309.03,1.40,673.19,N/A,0.74,1.90,0.00,15.33,J,SET,PROPCON,PROP
1Q2562,192.41,-97.50,0.00,-1.91,0.00,-0.08,-0.20,66.76,22.50,-0.99,1.61,283.25,1.19,572.21,N/A,0.61,1.95,0.00,14.85,J,SET,PROPCON,PROP
2Q2562,176.38,,0.00,-20.90,-0.03,-0.81,-1.90,69.77,25.39,-11.85,1.18,245.58,1.00,793.81,N/A,0.85,1.88,0.00,15.38,J,SET,PROPCON,PROP
3Q2562,163.38,3.23,40.00,-19.12,-0.03,-0.72,-1.54,66.47,30.26,-11.71,1.08,257.58,1.00,793.81,N/A,0.64,1.57,0.00,15.70,J,SET,PROPCON,PROP
4Q2562,396.41,,125.00,49.81,0.09,2.05,3.96,-33.19,14.76,12.56,0.80,265.96,0.88,698.55,N/A,0.57,1.55,0.00,10.87,J,SET,PROPCON,PROP
1Q2563,169.10,-76.67,"2,000.00",16.61,0.02,0.61,1.29,81.65,16.00,9.82,1.38,276.82,0.40,317.52,,,,0.00,13.30,J,SET,PROPCON,PROP
2Q2563,97.59,-71.43,,4.72,0.01,0.15,0.36,73.08,24.94,4.84,1.38,312.16,0.86,682.67,20.49,0.52,1.64,0.00,15.17,J,SET,PROPCON,PROP
3Q2563,124.01,450.00,,26.32,0.03,0.85,2.00,72.72,25.98,21.22,1.35,269.50,1.24,984.32,17.57,0.75,1.64,0.00,13.93,J,SET,PROPCON,PROP
4Q2563,132.94,-69.70,-88.89,8.78,0.01,0.28,0.66,67.09,30.16,6.61,1.42,253.29,1.66,"1,317.72",13.34,0.99,1.68,0.00,23.50,J,SET,PROPCON,PROP
1Q2564,130.79,160.00,23.81,20.99,0.03,0.63,1.41,74.59,21.06,16.05,1.09,234.05,3.42,"2,714.82",48.10,2.03,1.69,0.88,31.02,J,SET,PROPCON,PROP
2Q2564,102.44,-7.69,300.00,22.23,0.02,0.65,1.37,68.63,25.24,21.70,1.14,171.85,3.02,"2,805.79",46.14,1.72,2.05,0.99,27.72,J,SET,PROPCON,PROP
3Q2564,106.92,-76.58,-82.97,6.06,0.01,0.17,0.37,51.18,22.63,5.67,1.20,147.67,2.96,"2,750.04",35.11,1.69,1.75,1.01,33.78,J,SET,PROPCON,PROP
1Q2565,135.62,149.11,-46.15,12.63,0.01,0.34,0.74,73.95,23.46,9.31,1.17,167.92,4.40,"4,087.90",,,,0.68,42.21,J,SET,PROPCON,PROP
2Q2565,150.61,225.71,90.00,46.30,0.05,1.13,2.11,55.03,26.54,30.74,0.67,158.66,3.90,"4,493.13",29.35,1.73,2.30,0.63,32.12,J,SET,PROPCON,PROP
3Q2565,130.14,-67.98,159.79,18.04,0.01,0.42,0.69,66.46,31.93,13.86,0.62,159.27,3.84,"4,470.32",25.23,1.71,2.29,0.63,32.07,J,SET,PROPCON,PROP
